window,par_bucket,model,n,mean_pred,actual_wr,gap_pp,brier,logloss,target_above_par_mean,rrr_mean
early_mid_7_12,above_par_hard_target,v7_cal,1388,0.2652015534684346,0.2665706051873199,-0.13690517188852946,0.0328488010750158,0.11335415579867437,42.98527450271927,12.347006181397045
early_mid_7_12,above_par_hard_target,v14_prod_cal,1388,0.3180222471337269,0.2665706051873199,5.1451641946407,0.04944010767803452,0.2020022626463047,42.98527450271927,12.347006181397045
early_mid_7_12,above_par_hard_target,v14_oos_cal,1388,0.3132433301501928,0.2665706051873199,4.667272496287289,0.0850395306209569,0.29024624873396265,42.98527450271927,12.347006181397045
early_mid_7_12,below_par_easy_target,v7_cal,726,0.9276679050471304,0.9490358126721763,-2.1367907625045923,0.053441826858566896,0.17376682634802576,-45.11783562556837,6.709101755243711
early_mid_7_12,below_par_easy_target,v14_prod_cal,726,0.8381578304538048,0.9490358126721763,-11.087798221837152,0.06068143749172529,0.21871264283249156,-45.11783562556837,6.709101755243711
early_mid_7_12,below_par_easy_target,v14_oos_cal,726,0.7810600691926427,0.9490358126721763,-16.797574347953358,0.1510655894419418,0.48181849548992217,-45.11783562556837,6.709101755243711
early_mid_7_12,par_target,v14_prod_cal,1304,0.5865350244551115,0.6111963190184049,-2.4661294563293357,0.08938763517061367,0.30501516293250924,0.8964120282482995,9.192857868670927
early_mid_7_12,par_target,v7_cal,1304,0.656986257364001,0.6111963190184049,4.578993834559608,0.10480877111971955,0.3378706296034785,0.8964120282482995,9.192857868670927
early_mid_7_12,par_target,v14_oos_cal,1304,0.5847252154282117,0.6111963190184049,-2.6471103590193223,0.12975967501920707,0.40347514852927013,0.8964120282482995,9.192857868670927
first_half_6_12,above_par_hard_target,v7_cal,1616,0.2690020317350009,0.26732673267326734,0.16752990617335817,0.03146099713276814,0.11076203993754566,42.98369512789372,12.23294137416027
first_half_6_12,above_par_hard_target,v14_prod_cal,1616,0.31507781287943576,0.26732673267326734,4.775108020616842,0.04980152172268498,0.2027199305577091,42.98369512789372,12.23294137416027
first_half_6_12,above_par_hard_target,v14_oos_cal,1616,0.3056554986480273,0.26732673267326734,3.832876597475998,0.08640240982997095,0.2920686406347536,42.98369512789372,12.23294137416027
first_half_6_12,below_par_easy_target,v7_cal,854,0.9294200089744529,0.949648711943794,-2.0228702969341095,0.05539038884224198,0.1835779343764557,-45.32546861640831,6.724593209730155
first_half_6_12,below_par_easy_target,v14_prod_cal,854,0.8411494815251948,0.949648711943794,-10.84992304185992,0.0614927188104529,0.2206673531160177,-45.32546861640831,6.724593209730155
first_half_6_12,below_par_easy_target,v14_oos_cal,854,0.780398679808987,0.949648711943794,-16.925003213480693,0.1527151327997241,0.5644967227196197,-45.32546861640831,6.724593209730155
first_half_6_12,par_target,v14_prod_cal,1525,0.5838158856989479,0.6098360655737705,-2.6020179874822524,0.09068580967708473,0.31060577301211434,0.8813749411200285,9.183665530079466
first_half_6_12,par_target,v7_cal,1525,0.6574346770730342,0.6098360655737705,4.75986114992637,0.1039696580248552,0.3354448715006447,0.8813749411200285,9.183665530079466
first_half_6_12,par_target,v14_oos_cal,1525,0.5759208985404142,0.6098360655737705,-3.3915167033356286,0.13138549732975532,0.40920779715572714,0.8813749411200285,9.183665530079466
full_mid_7_15,above_par_hard_target,v7_cal,2089,0.2740039598721115,0.26807084729535663,0.5933112576754884,0.02630101923342882,0.09327359208008462,42.98887550870993,12.874817117598043
full_mid_7_15,above_par_hard_target,v14_prod_cal,2089,0.3215390815449611,0.26807084729535663,5.346823424960445,0.04279994306050493,0.1803473604465229,42.98887550870993,12.874817117598043
full_mid_7_15,above_par_hard_target,v14_oos_cal,2089,0.3184650045883357,0.26807084729535663,5.039415729297908,0.07498730978576752,0.26120790898477714,42.98887550870993,12.874817117598043
full_mid_7_15,below_par_easy_target,v7_cal,1010,0.9272639470122164,0.9504950495049505,-2.323110249273408,0.042923066570935094,0.14174211737423603,-43.528061492073576,6.6989183811262345
full_mid_7_15,below_par_easy_target,v14_prod_cal,1010,0.8490273636310464,0.9504950495049505,-10.146768587390408,0.0510972919374202,0.19244096772920705,-43.528061492073576,6.6989183811262345
full_mid_7_15,below_par_easy_target,v14_oos_cal,1010,0.7932377010163314,0.9504950495049505,-15.725734848861904,0.14001044838964552,0.44517545239103823,-43.528061492073576,6.6989183811262345
full_mid_7_15,par_target,v14_prod_cal,1951,0.5954995055195385,0.6125064069707842,-1.7006901451245726,0.07994979563323991,0.274546883075232,1.1088561824235037,9.292696351019886
full_mid_7_15,par_target,v7_cal,1951,0.6509418963368632,0.6125064069707842,3.843548936607899,0.0928990787212127,0.3002351361332911,1.1088561824235037,9.292696351019886
full_mid_7_15,par_target,v14_oos_cal,1951,0.5952682333032377,0.6125064069707842,-1.723817366754643,0.1156370840552374,0.36328204290622934,1.1088561824235037,9.292696351019886
pp_1_6,above_par_hard_target,v7_cal,1394,0.2520444714655722,0.27116212338593976,-1.9117651920367573,0.07222792408572468,0.30917891045525864,42.970961814947394,11.362891117035408
pp_1_6,above_par_hard_target,v14_prod_cal,1394,0.31339393344090005,0.27116212338593976,4.22318100549603,0.0746006581340254,0.2734558820524692,42.970961814947394,11.362891117035408
pp_1_6,above_par_hard_target,v14_oos_cal,1394,0.2765923181952897,0.27116212338593976,0.543019480934992,0.12873237747860697,0.3942074286697653,42.970961814947394,11.362891117035408
pp_1_6,below_par_easy_target,v7_cal,780,0.9286667359117385,0.9538461538461539,-2.517941793441536,0.060767860046166716,0.195289345252156,-46.699354885310754,7.120632890752367
pp_1_6,below_par_easy_target,v14_prod_cal,780,0.8480795139172214,0.9538461538461539,-10.576663992893254,0.06411079569370524,0.23291686974554426,-46.699354885310754,7.120632890752367
pp_1_6,below_par_easy_target,v14_oos_cal,780,0.7700384832118599,0.9538461538461539,-18.380767063429403,0.15399891221841702,0.6870627730431023,-46.699354885310754,7.120632890752367
pp_1_6,par_target,v14_prod_cal,1307,0.5436020384806899,0.5975516449885233,-5.394960650783343,0.10665988879433415,0.3709830356595656,0.8791900873973298,9.243910418390623
pp_1_6,par_target,v7_cal,1307,0.6264575214288053,0.5975516449885233,2.8905876440281975,0.10848487553845931,0.3505256979470783,0.8791900873973298,9.243910418390623
pp_1_6,par_target,v14_oos_cal,1307,0.5018167760900427,0.5975516449885233,-9.57348688984806,0.15384489662798406,0.4781530257103003,0.8791900873973298,9.243910418390623
