overs,score,wickets,saved_model,scorecard_replay,router_raw,phase,rule,b1,b1_balls,b2,b2_balls,set_batter_exposure,balls_since_wicket,partnership_solidity,runs_last_12,runs_last_18,wickets_last_12,v7_raw,v7_cal
4.3,36,1,0.2139096958662694,0.2581779062999048,0.2581779062999048,pp,,Abhishek Sharma,14,Ishan Kishan,7,14.0,12.0,0.53,18.0,21.0,0.0,0.3991744137747615,0.3991744137747615
4.4,36,1,0.1969269600128467,0.2391285685477311,0.2391285685477311,pp,,Abhishek Sharma,14,Ishan Kishan,8,14.0,13.0,0.5433333333333333,18.0,21.0,0.0,0.3665115748584678,0.3665115748584678
4.5,37,1,0.1975649527667629,0.2397952032879673,0.2397952032879673,pp,,Abhishek Sharma,14,Ishan Kishan,9,14.0,14.0,0.5566666666666666,19.0,22.0,0.0,0.36750901870985014,0.36750901870985014
5.0,38,1,0.1968478489757254,0.2406491543126513,0.2406491543126513,pp,,Abhishek Sharma,15,Ishan Kishan,9,15.0,15.0,0.575,19.0,23.0,0.0,0.3742675642203691,0.3742675642203691
5.1,38,1,0.1599032686565405,0.2223773013441888,0.2223773013441888,pp,,Abhishek Sharma,15,Ishan Kishan,10,15.0,16.0,0.5883333333333334,15.0,22.0,0.0,0.36074322024134,0.36074322024134
5.2,39,1,0.1588930795248904,0.2217417546895605,0.2217417546895605,pp,,Abhishek Sharma,16,Ishan Kishan,10,16.0,17.0,0.6066666666666667,16.0,21.0,0.0,0.35883313235103215,0.35883313235103215
5.3,39,1,0.1337696393032202,0.1961446635769577,0.1961446635769577,pp,,Abhishek Sharma,16,Ishan Kishan,11,16.0,18.0,0.62,16.0,21.0,0.0,0.3495028159101697,0.3495028159101697
5.4,39,1,0.124011140767429,0.1708273012574229,0.1708273012574229,pp,,Abhishek Sharma,16,Ishan Kishan,12,16.0,19.0,0.6333333333333333,12.0,21.0,0.0,0.3278219511462934,0.3278219511462934
5.5,45,1,0.2008406807823477,0.2454571167270927,0.2454571167270927,pp,,Abhishek Sharma,17,Ishan Kishan,12,17.0,20.0,0.6516666666666666,18.0,27.0,0.0,0.4017353074748994,0.4017353074748994
6.0,45,1,0.1948544441792068,0.2226803966957762,0.2226803966957762,pp,,Abhishek Sharma,17,Ishan Kishan,13,17.0,21.0,0.665,14.0,26.0,0.0,0.4009790367560153,0.4009790367560153
6.1,45,1,0.1768406947266388,0.1922581837956063,0.1922581837956063,pp,,Abhishek Sharma,18,Ishan Kishan,13,18.0,22.0,0.6833333333333333,10.0,22.0,0.0,0.38760720661213866,0.38760720661213866
6.2,46,1,0.1737544553005088,0.1813680284801553,0.1813680284801553,pp,,Abhishek Sharma,18,Ishan Kishan,14,18.0,23.0,0.6966666666666668,10.0,23.0,0.0,0.3840194817793593,0.3840194817793593
6.3,47,1,0.1737544550402164,0.181367877775873,0.181367877775873,pp,,Abhishek Sharma,18,Ishan Kishan,15,18.0,24.0,0.71,11.0,24.0,0.0,0.37448677838056005,0.37448677838056005
6.4,47,1,0.1730782394819832,0.1435925536836197,0.1435925536836197,pp,,Abhishek Sharma,19,Ishan Kishan,15,19.0,25.0,0.7283333333333333,11.0,20.0,0.0,0.35810875028266365,0.35810875028266365
6.5,47,1,0.1714561732655064,0.135995721416637,0.135995721416637,pp,,Abhishek Sharma,19,Ishan Kishan,16,19.0,26.0,0.7416666666666667,10.0,20.0,0.0,0.3369171745498401,0.3369171745498401
7.0,53,1,0.1948544472518694,0.2478435588871084,0.2478435588871084,mid,,Abhishek Sharma,19,Ishan Kishan,17,19.0,27.0,0.755,15.0,22.0,0.0,0.41357334719037436,0.41357334719037436
7.1,54,1,0.1948544456676927,0.2478435564937988,0.2478435564937988,mid,,Abhishek Sharma,20,Ishan Kishan,17,20.0,28.0,0.7733333333333333,16.0,19.0,0.0,0.39999374593006015,0.39999374593006015
7.2,55,1,0.194854444414646,0.2478435551059198,0.2478435551059198,mid,,Abhishek Sharma,20,Ishan Kishan,18,20.0,29.0,0.7866666666666666,16.0,19.0,0.0,0.3973512658990688,0.3973512658990688
7.3,56,1,0.1913053146433609,0.2448010794960342,0.2448010794960342,mid,,Abhishek Sharma,21,Ishan Kishan,18,21.0,30.0,0.8049999999999999,17.0,20.0,0.0,0.39717072561115985,0.39717072561115985
7.4,56,2,0.096597248204401,0.1444992438532728,0.1444992438532728,mid,,Abhishek Sharma,21,Ishan Kishan,19,21.0,0.0,0.3299999999999999,17.0,20.0,1.0,0.24500732842504436,0.24500732842504436
7.5,56,2,0.0937105191361815,0.1421528977973067,0.1421528977973067,mid,,Ishan Kishan,19,Heinrich Klaasen,1,19.0,1.0,0.3333333333333333,11.0,19.0,1.0,0.23565203479515184,0.23565203479515184
