slice,prediction,n,rule_rate,brier,logloss,mean_pred,actual_wr,gap_pp
late_par_base_50_60_neutral_venue,cal_pred,44,0.0,0.2055361666975771,0.6036456855528152,0.5489891398524296,0.9545454545454546,-40.5556314693025
late_par_base_50_60_neutral_venue,corr_pred,44,1.0,0.16082072217307639,0.5062169060321988,0.611767549587602,0.9545454545454546,-34.277790495785254
late_par_base_50_80,cal_pred,148,0.0,0.18435633741959465,0.553599287017378,0.6288451264563399,0.777027027027027,-14.818190057068703
late_par_base_50_80,corr_pred,148,1.0,0.1725190652189239,0.5195347944065366,0.7342541207026939,0.777027027027027,-4.277290632433306
late_par_base_70_80,cal_pred,43,0.0,0.07945052449867854,0.3261077129981683,0.7409744429734574,0.9767441860465116,-23.57697430730542
late_par_base_70_80,corr_pred,43,1.0,0.03675602383812544,0.19299348546728698,0.8628613883899627,0.9767441860465116,-11.388279765654886
