fixed_slice,candidate,n,brier_cal,logloss_cal,mean_pred,actual_wr,gap_pp,venue_chase_success,team_venue_wr
late_par_base_50_60_neutral_venue,baseline_mid,44,0.2055361666975771,0.6036456855528152,0.5489891398524296,0.9545454545454546,-40.5556314693025,0.5039282830306674,0.5166666666666667
late_par_base_50_60_neutral_venue,death_plus_v7_gap_mid,44,0.2195288142034628,0.631559708383998,0.5361777186885955,0.9545454545454546,-41.836773585685904,0.5039282830306674,0.5166666666666667
late_par_base_50_60_neutral_venue,v7_gap_mid,44,0.21979661114189614,0.6323637920048635,0.5383587258424005,0.9545454545454546,-41.6186728703054,0.5039282830306674,0.5166666666666667
late_par_base_50_60_neutral_venue,death_gap_mid,44,0.22006942142439537,0.6326488972873109,0.5302941783526547,0.9545454545454546,-42.42512761927999,0.5039282830306674,0.5166666666666667
late_par_base_50_80,death_gap_mid,148,0.17743093944384528,0.5385325103042151,0.6110070488049436,0.777027027027027,-16.601997822208336,0.5249972780490716,0.47511261261261256
late_par_base_50_80,death_plus_v7_gap_mid,148,0.179025937770417,0.5415649607066657,0.6207227049526494,0.777027027027027,-15.63043220743776,0.5249972780490716,0.47511261261261256
late_par_base_50_80,baseline_mid,148,0.18435633741959465,0.553599287017378,0.6288451264563399,0.777027027027027,-14.818190057068703,0.5249972780490716,0.47511261261261256
late_par_base_50_80,v7_gap_mid,148,0.1949326425535345,0.5760968010114341,0.6227728521180184,0.777027027027027,-15.42541749090086,0.5249972780490716,0.47511261261261256
late_par_base_70_80,death_gap_mid,43,0.07804860387120238,0.3215095383376683,0.7429439984384351,0.9767441860465116,-23.38001876080765,0.5422845660245472,0.38023255813953494
late_par_base_70_80,death_plus_v7_gap_mid,43,0.07855632957689275,0.3226414751291253,0.7443227815954276,0.9767441860465116,-23.242140445108394,0.5422845660245472,0.38023255813953494
late_par_base_70_80,baseline_mid,43,0.07945052449867854,0.3261077129981683,0.7409744429734574,0.9767441860465116,-23.57697430730542,0.5422845660245472,0.38023255813953494
late_par_base_70_80,v7_gap_mid,43,0.08795509860112183,0.34714455202782374,0.7248714252614795,0.9767441860465116,-25.187276078503206,0.5422845660245472,0.38023255813953494
