season,over,ball,overs,score,wickets_lost,target_above_par,current_run_rate,required_run_rate,overs_remaining,balls_remaining,resource_win_prob,partnership_solidity,set_batter_exposure,runs_last_18,near_srh_market_prob_norm,scorecard_replay,v7_cal,partnership_solidity_v2,set_batter_exposure_v2,recent_rate_edge_v2,recent_rate_positive_v2,chase_completion_v2,chase_completion_effect_v2,wicket_safety_v2,phase_pp_v2,phase_mid_v2,phase_late_mid_v2,phase_death_v2,target_below_par_v2,target_above_par_v2,target_par_v2,mid_accel_gate_v2,mid_accel_strength_v2,resource_context_global,resource_phase_target_context,resource_mid_accel_gate_only
2026,0,1,0.0,0.0,0,7.550000000000011,0.0,9.05,20.0,120,0.3934798719118587,0.3158333333333333,0.5,0.0,0.6059880239520959,0.5560716413812694,0.3912599750419521,0.3158333333333333,0.0125,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.398125311176803,0.39901848337682655,0.3934798719118587
2026,0,1,0.1,0.0,0,7.550000000000011,0.0,9.126050420168069,19.833333333333332,119,0.3843098316114405,0.3316666666666666,1.0,0.0,0.6210153482880755,0.4722607527051227,0.3616978280943219,0.3316666666666666,0.025,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3897643544751397,0.3904508132886957,0.3843098316114405
2026,0,2,0.2,4.0,0,7.550000000000011,12.0,9.0,19.666666666666668,118,0.4076555812126452,0.345,1.0,4.0,0.6648106904231625,0.8379888268156425,0.5367952469879319,0.345,0.025,-1.0,0.0,0.022099447513812154,0.0055248618784530384,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.41643499824763114,0.41662800110398396,0.4076555812126452
2026,0,3,0.3,4.0,0,7.550000000000011,8.0,9.076923076923077,19.5,117,0.39823120560570474,0.3633333333333333,2.0,4.0,0.6692477876106194,0.283491876558771,0.4334343642087326,0.3633333333333333,0.05,-1.0,0.0,0.022099447513812154,0.0055248618784530384,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.40806353171536375,0.4081271989479143,0.39823120560570474
2026,0,4,0.4,4.0,0,7.550000000000011,6.0,9.155172413793103,19.333333333333332,116,0.38866925157562215,0.3766666666666666,2.0,4.0,0.6692477876106194,0.2514916591755322,0.4106667631228226,0.3766666666666666,0.05,-1.0,0.0,0.022099447513812157,0.005524861878453039,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39902326813767086,0.3988104662765463,0.38866925157562215
2026,0,5,0.5,8.0,0,7.550000000000011,9.6,9.02608695652174,19.166666666666668,115,0.41259825728604943,0.395,3.0,8.0,0.6857451403887689,0.3260409694204032,0.5074730897636494,0.395,0.075,-0.953913043478261,0.0,0.0441988950276243,0.011049723756906075,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42851098258068576,0.4275628984775522,0.41259825728604943
2026,0,5,0.5,9.0,0,7.550000000000011,10.799999999999999,8.97391304347826,19.166666666666668,115,0.42114632390445494,0.395,3.0,8.0,0.6808278867102397,0.5793650793650794,0.5391631160878444,0.395,0.075,-0.946086956521739,0.0,0.049723756906077346,0.012430939226519336,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43807869005742817,0.4370045330406659,0.42114632390445494
2026,1,1,1.0,10.0,0,7.550000000000011,10.0,9.0,19.0,114,0.41994947631378055,0.4133333333333333,4.0,9.0,0.6874328678839957,0.3646547000792017,0.5202200603801529,0.4133333333333333,0.1,-0.9,0.0,0.06386861313868614,0.015967153284671534,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.441319787249179,0.4395917826734865,0.41994947631378055
2026,1,1,1.1,10.0,0,7.550000000000011,8.571428571428571,9.079646017699115,18.833333333333332,113,0.40999379800605845,0.4266666666666666,4.0,9.0,0.674342105263158,0.2891702963785512,0.4561331914967841,0.4266666666666666,0.1,-0.9119469026548673,0.0,0.055248618784530384,0.013812154696132596,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.43040454518955185,0.4285905298162902,0.40999379800605845
2026,1,2,1.2,11.0,0,7.550000000000011,8.25,9.107142857142856,18.666666666666668,112,0.40857661837179154,0.4449999999999999,5.0,10.0,0.6644370122630991,0.2838977347061933,0.4523958330269171,0.4449999999999999,0.125,-0.8660714285714285,0.0,0.06077348066298342,0.015193370165745856,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4323635469848917,0.4299902891517417,0.40857661837179154
