window,model,n,mean_pred,actual_wr,gap_pp,brier,logloss,ece
pp_0_6,resource_v1,4072,0.4135786357572442,0.5471512770137524,-13.357264125650826,0.18139248294637858,0.5417267467288617,0.14519832853769762
pp_0_6,resource_context_global_guarded,4072,0.41208949713293297,0.5471512770137524,-13.506177988081946,0.1708533868861705,0.5120759482640189,0.1589922063221805
pp_0_6,resource_phase_target_guarded,4072,0.41855951010603026,0.5471512770137524,-12.859176690772218,0.16923241892027924,0.5082969117421646,0.15392357304594562
pp_0_6,resource_context_global,4072,0.40858764180800256,0.5471512770137524,-13.856363520574988,0.1760048520945868,0.5236685562602829,0.15288618955428346
first_half_0_12,resource_v1,7490,0.4524646504391043,0.545260347129506,-9.279569669040171,0.15844227026839136,0.4890036250167319,0.1233433412073024
first_half_0_12,resource_context_global_guarded,7490,0.45752148254348657,0.545260347129506,-8.773886458601943,0.14965513657159682,0.45923237800856614,0.11849234887532989
first_half_0_12,resource_phase_target_guarded,7490,0.4573984153538639,0.545260347129506,-8.786193177564211,0.14953734063700483,0.4577377101681623,0.11468418110570944
first_half_0_12,resource_context_global,7490,0.4567359581508274,0.545260347129506,-8.85243889786786,0.15318677978769712,0.46638318258650224,0.10364459543504313
early_mid_7_12,resource_v1,3418,0.49879111380497165,0.5430076067875951,-4.421649298262342,0.13110076470233986,0.4261924630472197,0.1162638531056836
early_mid_7_12,resource_context_global_guarded,3418,0.511646422447458,0.5430076067875951,-3.1361184340137127,0.12440081378606602,0.3962777208756802,0.07040866262762283
early_mid_7_12,resource_phase_target_guarded,3418,0.503668755368252,0.5430076067875951,-3.9338851419343124,0.12607380676646843,0.39750451274003545,0.06793672528925476
early_mid_7_12,resource_context_global,3418,0.5140969716522851,0.5430076067875951,-2.8910635135310003,0.1260026983267097,0.39813682752516977,0.060660514476734734
late_mid_13_15,resource_v1,1632,0.5151954237902276,0.5263480392156863,-1.1152615425458645,0.08602745098062185,0.2921611929757769,0.06020696328415624
late_mid_13_15,resource_context_global_guarded,1632,0.5485442837150493,0.5263480392156863,2.219624449936297,0.0899561392321008,0.29395337032784213,0.0381021403020271
late_mid_13_15,resource_phase_target_guarded,1632,0.5367685740525259,0.5263480392156863,1.042053483683958,0.09004517807157579,0.2936639255378585,0.029878080839773353
late_mid_13_15,resource_context_global,1632,0.5562041952335668,0.5263480392156863,2.9856156017880497,0.08726171820825147,0.28277718818754677,0.03941185519283231
full_mid_7_15,resource_v1,5050,0.504092467051692,0.5376237623762377,-3.3531295324545685,0.11653449777286586,0.38287780309541886,0.09735707118864166
full_mid_7_15,resource_context_global_guarded,5050,0.5235706421679944,0.5376237623762377,-1.405312020824323,0.11326938628664598,0.3632097327382403,0.05107852013734064
full_mid_7_15,resource_phase_target_guarded,5050,0.5143655680598826,0.5376237623762377,-2.3258194316355008,0.11443049547338627,0.36394652495509433,0.04574525068016872
full_mid_7_15,resource_context_global,5050,0.5277046922235034,0.5376237623762377,-0.99190701527343,0.11348284098941785,0.36085624705012015,0.041709935885587815
death_16_20,resource_v1,1516,0.3842284313272381,0.40369393139841686,-1.9465500071178754,0.0651964335163586,0.21491340451345925,0.022400933909573983
death_16_20,resource_context_global_guarded,1516,0.3970444419528277,0.40369393139841686,-0.6649489445589185,0.06532126134458771,0.21838814312308494,0.01622447758674856
death_16_20,resource_phase_target_guarded,1516,0.4224685587337326,0.40369393139841686,1.8774627335315763,0.0742771305463527,0.24245918369126032,0.03306250550601368
death_16_20,resource_context_global,1516,0.3991061543235108,0.40369393139841686,-0.4587777074906041,0.0659914966560988,0.219756982801444,0.020802194117427304
all_inn2,resource_v1,10638,0.45236411593406983,0.5221846211693928,-6.982050523532296,0.13404466981776889,0.41974552919291164,0.09278857139644257
all_inn2,resource_context_global_guarded,10638,0.4628670379088326,0.5221846211693928,-5.931758326056019,0.12847832528167358,0.3995543181644854,0.08178453055933414
all_inn2,resource_phase_target_guarded,10638,0.46459698993180126,0.5221846211693928,-5.758763123759153,0.12968533012711492,0.4018878640828419,0.07858596786384578
all_inn2,resource_context_global,10638,0.4637829012150141,0.5221846211693928,-5.840171995437871,0.13064704020082377,0.40306956144218536,0.06777356283177902
