model,brier,brier_delta_pct,logloss,logloss_delta_pct,ece,ece_delta,mean_pred,actual_wr,gap_pp
context_global_guarded,0.12847832528167358,-4.152604160734362,0.3995543181644854,-4.810345703324105,0.08178453055933414,-0.01100404083710843,0.4628670379088326,0.5221846211693928,-5.931758326056019
phase_target_guarded,0.12968533012711492,-3.2521544471558665,0.4018878640828419,-4.254402695939738,0.07858596786384578,-0.014202603532596794,0.46459698993180126,0.5221846211693928,-5.758763123759153
context_global,0.13064704020082377,-2.5346995308087448,0.40306956144218536,-3.972875609370013,0.06777356283177902,-0.025015008564663557,0.4637829012150141,0.5221846211693928,-5.840171995437871
phase_target_context,0.1311119244572662,-2.187886593692765,0.40339005861077326,-3.896520497451573,0.06473869183942274,-0.028049879557019833,0.46697648919187884,0.5221846211693928,-5.520813197751395
mid_accel_gate_only,0.13330227325617436,-0.5538426575288677,0.4163495990383175,-0.8090449852137485,0.08299743691448332,-0.009791134481959257,0.46055258755918976,0.5221846211693928,-6.163203361020303
resource_v1,0.13404466981776889,0.0,0.41974552919291164,0.0,0.09278857139644257,0.0,0.45236411593406983,0.5221846211693928,-6.982050523532296
