window,bucket,model,n,mean_pred,actual,gap_pp,brier,logloss,ece
late_mid_13_15,above,resource_v1,701,0.3187449865736196,0.2710413694721826,4.7703617101437,0.058432609089769036,0.21326531744480506,0.10179540271933114
late_mid_13_15,above,resource_context_global,701,0.3655882695601258,0.2710413694721826,9.45469000879432,0.06494645564297026,0.2187140594867229,0.11015293254661696
late_mid_13_15,above,resource_context_global_guarded,701,0.3655882695601258,0.2710413694721826,9.45469000879432,0.06494645564297026,0.2187140594867229,0.11015293254661696
late_mid_13_15,above,resource_context_window_guarded,701,0.3187449865736196,0.2710413694721826,4.7703617101437,0.058432609089769036,0.21326531744480506,0.10179540271933114
late_mid_13_15,above,resource_context_firsthalf_only,701,0.3187449865736196,0.2710413694721826,4.7703617101437,0.058432609089769036,0.21326531744480506,0.10179540271933114
late_mid_13_15,below,resource_v1,284,0.8015246971676354,0.954225352112676,-15.27006549450406,0.12207077868089428,0.43362319866433674,0.21666594491170746
late_mid_13_15,below,resource_context_global,284,0.845542216879679,0.954225352112676,-10.8683135232997,0.10658734519173191,0.36939950411165384,0.1576081991340633
late_mid_13_15,below,resource_context_global_guarded,284,0.8015246971676354,0.954225352112676,-15.27006549450406,0.12207077868089428,0.43362319866433674,0.21666594491170746
late_mid_13_15,below,resource_context_window_guarded,284,0.845542216879679,0.954225352112676,-10.8683135232997,0.10658734519173191,0.36939950411165384,0.1576081991340633
late_mid_13_15,below,resource_context_firsthalf_only,284,0.8015246971676354,0.954225352112676,-15.27006549450406,0.12207077868089428,0.43362319866433674,0.21666594491170746
late_mid_13_15,par,resource_v1,647,0.6023580866181386,0.615146831530139,-1.2788744912000438,0.10010423474972611,0.3155472812781885,0.07258467057696892
late_mid_13_15,par,resource_context_global,647,0.6357246987105161,0.615146831530139,2.057786718037702,0.10295649563476414,0.3141643837004234,0.044143237426009764
late_mid_13_15,par,resource_context_global_guarded,647,0.6357246987105161,0.615146831530139,2.057786718037702,0.10295649563476414,0.3141643837004234,0.044143237426009764
late_mid_13_15,par,resource_context_window_guarded,647,0.6023580866181386,0.615146831530139,-1.2788744912000438,0.10010423474972611,0.3155472812781885,0.07258467057696892
late_mid_13_15,par,resource_context_firsthalf_only,647,0.6023580866181386,0.615146831530139,-1.2788744912000438,0.10010423474972611,0.3155472812781885,0.07258467057696892
late_mid_13_15,all,resource_v1,1632,0.5151954237902276,0.5263480392156863,-1.1152615425458645,0.08602745098062185,0.2921611929757769,0.06020696328415624
late_mid_13_15,all,resource_context_global,1632,0.5562041952335668,0.5263480392156863,2.9856156017880497,0.08726171820825147,0.28277718818754677,0.03941185519283231
late_mid_13_15,all,resource_context_global_guarded,1632,0.5485442837150493,0.5263480392156863,2.219624449936297,0.0899561392321008,0.29395337032784213,0.0381021403020271
late_mid_13_15,all,resource_context_window_guarded,1632,0.522855335308745,0.5263480392156863,-0.3492703906941341,0.08333302995677253,0.28098501083548166,0.05210670850090314
late_mid_13_15,all,resource_context_firsthalf_only,1632,0.5151954237902276,0.5263480392156863,-1.1152615425458645,0.08602745098062185,0.2921611929757769,0.06020696328415624
death_16_20,above,resource_v1,775,0.2442861218854658,0.20516129032258065,3.9124831562885154,0.023832277498183885,0.09442698367397871,0.04555307503031102
death_16_20,above,resource_context_global,775,0.25778507893937663,0.20516129032258065,5.262378861679598,0.024558932247940014,0.08956637745101595,0.054668703757575036
death_16_20,above,resource_context_global_guarded,775,0.25778507893937663,0.20516129032258065,5.262378861679598,0.024558932247940014,0.08956637745101595,0.054668703757575036
death_16_20,above,resource_context_window_guarded,775,0.2442861218854658,0.20516129032258065,3.9124831562885154,0.023832277498183885,0.09442698367397871,0.04555307503031102
death_16_20,above,resource_context_firsthalf_only,775,0.2442861218854658,0.20516129032258065,3.9124831562885154,0.023832277498183885,0.09442698367397871,0.04555307503031102
death_16_20,below,resource_v1,163,0.7628389544939431,1.0,-23.71610455060569,0.12816139721740116,0.379221459059016,0.23716104550605693
death_16_20,below,resource_context_global,163,0.7820141443955116,1.0,-21.798585560448835,0.13439499680176215,0.3919525078466993,0.2179858556044883
death_16_20,below,resource_context_global_guarded,163,0.7628389544939431,1.0,-23.71610455060569,0.12816139721740116,0.379221459059016,0.23716104550605693
death_16_20,below,resource_context_window_guarded,163,0.7628389544939431,1.0,-23.71610455060569,0.12816139721740116,0.379221459059016,0.23716104550605693
death_16_20,below,resource_context_firsthalf_only,163,0.7628389544939431,1.0,-23.71610455060569,0.12816139721740116,0.379221459059016,0.23716104550605693
death_16_20,par,resource_v1,578,0.4650965533708379,0.5017301038062284,-3.6633550435390516,0.10290219792953413,0.33012925790389464,0.05775471470574421
death_16_20,par,resource_context_global,578,0.48061105231826484,0.5017301038062284,-2.111905148796356,0.10225528020727516,0.34576018100941136,0.05949795326822233
death_16_20,par,resource_context_global_guarded,578,0.48061105231826484,0.5017301038062284,-2.111905148796356,0.10225528020727516,0.34576018100941136,0.05949795326822233
death_16_20,par,resource_context_window_guarded,578,0.4650965533708379,0.5017301038062284,-3.6633550435390516,0.10290219792953413,0.33012925790389464,0.05775471470574421
death_16_20,par,resource_context_firsthalf_only,578,0.4650965533708379,0.5017301038062284,-3.6633550435390516,0.10290219792953413,0.33012925790389464,0.05775471470574421
death_16_20,all,resource_v1,1516,0.3842284313272381,0.40369393139841686,-1.9465500071178754,0.0651964335163586,0.21491340451345925,0.022400933909573983
death_16_20,all,resource_context_global,1516,0.3991061543235108,0.40369393139841686,-0.4587777074906041,0.0659914966560988,0.219756982801444,0.020802194117427304
death_16_20,all,resource_context_global_guarded,1516,0.3970444419528277,0.40369393139841686,-0.6649489445589185,0.06532126134458771,0.21838814312308494,0.01622447758674856
death_16_20,all,resource_context_window_guarded,1516,0.3842284313272381,0.40369393139841686,-1.9465500071178754,0.0651964335163586,0.21491340451345925,0.022400933909573983
death_16_20,all,resource_context_firsthalf_only,1516,0.3842284313272381,0.40369393139841686,-1.9465500071178754,0.0651964335163586,0.21491340451345925,0.022400933909573983
full_mid_7_15,above,resource_v1,2089,0.29901829322133033,0.26807084729535663,3.0947445925973707,0.08544475658670797,0.2902216568708447,0.10261566706643274
full_mid_7_15,above,resource_context_global,2089,0.32438747404061685,0.26807084729535663,5.631662674526022,0.08096131552388393,0.26920369435797914,0.09319847102142681
full_mid_7_15,above,resource_context_global_guarded,2089,0.32438747404061685,0.26807084729535663,5.631662674526022,0.08096131552388393,0.26920369435797914,0.09319847102142681
full_mid_7_15,above,resource_context_window_guarded,2089,0.3086684020571124,0.26807084729535663,4.0597554761755745,0.07877548190311127,0.2673752749365409,0.09451628393321665
full_mid_7_15,above,resource_context_firsthalf_only,2089,0.3086684020571124,0.26807084729535663,4.0597554761755745,0.07877548190311127,0.2673752749365409,0.09451628393321665
full_mid_7_15,below,resource_v1,1010,0.7727686034001381,0.9504950495049505,-17.772644610481237,0.14023011980206768,0.4726389168731692,0.25714516697573214
full_mid_7_15,below,resource_context_global,1010,0.7934388536776823,0.9504950495049505,-15.705619582726815,0.14129739331592708,0.46087148843256837,0.20889064968490864
full_mid_7_15,below,resource_context_global_guarded,1010,0.7727686034001381,0.9504950495049505,-17.772644610481237,0.14023011980206768,0.4726389168731692,0.25714516697573214
full_mid_7_15,below,resource_context_window_guarded,1010,0.7851458069627325,0.9504950495049505,-16.534924254221796,0.13587636226650124,0.45457997701875147,0.240538830539246
full_mid_7_15,below,resource_context_firsthalf_only,1010,0.7727686034001381,0.9504950495049505,-17.772644610481237,0.14023011980206768,0.4726389168731692,0.25714516697573214
full_mid_7_15,par,resource_v1,1951,0.5845830110904903,0.6125064069707842,-2.792339588029391,0.13755648192888317,0.43561996841966655,0.08702754763241363
full_mid_7_15,par,resource_context_global,1951,0.607837017039151,0.6125064069707842,-0.4669389931633128,0.13390558258230664,0.40721544170804413,0.04809579946826153
full_mid_7_15,par,resource_context_global_guarded,1951,0.607837017039151,0.6125064069707842,-0.4669389931633128,0.13390558258230664,0.40721544170804413,0.04809579946826153
full_mid_7_15,par,resource_context_window_guarded,1951,0.5967718207173838,0.6125064069707842,-1.5734586253400407,0.13295970211453648,0.40767404485146497,0.05091273169942645
full_mid_7_15,par,resource_context_firsthalf_only,1951,0.5967718207173838,0.6125064069707842,-1.5734586253400407,0.13295970211453648,0.40767404485146497,0.05091273169942645
full_mid_7_15,all,resource_v1,5050,0.504092467051692,0.5376237623762377,-3.3531295324545685,0.11653449777286586,0.38287780309541886,0.09735707118864166
full_mid_7_15,all,resource_context_global,5050,0.5277046922235034,0.5376237623762377,-0.99190701527343,0.11348284098941785,0.36085624705012015,0.041709935885587815
full_mid_7_15,all,resource_context_global_guarded,5050,0.5235706421679944,0.5376237623762377,-1.405312020824323,0.11326938628664598,0.3632097327382403,0.05107852013734064
full_mid_7_15,all,resource_context_window_guarded,5050,0.5152687879503531,0.5376237623762377,-2.235497442588452,0.11112900720994581,0.359018769829026,0.05612563174749387
full_mid_7_15,all,resource_context_firsthalf_only,5050,0.5127933472378343,0.5376237623762377,-2.483041513840334,0.11199975871705913,0.36263055779990955,0.060170316158443114
all_inn2,above,resource_v1,4500,0.2599404321560382,0.25866666666666666,0.12737654893715256,0.10196940939383765,0.3270834347490206,0.055377353080182844
all_inn2,above,resource_context_global,4500,0.2744077218824297,0.25866666666666666,1.5741055215763022,0.09472656551498462,0.300844840707094,0.04407796866906151
all_inn2,above,resource_context_global_guarded,4500,0.2744077218824297,0.25866666666666666,1.5741055215763022,0.09472656551498462,0.300844840707094,0.04407796866906151
all_inn2,above,resource_context_window_guarded,4500,0.2647857589734693,0.25866666666666666,0.6119092306802631,0.09358670687835018,0.3008331521851855,0.04997129847397075
