method,brier,ece,logloss,brier_mean,brier_std,ece_mean,ece_std,logloss_mean,logloss_std
raw,0.14558487341304618,0.05576784948835543,0.4449009371441279,0.14558487341304613,0.011098937238789826,0.057367390638931495,0.01685221044141298,0.4449009371441279,0.026478652914149352
combined,0.14283225815694522,0.005338628359733448,0.43122636970411105,0.1428322581569452,0.013228155292701669,0.03174478296371795,0.008079032508350816,0.431226369704111,0.033374556382011936
innings_specific,0.1435365516369907,0.00547636243084959,0.43282998013066826,0.14353655163699067,0.013116911942574137,0.032419375355572,0.009763589354300623,0.4328299801306682,0.03243175473858525
innings_phase,0.14295991157649457,0.011727865732152665,0.4374421069279542,0.14295991157649457,0.013101234999994715,0.030162069665619146,0.008879781496825839,0.4374421069279542,0.0313944726835719
brier_optimized,0.14395098770081655,0.013155497463951983,0.46424759981686264,0.14395098770081655,0.013066237662236973,0.032031872048536594,0.009762930913076156,0.4642475998168628,0.04088151309643412
ece_optimized,0.1425665580249155,0.009075178904290557,0.430638112960293,0.14256655802491552,0.013071337739834647,0.030633482640385495,0.00844590410094886,0.43063811296029303,0.03311037216933957
logloss_optimized,0.1431743373877948,0.01990881979387607,0.43696864264685065,0.14317433738779478,0.0135151148535552,0.03795480407926562,0.01112178037213488,0.43696864264685065,0.0335666182871314
