feature,importance
resource_win_prob,0.25363305
dls_pressure_index,0.12780912
score_vs_par,0.09405222
run_rate_diff,0.037446957
venue_chase_success,0.027120952
expected_final_score,0.025815835
rrr_times_wickets,0.024545465
target_above_par,0.024327463
situation_advantage,0.023459576
batting_team_win_rate,0.023024421
team_strength_diff,0.02277435
chase_difficulty,0.021705536
score_per_wicket,0.021601422
inn1_death_rr,0.021384252
inn1_pp_runs,0.021169547
batting_won_toss,0.021120116
inn1_defendability,0.021067414
projected_vs_venue_avg,0.020870047
bowling_team_win_rate,0.020339604
bowling_team_situation_wr,0.018571034
batting_team_situation_wr,0.018399091
required_run_rate,0.01810244
inn1_wickets_lost,0.01784159
projected_score,0.015994623
pressure_index,0.015399868
overs_remaining,0.010948541
is_powerplay,0.009254677
wickets_times_balls,0.009013434
runs_last_18,0.008001106
wickets_last_12,0.0022956997
runs_last_12,0.0017151148
boundary_pct_last_18,0.0011953183
