segment,situation,n,matches,actual_wr,raw_mean,cal_mean,raw_bias,cal_bias,raw_abs_error,cal_abs_error,raw_brier,cal_brier,brier_delta_cal_minus_raw,brier_delta_pct,raw_logloss,cal_logloss,logloss_delta_pct,raw_ece,cal_ece
overall,all,10047,93,0.5205533990245844,0.48492374610442,0.4899630154639025,-0.0356296529201644,-0.030590383560681944,0.0356296529201644,0.030590383560681944,0.10987947204856607,0.11175015481133287,0.0018706827627667927,1.7024861221939271,0.35501283257529614,0.3743111001646648,5.43593521658843,0.060319282842595426,0.062458758784326676
phase,phase=death,1516,79,0.40369393139841686,0.42939989436596576,0.4305885987866179,0.0257059629675489,0.026894667388201066,0.0257059629675489,0.026894667388201066,0.06377339959316633,0.06493365551031012,0.0011602559171437904,1.819341488058476,0.2077752367352594,0.2101839796801359,1.1593022261578,0.03425061851685685,0.04251873306533106
phase,phase=mid,5050,93,0.5376237623762377,0.5181860018627863,0.520358771442801,-0.019437760513451363,-0.017264990933436697,0.019437760513451363,0.017264990933436697,0.10268284351827603,0.10369643445698584,0.001013590938709813,0.9871083658969854,0.33494836132554806,0.33743639494934685,0.7428111049573352,0.0449369254751642,0.04824089968540228
phase,phase=pp,3481,93,0.5466819879345016,0.46085013727240254,0.47172487929306817,-0.08583185066209909,-0.07495710864143346,0.08583185066209909,0.07495710864143346,0.1403993743526025,0.14382286401265515,0.003423489660052653,2.4383938146724327,0.4482440233551649,0.49928495135452433,11.386861918941262,0.11649696201077753,0.12987292010812237
chase_bucket,chase_bucket=high,4258,37,0.2576326914044152,0.286978235176822,0.29869697167189935,0.029345543772406835,0.041064280267484154,0.029345543772406835,0.041064280267484154,0.08231959772517164,0.08538188069588043,0.0030622829707087906,3.719992632777902,0.26956384917621395,0.28027928817173403,3.9751023841907642,0.05533401286494695,0.07123685359618322
chase_bucket,chase_bucket=low,1953,21,0.9559651817716334,0.7924644886786394,0.787501957129947,-0.16350069309299398,-0.1684632246416864,0.16350069309299398,0.1684632246416864,0.1430618278047429,0.14149603356788285,-0.0015657942368600686,-1.0944877895710474,0.4794797886531097,0.5418358357606845,13.004937555915975,0.20073239766273737,0.19634006414971608
chase_bucket,chase_bucket=par,3836,35,0.5907194994786236,0.5480689273563132,0.5507860763065939,-0.04265057212231038,-0.039933423172029636,0.04265057212231038,0.039933423172029636,0.12357728333042224,0.1258748706538913,0.002297587323469061,1.8592311317653325,0.38649296972162617,0.39339651383694646,1.7862017309894693,0.07177109362228574,0.07744810580561927
phase_x_chase_bucket,phase=death|chase_bucket=high,775,35,0.20516129032258065,0.2846377173649181,0.28517253190926467,0.07947642704233746,0.08001124158668402,0.07947642704233746,0.08001124158668402,0.032319163893730934,0.03542532084581345,0.003106156952082516,9.610882763848444,0.1191584895627178,0.1267623423231447,6.38129334160845,0.09139203223881966,0.09544023485936862
phase_x_chase_bucket,phase=death|chase_bucket=low,163,12,1.0,0.8300828015542965,0.8355279714296986,-0.16991719844570352,-0.1644720285703014,0.16991719844570352,0.1644720285703014,0.10338707216361644,0.09087131996525133,-0.012515752198365107,-12.105722636731752,0.30928408906960625,0.27630881367813254,-10.661807883706693,0.1699171984457035,0.16447202857030152
phase_x_chase_bucket,phase=death|chase_bucket=par,578,32,0.5017301038062284,0.5105060765530143,0.5113711837159027,0.008775972746785876,0.009641079909674333,0.008775972746785876,0.009641079909674333,0.09477686678707478,0.09718472827645112,0.0024078614893763423,2.540558230085651,0.29796907086713004,0.3033905904240714,1.8194907079328793,0.04831719557619368,0.06940170466650628
phase_x_chase_bucket,phase=mid|chase_bucket=high,2089,37,0.26807084729535663,0.30996328100604187,0.31846500458833576,0.04189243371068524,0.050394157292979136,0.04189243371068524,0.050394157292979136,0.07171551981549738,0.07498730978576752,0.003271789970270139,4.562178422031211,0.24944799290592656,0.2612079089847772,4.71437590732013,0.0897679199763139,0.1012546808166063
phase_x_chase_bucket,phase=mid|chase_bucket=low,1010,21,0.9504950495049505,0.7997078031962535,0.7932377010163314,-0.150787246308697,-0.15725734848861905,0.150787246308697,0.15725734848861905,0.14287165695430223,0.1400104483896455,-0.002861208564656742,-2.002642529421987,0.4643049266467787,0.44517545239103823,-4.120023966554476,0.1779504148284661,0.17712952560026138
phase_x_chase_bucket,phase=mid|chase_bucket=par,1951,35,0.6125064069707842,0.5953978135096017,0.5952682333032377,-0.01710859346118243,-0.01723817366754643,0.01710859346118243,0.01723817366754643,0.11503550248532789,0.1156370840552374,0.0006015815699095123,0.5229529640088637,0.3595306978986627,0.36328204290622934,1.0434004744217933,0.05369341955711162,0.06371751929171392
phase_x_chase_bucket,phase=pp|chase_bucket=high,1394,37,0.27116212338593976,0.25383486399101496,0.276592251480799,-0.0173272593949248,0.005430128094859266,0.0173272593949248,0.005430128094859266,0.12600844634258634,0.12873237747854024,0.0027239311359539,2.1617051991484706,0.38332724763323683,0.3942073686266907,2.838337493781252,0.06615683610387146,0.080061910830097
phase_x_chase_bucket,phase=pp|chase_bucket=low,780,21,0.9538461538461539,0.7752240621895082,0.7700386985964752,-0.17862209165664567,-0.18380745524967868,0.17862209165664567,0.18380745524967868,0.15159908130275407,0.15399894298743239,0.002399861684678317,1.5830318126305951,0.5346958266768344,0.7224869790976057,35.121118036006436,0.2432848961603897,0.23641780078257263
phase_x_chase_bucket,phase=pp|chase_bucket=par,1307,35,0.5975516449885233,0.494031185106306,0.501816772264488,-0.10352045988221731,-0.09573487272403536,0.10352045988221731,0.09573487272403536,0.14906439518262873,0.15384489662798023,0.004780501445351498,3.2070042208902985,0.4658886895873496,0.47815302226729905,2.632459845894162,0.1326482075090768,0.14291294294410692
target_band,target_band=-20:0,1588,15,0.9584382871536524,0.735264743860754,0.7292404762681156,-0.2231735432928984,-0.2291978108855368,0.2231735432928984,0.2291978108855368,0.1030875360901745,0.10548870044556016,0.0024011643553856626,2.3292479832724635,0.3397235218347403,0.3483155795219447,2.5291324076712085,0.22317354329289832,0.22919781088553667
target_band,target_band=-40:-20,1067,10,1.0,0.6734654505921204,0.6698838758507314,-0.3265345494078796,-0.3301161241492686,0.3265345494078796,0.3301161241492686,0.18506220213682284,0.18100170587064426,-0.004060496266178576,-2.194125120793987,0.5810895568735168,0.5637929263807915,-2.9765860164116185,0.3265345494078796,0.33011612414926855
