segment,model,bucket,n,matches,mean_pred,actual_wr,bias_pred_minus_actual,abs_error
high_chase_mid,v14_raw,40-50%,75,10,0.44371968628918634,0.24,0.20371968628918635,0.20371968628918635
high_chase_mid,v14_raw,50-60%,82,9,0.5565905823915659,0.5487804878048781,0.007810094586687799,0.007810094586687799
high_chase_mid,v14_raw,60-70%,90,9,0.6503566447297242,0.5888888888888889,0.0614677558408353,0.0614677558408353
high_chase_mid,v14_raw,70-80%,111,8,0.7441909945876248,0.9819819819819819,-0.2377909873943571,0.2377909873943571
high_chase_mid,v14_raw,80-90%,118,9,0.8559138890383278,1.0,-0.14408611096167223,0.14408611096167223
high_chase_mid,v14_raw,90-100%,147,7,0.9550409203387883,1.0,-0.04495907966121171,0.04495907966121171
high_chase_death,v14_calibrated,0-10%,434,25,0.011457087802921553,0.0,0.011457087802921553,0.011457087802921553
high_chase_death,v14_calibrated,10-20%,31,12,0.15415961152606822,0.0,0.15415961152606822,0.15415961152606822
high_chase_death,v14_calibrated,20-30%,24,10,0.2588300788110027,0.0,0.2588300788110027,0.2588300788110027
high_chase_death,v14_calibrated,30-40%,76,8,0.3492334008587494,0.0,0.3492334008587494,0.3492334008587494
high_chase_death,v14_calibrated,40-50%,18,5,0.42135537231344133,0.0,0.42135537231344133,0.42135537231344133
high_chase_death,v14_calibrated,50-60%,23,4,0.5420058468820586,0.0,0.5420058468820586,0.5420058468820586
high_chase_death,v14_calibrated,60-70%,6,2,0.6609977324263038,0.0,0.6609977324263038,0.6609977324263038
high_chase_death,v14_calibrated,70-80%,2,1,0.7096774193548387,0.0,0.7096774193548387,0.7096774193548387
high_chase_death,v14_calibrated,80-90%,13,5,0.8497377145494986,0.8461538461538461,0.003583868395652501,0.003583868395652501
high_chase_death,v14_calibrated,90-100%,142,9,0.9578962331467232,1.0,-0.04210376685327677,0.04210376685327677
high_chase_death,v14_raw,0-10%,424,25,0.015762297280790826,0.0,0.015762297280790826,0.015762297280790826
high_chase_death,v14_raw,10-20%,56,10,0.1353592699006644,0.0,0.1353592699006644,0.1353592699006644
high_chase_death,v14_raw,20-30%,49,9,0.2515110360757402,0.0,0.2515110360757402,0.2515110360757402
high_chase_death,v14_raw,30-40%,34,8,0.3488230137353552,0.0,0.3488230137353552,0.3488230137353552
high_chase_death,v14_raw,40-50%,25,5,0.4570737496923056,0.0,0.4570737496923056,0.4570737496923056
high_chase_death,v14_raw,50-60%,14,3,0.5453772458797924,0.0,0.5453772458797924,0.5453772458797924
high_chase_death,v14_raw,60-70%,10,2,0.6394055104712303,0.0,0.6394055104712303,0.6394055104712303
high_chase_death,v14_raw,70-80%,3,1,0.7489340009028697,0.0,0.7489340009028697,0.7489340009028697
high_chase_death,v14_raw,80-90%,7,5,0.8658841833138357,0.8571428571428571,0.008741326170978558,0.008741326170978558
high_chase_death,v14_raw,90-100%,153,9,0.9698215881461644,1.0,-0.03017841185383563,0.03017841185383563
high_chase_pp,v14_calibrated,0-10%,369,17,0.029846781017048976,0.0,0.029846781017048976,0.029846781017048976
high_chase_pp,v14_calibrated,10-20%,214,23,0.1619816918634359,0.07476635514018691,0.08721533672324898,0.08721533672324898
high_chase_pp,v14_calibrated,20-30%,292,24,0.2668164619062608,0.1643835616438356,0.10243290026242519,0.10243290026242519
high_chase_pp,v14_calibrated,30-40%,130,20,0.350682955231389,0.4461538461538462,-0.0954708909224572,0.0954708909224572
high_chase_pp,v14_calibrated,40-50%,172,20,0.44167922655274117,0.5697674418604651,-0.12808821530772396,0.12808821530772396
high_chase_pp,v14_calibrated,50-60%,97,13,0.5462971619794309,0.6185567010309279,-0.07225953905149696,0.07225953905149696
high_chase_pp,v14_calibrated,60-70%,47,8,0.6385090877527474,0.8297872340425532,-0.19127814628980577,0.19127814628980577
high_chase_pp,v14_calibrated,70-80%,61,7,0.7637759699112179,0.7704918032786885,-0.006715833367470614,0.006715833367470614
high_chase_pp,v14_calibrated,80-90%,5,1,0.8496941767909509,1.0,-0.15030582320904906,0.15030582320904906
high_chase_pp,v14_calibrated,90-100%,7,1,0.9406399144948977,1.0,-0.0593600855051023,0.0593600855051023
high_chase_pp,v14_raw,0-10%,459,21,0.03662784336099759,0.002178649237472767,0.034449194123524825,0.034449194123524825
high_chase_pp,v14_raw,10-20%,204,25,0.14837662576949612,0.1323529411764706,0.016023684593025528,0.016023684593025528
high_chase_pp,v14_raw,20-30%,244,23,0.24859685274487917,0.19672131147540983,0.05187554126946933,0.05187554126946933
high_chase_pp,v14_raw,30-40%,165,21,0.3492930543758032,0.503030303030303,-0.15373724865449984,0.15373724865449984
high_chase_pp,v14_raw,40-50%,103,14,0.4477532442869573,0.6213592233009708,-0.17360597901401353,0.17360597901401353
high_chase_pp,v14_raw,50-60%,89,14,0.542646866704609,0.5168539325842697,0.02579293412033934,0.02579293412033934
high_chase_pp,v14_raw,60-70%,62,6,0.6560694241057806,0.8548387096774194,-0.19876928557163875,0.19876928557163875
high_chase_pp,v14_raw,70-80%,51,7,0.75282837386457,0.7647058823529411,-0.011877508488371102,0.011877508488371102
high_chase_pp,v14_raw,80-90%,9,2,0.8446359132010499,1.0,-0.15536408679895009,0.15536408679895009
high_chase_pp,v14_raw,90-100%,8,1,0.9234215904142465,1.0,-0.07657840958575346,0.07657840958575346
