segment,situation,model,pred_bin,n,matches,mean_pred,actual_wr,bias,abs_error
phase,phase=mid,calibrated,"[0.0, 0.1)",884,28,0.031288959683100526,0.02262443438914027,0.008664525293960255,0.008664525293960255
phase,phase=mid,calibrated,"[0.1, 0.2)",474,30,0.15606392638488403,0.13291139240506328,0.023152533979820755,0.023152533979820755
phase,phase=mid,calibrated,"[0.2, 0.3)",464,33,0.24694057787158902,0.11853448275862069,0.12840609511296833,0.12840609511296833
phase,phase=mid,calibrated,"[0.3, 0.4)",360,37,0.3469456745665366,0.3472222222222222,-0.0002765476556856328,0.0002765476556856328
phase,phase=mid,calibrated,"[0.4, 0.5)",260,32,0.44655040217016884,0.5115384615384615,-0.06498805936829266,0.06498805936829266
phase,phase=mid,calibrated,"[0.5, 0.6)",276,30,0.5553929293528574,0.6630434782608695,-0.10765054890801207,0.10765054890801207
phase,phase=mid,calibrated,"[0.6, 0.7)",299,31,0.6543117426840768,0.7558528428093646,-0.10154110012528783,0.10154110012528783
phase,phase=mid,calibrated,"[0.7, 0.8)",412,37,0.7546314043529567,0.9029126213592233,-0.14828121700626662,0.14828121700626662
phase,phase=mid,calibrated,"[0.8, 0.9)",448,38,0.854466374830282,0.9017857142857143,-0.04731933945543232,0.04731933945543232
phase,phase=mid,calibrated,"[0.9, 1.0)",1173,41,0.9616004643631053,0.9667519181585678,-0.005151453795462446,0.005151453795462446
phase,phase=pp,raw,"[0.0, 0.1)",574,26,0.03913119220253117,0.06794425087108014,-0.02881305866854897,0.02881305866854897
phase,phase=pp,raw,"[0.1, 0.2)",375,37,0.14752695359277243,0.09866666666666667,0.048860286926105764,0.048860286926105764
phase,phase=pp,raw,"[0.2, 0.3)",373,36,0.24878575411465023,0.21983914209115282,0.02894661202349741,0.02894661202349741
phase,phase=pp,raw,"[0.3, 0.4)",314,37,0.35210902734435123,0.5573248407643312,-0.20521581341997996,0.20521581341997996
phase,phase=pp,raw,"[0.4, 0.5)",244,32,0.4505733459441072,0.6311475409836066,-0.1805741950394994,0.1805741950394994
phase,phase=pp,raw,"[0.5, 0.6)",276,36,0.5492603984771163,0.7101449275362319,-0.16088452905911566,0.16088452905911566
phase,phase=pp,raw,"[0.6, 0.7)",326,35,0.6530616729277027,0.9355828220858896,-0.28252114915818693,0.28252114915818693
