feature,effect,bootstrap_mean,bootstrap_se,ci_low,ci_high,sign_stability,feature_mean,feature_std,segment,global_tau,keep_weight,shrunk_effect,shrunk_z,survives_shrinkage,loo_n,loo_market_brier,loo_signal_brier,loo_brier_delta,loo_market_logloss,loo_signal_logloss,loo_logloss_delta
dls_pressure_index,3.9811881244984075,3.9094836547074663,1.0846062285273075,3.0773732486297423,4.5397418872365005,1.0,0.6720048499472254,0.4416573561228327,innings_2_death,0.2858893764621792,0.524087815235902,2.0864921862114887,1.9237324220489043,True,42,0.1383199356024207,0.11604790376118276,-0.022272031841237938,1.0758387934380131,0.9483360213386215,-0.12750277209939165
venue_chase_success,9.459441246427238,6.9898299233018495,3.814974783688359,1.2664728249828794,11.128573084389098,1.0,0.5725117363822836,0.06680285709028366,innings_2_death,0.2858893764621792,0.3344464865067275,3.1636768891844085,0.8292785825003398,False,42,0.1383199356024207,0.09094914506254408,-0.047370790539876625,1.0758387934380131,0.6778909896694354,-0.39794780376857775
target_above_par,9.562097786799201,6.0632395881147785,4.187871115452532,0.3966734719404493,10.348026435421268,0.975,29.648221036305184,25.7445717165669,innings_2_death,0.2858893764621792,0.2987889492198498,2.8570491500551847,0.6822199309551241,False,42,0.1383199356024207,0.08930582317845569,-0.049014112423965014,1.0758387934380131,0.7481415550129215,-0.3276972384250917
score_vs_par,-3.148459523780483,-3.4647151525408724,1.3994229820112722,-7.048374965558238,-2.42414704711865,1.0,-26.6996626984127,27.01502858986018,innings_2_death,0.2858893764621792,0.29264050681997655,-0.9213667907413026,0.658390490938769,False,42,0.1383199356024207,0.15839310851586028,0.020073172913439574,1.0758387934380131,0.9833905561335877,-0.09244823730442542
resource_edge,5.949878179587816,5.493320071527012,2.711953509115938,2.8537093123861945,10.389794728828784,1.0,0.0751597472231546,0.22335372871118916,innings_2_death,0.2858893764621792,0.2823372144168824,1.6798720313446152,0.6194324569000105,False,42,0.1383199356024207,0.1347969627212533,-0.003522972881167402,1.0758387934380131,0.871650694436328,-0.2041880990016851
chase_difficulty,1.1555383481113841,1.3947878647451495,0.5268590259568293,0.8946434233721575,2.0825049996727945,1.0,4.769723248986502,5.7581192341399845,innings_2_death,0.2858893764621792,0.2822104195160986,0.3261049619874533,0.6189605562998719,False,42,0.1383199356024207,0.14897727681155948,0.010657341209138776,1.0758387934380131,1.0745031722114031,-0.0013356212266100176
model_edge_raw,3.056930510071597,3.6406982482327748,1.7106488882100632,2.437990462674249,8.385832918887347,1.0,0.01238682106540375,0.20365205386590954,innings_2_death,0.2858893764621792,0.20698043903099575,0.632724819061865,0.36987415694939874,False,42,0.1383199356024207,0.14509860332061844,0.0067786677181977395,1.0758387934380131,0.8888653261494914,-0.1869734672885217
model_edge_iso,5.108484305504909,5.6561810173243385,3.606234176621067,2.6928221824461835,14.584690898213047,1.0,-0.0009256840608802856,0.21849059596931134,innings_2_death,0.2858893764621792,0.14090140350847907,0.7197926084466797,0.19959674585668097,False,42,0.1383199356024207,0.13311703146459727,-0.0052029041378234275,1.0758387934380131,0.7428112377076598,-0.33302755573035336
model_edge_full,3.7968851703181765,4.761351536080967,2.911683467492656,2.5961915642611944,11.131125611918597,1.0,-0.0036618337812651855,0.21744083058257693,innings_2_death,0.2858893764621792,0.12202400586048932,0.46331113827451015,0.15912139552802018,False,42,0.1383199356024207,0.14457472906593508,0.006254793463514374,1.0758387934380131,0.7831294974868741,-0.29270929595113904
required_run_rate,1.4899510495592672,1.543290737177257,1.2538417746997403,0.8566771678950097,2.926560292464886,1.0,17.269446118368297,16.215583089090316,innings_2_death,0.2858893764621792,0.1034710542890527,0.15416680593697799,0.12295554974976096,False,42,0.1383199356024207,0.15561014148686145,0.017290205884440746,1.0758387934380131,1.073864973332638,-0.001973820105375168
inn1_defendability,3.9778930301658573,5.7303191153374415,4.19246833433294,0.4709253564085902,13.393849602107096,0.9875,0.713214013586414,0.13138780265530162,innings_2_death,0.2858893764621792,0.06853746583623077,0.27263470765517295,0.06502964012207745,False,42,0.1383199356024207,0.24961372984259236,0.11129379424017166,1.0758387934380131,1.4680580543227884,0.3922192608847752
wickets_remaining,-1.4199530869471644,-2.494373893512247,1.7028045123635895,-6.411064588261442,-0.6349489565958496,0.9875,3.9523809523809526,2.0113059125659882,innings_2_death,0.2858893764621792,0.053778331821530134,-0.07636270828085064,0.04484525808919914,False,42,0.1383199356024207,0.1612869239083578,0.022966988305937103,1.0758387934380131,1.1494924680211915,0.0736536745831784
