variant,feature,importance
ml_add_mc_win_prob,rrr_times_wickets,0.012548462254926562
ml_add_mc_win_prob,overs_remaining,0.010721760103479028
ml_add_mc_win_prob,runs_last_18,0.009225912508554757
ml_add_mc_win_prob,runs_last_12,0.00867023493628949
ml_add_mc_win_prob,boundary_pct_last_18,0.008611521450802684
ml_add_mc_win_prob,wickets_last_12,0.005878896976355463
ml_add_mc_win_prob,is_powerplay,0.005678662972059101
ml_clean_swap_resource,run_rate_diff,0.11672116629779339
ml_clean_swap_resource,resource_win_prob,0.09707500319927931
ml_clean_swap_resource,situation_advantage,0.056841883808374405
ml_clean_swap_resource,team_strength_diff,0.04700922220945358
ml_clean_swap_resource,expected_final_score,0.0435093455016613
ml_clean_swap_resource,bowling_team_situation_wr,0.04341979883611202
ml_clean_swap_resource,score_vs_par,0.0418440536595881
ml_clean_swap_resource,inn1_defendability,0.03854664321988821
ml_clean_swap_resource,batting_team_situation_wr,0.03750540828332305
ml_clean_swap_resource,target_above_par,0.03681209962815046
ml_clean_swap_resource,venue_chase_success,0.03196741035208106
ml_clean_swap_resource,bowling_team_win_rate,0.03191827703267336
ml_clean_swap_resource,inn1_pp_runs,0.031473911833018064
ml_clean_swap_resource,inn1_death_rr,0.030825523659586906
ml_clean_swap_resource,required_run_rate,0.03006796119734645
ml_clean_swap_resource,projected_score,0.029787005856633186
ml_clean_swap_resource,batting_team_win_rate,0.027479281183332205
ml_clean_swap_resource,inn1_wickets_lost,0.024882487021386623
ml_clean_swap_resource,batting_won_toss,0.02382956864312291
ml_clean_swap_resource,pressure_index,0.022494092350825667
ml_clean_swap_resource,score_per_wicket,0.020676557440310717
ml_clean_swap_resource,dls_pressure_index,0.020348966121673584
ml_clean_swap_resource,chase_difficulty,0.019503438379615545
ml_clean_swap_resource,projected_vs_venue_avg,0.01892889034934342
ml_clean_swap_resource,wickets_times_balls,0.017206803197041154
ml_clean_swap_resource,rrr_times_wickets,0.015252600482199341
ml_clean_swap_resource,runs_last_12,0.010672459611669183
ml_clean_swap_resource,overs_remaining,0.009615915478207171
ml_clean_swap_resource,runs_last_18,0.008835941785946488
ml_clean_swap_resource,boundary_pct_last_18,0.00839845824521035
ml_clean_swap_resource,is_powerplay,0.00473368214443326
ml_clean_swap_resource,wickets_last_12,0.0018161881598643959
ml_replace_resource_with_mc,run_rate_diff,0.11352252028882504
ml_replace_resource_with_mc,mc_win_prob,0.10093064419925213
ml_replace_resource_with_mc,resource_win_prob,0.0710669569671154
ml_replace_resource_with_mc,situation_advantage,0.04956399742513895
ml_replace_resource_with_mc,team_strength_diff,0.04213721118867397
ml_replace_resource_with_mc,bowling_team_situation_wr,0.04015945829451084
ml_replace_resource_with_mc,expected_final_score,0.03992425976321101
ml_replace_resource_with_mc,required_run_rate,0.03936450323089957
ml_replace_resource_with_mc,inn1_defendability,0.03758672485128045
ml_replace_resource_with_mc,batting_team_situation_wr,0.03614598140120506
ml_replace_resource_with_mc,score_vs_par,0.034579381346702576
ml_replace_resource_with_mc,bowling_team_win_rate,0.033301382791250944
ml_replace_resource_with_mc,target_above_par,0.031904777977615595
ml_replace_resource_with_mc,inn1_death_rr,0.03136443626135588
ml_replace_resource_with_mc,chase_difficulty,0.031244114274159074
ml_replace_resource_with_mc,batting_team_win_rate,0.028260304126888514
ml_replace_resource_with_mc,projected_score,0.027183227706700563
ml_replace_resource_with_mc,mc_simulation_std,0.02273388230241835
ml_replace_resource_with_mc,score_per_wicket,0.021516237873584032
ml_replace_resource_with_mc,pressure_index,0.021016111597418785
ml_replace_resource_with_mc,inn1_wickets_lost,0.020090274862013757
ml_replace_resource_with_mc,projected_vs_venue_avg,0.018181959632784128
ml_replace_resource_with_mc,dls_pressure_index,0.01760697178542614
ml_replace_resource_with_mc,wickets_times_balls,0.016231471672654152
ml_replace_resource_with_mc,mc_resource_gap,0.010727602988481522
ml_replace_resource_with_mc,mc_resource_abs_gap,0.010679697152227163
ml_replace_resource_with_mc,runs_last_12,0.009597056661732495
ml_replace_resource_with_mc,overs_remaining,0.00904910545796156
ml_replace_resource_with_mc,is_powerplay,0.008802910684607923
ml_replace_resource_with_mc,boundary_pct_last_18,0.008299281587824225
ml_replace_resource_with_mc,runs_last_18,0.008141123573295772
ml_replace_resource_with_mc,rrr_times_wickets,0.005957523942925036
ml_replace_resource_with_mc,wickets_last_12,0.003128902637399733
