method,segment,brier,ece,logloss,n_samples
raw,overall,0.1802885245403343,0.006237329992919993,0.5291181283681294,1221350
raw,innings_1,0.2189108349176296,0.009117966535904663,0.6262429244951395,636375
raw,innings_2,0.13827258750652718,0.010059868084146774,0.4234592675017231,584975
raw,inn1_powerplay,0.23891354513941576,0.013600336819513599,0.6704355431682382,160809
raw,inn1_middle,0.21756092199062796,0.012221783458895557,0.6237614781163945,286924
raw,inn1_death,0.20391261918948758,0.017926787744304704,0.5923449362664986,188642
raw,inn2_powerplay,0.18318522216482597,0.02246959875227738,0.5441032595472839,160993
raw,inn2_middle,0.13814311756533984,0.011448523358159194,0.42571121542929885,280917
raw,inn2_death,0.08798600809105188,0.0330310253472699,0.2832750948014694,143065
combined,overall,0.18013216375827157,1.2129778538744526e-17,0.5280074810144595,1221350
combined,innings_1,0.2187465724848859,0.005688333337148972,0.6258773009866638,636375
combined,innings_2,0.13812482266950846,0.006188150138772068,0.42153813329052,584975
combined,inn1_powerplay,0.2388004727505222,0.012841863870766974,0.6701971291624331,160809
combined,inn1_middle,0.21737325574448185,0.00784423390997579,0.6233193490635676,286924
combined,inn1_death,0.20374031663839876,0.014449267922174392,0.5919872369948972,188642
combined,inn2_powerplay,0.18308048144414682,0.02062751967927489,0.5441243592066424,160993
combined,inn2_middle,0.13798680957410997,0.00741232365140245,0.4236679672931445,280917
combined,inn2_death,0.08780660264095286,0.024176292411592696,0.2794081165328956,143065
innings_specific,overall,0.18002338075098853,2.4520489258451632e-17,0.5275753756574737,1221350
innings_specific,innings_1,0.21864059866192345,3.1130732117715644e-18,0.625339727936162,636375
innings_specific,innings_2,0.13801298364329811,1.3161544734681885e-17,0.4212207627571782,584975
innings_specific,inn1_powerplay,0.23876604920083372,0.011214357395239731,0.670108449700411,160809
innings_specific,inn1_middle,0.21721183610080608,0.0033605727411032257,0.6225783726280143,286924
innings_specific,inn1_death,0.2036576823091198,0.013706970353988804,0.591376377951789,188642
innings_specific,inn2_powerplay,0.18284764731027411,0.017368140662393835,0.5434942840890394,160993
innings_specific,inn2_middle,0.13784759379805375,0.004033240778998941,0.4233086393952803,280917
innings_specific,inn2_death,0.08788467700938384,0.02478386630506635,0.27952502262978096,143065
innings_phase,overall,0.17954589388761166,0.0,0.5263247908403982,1221350
innings_phase,innings_1,0.2183703119660887,1.6147213643222854e-17,0.624680717860662,636375
innings_phase,innings_2,0.13731009055466442,7.807953371183203e-18,0.41932662329901527,584975
innings_phase,inn1_powerplay,0.23843029544940092,2.91747114361281e-17,0.6693373038310685,160809
innings_phase,inn1_middle,0.21709703683499412,7.468389520718221e-17,0.6222472688180828,286924
innings_phase,inn1_death,0.2032067074122047,3.413727459551929e-17,0.5903142141116452,188642
innings_phase,inn2_powerplay,0.1823095733124184,1.6563041005166072e-17,0.5416217897258548,160993
innings_phase,inn2_middle,0.1377504364280736,3.065614921333934e-17,0.42299535182872,280917
innings_phase,inn2_death,0.08580691109540065,0.0,0.27450242492110816,143065
brier_optimized,overall,0.17881734345253766,0.0,0.5242253728050906,1221350
brier_optimized,innings_1,0.21765238254982128,0.0,0.6228443949886521,636375
brier_optimized,innings_2,0.13656998586369393,0.0,0.4169409927169435,584975
brier_optimized,inn1_powerplay,0.23788148551176042,1.2643268877961117e-17,0.6680894765880165,160809
brier_optimized,inn1_middle,0.2163177026192106,6.5145177268507116e-18,0.620199268208341,286924
brier_optimized,inn1_death,0.2024380076290935,1.2283411389705772e-17,0.588298185922812,188642
brier_optimized,inn2_powerplay,0.18177262301010055,2.976423569089736e-17,0.5399104284446927,160993
brier_optimized,inn2_middle,0.13686653932902676,0.0,0.42011167154426854,280917
brier_optimized,inn2_death,0.08512053930491059,9.142956083163203e-18,0.27233598135670045,143065
ece_optimized,overall,0.1797911561502068,0.0018131747303947825,0.527255324844011,1221350
ece_optimized,innings_1,0.21866105310047904,0.002091464192533527,0.6255127327548323,636375
ece_optimized,innings_2,0.13750587785330612,0.002371261597381931,0.4203643329909424,584975
ece_optimized,inn1_powerplay,0.23868330378341676,0.0006695965159500936,0.6699313057017668,160809
ece_optimized,inn1_middle,0.21739794230953882,0.002721695915392088,0.6231295382055168,286924
ece_optimized,inn1_death,0.20351415416231686,0.0029024980890034885,0.5912726876739075,188642
ece_optimized,inn2_powerplay,0.18253600451863375,0.002418568347691473,0.5423843145885451,160993
ece_optimized,inn2_middle,0.13791498233404395,0.0022155855835495402,0.42411492766198955,280917
ece_optimized,inn2_death,0.08602955879800585,0.005830828399328237,0.27568905461713034,143065
logloss_optimized,overall,0.18070631493489125,0.013926316899868278,0.5323797038996058,1221350
logloss_optimized,innings_1,0.21896705804867156,0.010089804751113922,0.6267459323267853,636375
logloss_optimized,innings_2,0.1390837149963777,0.024275359001474036,0.42972179780900993,584975
logloss_optimized,inn1_powerplay,0.2387157927403987,0.0039795069185982095,0.6700085217764464,160809
logloss_optimized,inn1_middle,0.21766784625592797,0.012146551189887023,0.6243973192845919,286924
logloss_optimized,inn1_death,0.20410822898292377,0.018529885909972836,0.5934387139009194,188642
logloss_optimized,inn2_powerplay,0.1832950046370642,0.021417883927403115,0.5449301750017991,160993
logloss_optimized,inn2_middle,0.1394509038934116,0.03202562510805036,0.4331704379823869,280917
logloss_optimized,inn2_death,0.08861114828536444,0.03286739839813869,0.2933046173596811,143065
resource_win_prob,overall,0.19076272071486391,0.042000291614158795,0.5590723366690363,1221350
resource_win_prob,innings_1,0.22727599644003857,0.07145166846938115,0.6442716558200923,636375
resource_win_prob,innings_2,0.15104113288699436,0.04131235301383819,0.46638680869817745,584975
resource_win_prob,inn1_powerplay,0.25463629244079206,0.1105813147898963,0.7030369405499041,160809
resource_win_prob,inn1_middle,0.2233121998356309,0.05339107311691918,0.6364405823731009,286924
resource_win_prob,inn1_death,0.20998147314903187,0.06556548705566671,0.6060878804444508,188642
resource_win_prob,inn2_powerplay,0.19557815255542976,0.10075427697428525,0.5791977260715963,160993
resource_win_prob,inn2_middle,0.14690209955954345,0.02743723963948172,0.45560533461831987,280917
resource_win_prob,inn2_death,0.10905026452483085,0.09008232766998646,0.36060923440252546,143065
