segment,feature,n,winner_mean,loser_mean,winner_minus_loser,corr_with_target,auc_raw,auc_abs
innings_1,expected_final_score,23509,176.30935013377828,159.97403121576528,16.335318918013,0.3247021817695656,0.6826243402545261,0.6826243402545261
innings_1,resource_win_prob,23509,0.4828562873436635,0.3812711382223911,0.10158514912127237,0.3177598761107607,0.6790003843957257,0.6790003843957257
innings_1,score_vs_par,23509,-8.371445475338161,-23.812009529285138,15.440564053946977,0.3032187139937348,0.6658872748893827,0.6658872748893827
innings_1,projected_score,23509,163.8771982095435,142.82987598309506,21.047322226448443,0.24798254646337764,0.6532427843228928,0.6532427843228928
innings_1,projected_vs_venue_avg,23509,-1.5313292318035374,-21.79616601191726,20.264836780113725,0.24542387782456582,0.6511299123746244,0.6511299123746244
innings_1,score_per_wicket,23509,30.46974220994125,22.078146835710456,8.391595374230793,0.2295089455333151,0.644122973136814,0.644122973136814
innings_1,runs_last_18,23509,24.902013547369396,21.286679233427584,3.615334313941812,0.18565334421383278,0.605781813417883,0.605781813417883
innings_1,dls_pressure_index,23509,0.0997221854927675,0.17376349235958388,-0.07404130686681638,-0.20554151061405251,0.39845352142312357,0.6015464785768765
innings_1,runs_last_12,23509,17.16043425814234,14.656299088909833,2.5041351692325087,0.1745421952371724,0.5974881389314481,0.5974881389314481
innings_1,wickets_times_balls,23509,75.58643407256194,103.33113415017279,-27.744700077610844,-0.17599889178085112,0.40759389556499276,0.5924061044350073
innings_1,pressure_index,23509,1.1320868516284681,1.4473766886584982,-0.3152898370300301,-0.14646750262803643,0.4222816872925904,0.5777183127074096
innings_1,team_strength_diff,23509,0.044642102301933426,-0.013915163143485482,0.05855726544541891,0.07571905868434996,0.5470019829933606,0.5470019829933606
innings_1,situation_advantage,23509,-0.037822280252919574,-0.10118845029895925,0.06336617004603967,0.07937474971642117,0.5465489675581494,0.5465489675581494
innings_1,bowling_team_win_rate,23509,0.3436405572714378,0.38901863944865833,-0.04537808217722056,-0.08307705733176261,0.45375221797878806,0.5462477820212119
innings_1,wickets_last_12,23509,0.50264452073861,0.6150644046497016,-0.11241988391109159,-0.07581166576268755,0.45904774573304274,0.5409522542669573
innings_1,boundary_pct_last_18,23509,0.3341041077535048,0.306466730549703,0.027637377203801772,0.06764356753326756,0.5402691946355662,0.5402691946355662
innings_1,bowling_team_situation_wr,23509,0.3905153685612069,0.43474500570989727,-0.04422963714869038,-0.07289893975854163,0.4654879774887415,0.5345120225112585
innings_1,venue_chase_success,23509,0.6753019933827632,0.6538930843114842,0.021408909071279014,0.054230206888096856,0.5214699632462764,0.5214699632462764
innings_1,batting_team_situation_wr,23509,0.3526930883082873,0.33355655541093804,0.019136532897349234,0.03675166842360903,0.5182256914524366,0.5182256914524366
innings_1,batting_won_toss,23509,0.2619467384244224,0.23091423185673893,0.03103250656768347,0.0359450890608366,0.5155162532838418,0.5155162532838418
innings_1,batting_team_win_rate,23509,0.38828265957337127,0.3751034763051728,0.013179183268198447,0.023709689629768622,0.5141494270897421,0.5141494270897421
innings_1,overs_remaining,23509,9.395595558442361,9.454432401298565,-0.05883684285620383,-0.005038249129831631,0.49707475829289466,0.5029252417071053
innings_1,is_powerplay,23509,0.29729980514057713,0.2992459943449576,-0.001946189204380444,-0.0021194504845504533,0.49902690539780975,0.5009730946021902
innings_1_death,expected_final_score,7167,179.11788959813748,154.71993946538157,24.39795013275591,0.3999924109868018,0.7295386262010407,0.7295386262010407
innings_1_death,resource_win_prob,7167,0.5304413426604777,0.37349610563022956,0.15694523703024815,0.40119470135949026,0.7292932920916186,0.7292932920916186
innings_1_death,projected_score,7167,175.91397287392985,151.37624476228515,24.537728111644697,0.38967420771668515,0.7228334668149297,0.7228334668149297
innings_1_death,projected_vs_venue_avg,7167,9.914938352412511,-13.640375123640537,23.555313476053048,0.38100763847513025,0.7165125010357681,0.7165125010357681
innings_1_death,score_vs_par,7167,1.53655257408907,-21.210740431844034,22.747293005933102,0.3708950279201492,0.7109960275062417,0.7109960275062417
innings_1_death,score_per_wicket,7167,34.757477245396046,25.12249609857939,9.634981146816656,0.2917274261803556,0.6980423865287648,0.6980423865287648
innings_1_death,dls_pressure_index,7167,0.1968126488244961,0.34680664208902723,-0.14999399326453114,-0.3301640383388487,0.3064706254598301,0.6935293745401698
innings_1_death,runs_last_18,7167,29.99185028674917,25.340425531914892,4.651424754834277,0.24536202236186272,0.6364057256791076,0.6364057256791076
innings_1_death,pressure_index,7167,2.0879867189858135,2.5444992215879605,-0.45651250260214704,-0.23305022385058827,0.37071491573429266,0.6292850842657074
innings_1_death,runs_last_12,7167,20.504980380319953,17.26829268292683,3.2366876973931227,0.2176966516962261,0.6210102956524681,0.6210102956524681
innings_1_death,wickets_times_balls,7167,51.13914880772714,65.59548521017125,-14.456336402444109,-0.14759546684241934,0.42721334442120806,0.5727866555787919
innings_1_death,boundary_pct_last_18,7167,0.3252830645237179,0.2886221160094446,0.03666094851427332,0.11235966402938329,0.5644752136971698,0.5644752136971698
