segment,feature,importance_brier_delta,importance_std,baseline_brier,n,method
innings_1,expected_final_score,0.012705066870871029,0.00034790204628420973,0.2009832374561531,10000,saved_model_permutation
innings_1,score_vs_par,0.008382983252639392,0.0003052450452643851,0.2009832374561531,10000,saved_model_permutation
innings_1,venue_chase_success,0.006613792436359622,0.00011681764452853294,0.2009832374561531,10000,saved_model_permutation
innings_1,situation_advantage,0.006151630454505411,0.0002797390685412432,0.2009832374561531,10000,saved_model_permutation
innings_1,team_strength_diff,0.005981864505623144,7.792143406086527e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,bowling_team_situation_wr,0.0050269901746906875,3.6315026346211976e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,batting_team_situation_wr,0.0037357990981015665,0.00015867018607837458,0.2009832374561531,10000,saved_model_permutation
innings_1,batting_team_win_rate,0.003390227767167589,5.541684602940189e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,resource_win_prob,0.0032332134540813268,0.0005779824113306548,0.2009832374561531,10000,saved_model_permutation
innings_1,projected_score,0.002312673554637351,0.00020843250256230572,0.2009832374561531,10000,saved_model_permutation
innings_1,bowling_team_win_rate,0.0022168907133430504,4.865723000324618e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,batting_won_toss,0.0020120772952114674,4.557537670496492e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,dls_pressure_index,0.0010453260445354856,0.00019998489090015947,0.2009832374561531,10000,saved_model_permutation
innings_1,overs_remaining,0.0005171658022401215,1.6081785622568123e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,projected_vs_venue_avg,0.0004149669682295687,2.3422677773998757e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,score_per_wicket,0.0003088147012092757,3.399860713065861e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,runs_last_18,4.3090951963128954e-05,1.826646811352306e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,wickets_last_12,3.379961652462404e-05,4.4369089957460583e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,pressure_index,3.2144593581445724e-05,4.896236980855839e-06,0.2009832374561531,10000,saved_model_permutation
innings_1,boundary_pct_last_18,7.647052925746634e-06,5.618144262337088e-06,0.2009832374561531,10000,saved_model_permutation
innings_1,runs_last_12,1.3441436362421344e-06,1.5582466988336985e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,run_rate_diff,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,required_run_rate,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,chase_difficulty,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,rrr_times_wickets,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,inn1_defendability,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,target_above_par,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,inn1_wickets_lost,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,inn1_death_rr,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,inn1_pp_runs,0.0,0.0,0.2009832374561531,10000,saved_model_permutation
innings_1,wickets_times_balls,-3.531125002595448e-05,5.2892278158689354e-05,0.2009832374561531,10000,saved_model_permutation
innings_1,is_powerplay,-5.1368057823686364e-05,8.076918779409414e-06,0.2009832374561531,10000,saved_model_permutation
innings_1_death,expected_final_score,0.015754200124213982,0.0002488831626996507,0.18806984161179188,7167,saved_model_permutation
innings_1_death,score_vs_par,0.0079772167320446,0.0010909239500384582,0.18806984161179188,7167,saved_model_permutation
innings_1_death,resource_win_prob,0.0066171560137581326,0.00022522354487895802,0.18806984161179188,7167,saved_model_permutation
innings_1_death,venue_chase_success,0.006424314448569057,9.199540057711064e-05,0.18806984161179188,7167,saved_model_permutation
innings_1_death,situation_advantage,0.005974989998984256,0.00035575081304060896,0.18806984161179188,7167,saved_model_permutation
innings_1_death,team_strength_diff,0.005633164473944241,0.0001277335246329392,0.18806984161179188,7167,saved_model_permutation
innings_1_death,bowling_team_situation_wr,0.004571598082348444,0.00028355844838270916,0.18806984161179188,7167,saved_model_permutation
