feature,importance
resource_win_prob,0.28858045
dls_pressure_index,0.122315384
score_vs_par,0.11254626
is_powerplay,0.053306818
rrr_times_wickets,0.028532684
overs_remaining,0.028195169
score_per_wicket,0.027980931
chase_difficulty,0.027588641
run_rate_diff,0.026356623
team_strength_diff,0.025939226
required_run_rate,0.025725033
situation_advantage,0.025290962
batting_team_win_rate,0.02431029
bowling_team_situation_wr,0.023426399
projected_score,0.02308144
projected_vs_venue_avg,0.02213039
bowling_team_win_rate,0.021970464
batting_team_situation_wr,0.021730756
wickets_times_balls,0.018540718
expected_final_score,0.018463027
pressure_index,0.013436677
runs_last_18,0.009016364
wickets_last_12,0.0053724437
runs_last_12,0.0037054894
boundary_pct_last_18,0.002457283
