method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,24236,0.04325761313260054,0.034741706552236344,0.008515906580364198,0.032529307133782964
raw,0.1-0.2,0.1,0.2,20038,0.15215254720052945,0.17980836410819442,0.02765581690766497,0.1476228424097991
raw,0.2-0.3,0.2,0.30000000000000004,24189,0.2529434581405778,0.26433502831865724,0.011391570178079458,0.1933306131794978
raw,0.3-0.4,0.30000000000000004,0.4,36024,0.35286978470038194,0.363868532089718,0.010998747389336039,0.2312962053262425
raw,0.4-0.5,0.4,0.5,44703,0.45033871435952355,0.45283314318949514,0.0024944288299715844,0.24703911694305958
raw,0.5-0.6,0.5,0.6000000000000001,37000,0.5479773253703459,0.5438918918918919,0.004085433478454026,0.2475897212952463
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,27915,0.6481205005728559,0.6377933010926026,0.01032719948025329,0.23055356075710062
raw,0.7-0.8,0.7000000000000001,0.8,22893,0.7480577394771663,0.7289564495697375,0.019101289907428765,0.19772048681779059
raw,0.8-0.9,0.8,0.9,19588,0.8500631067689313,0.8248417398407188,0.02522136692821242,0.14377391061559777
raw,0.9-1.0,0.9,1.0,22368,0.9460577005471306,0.9617757510729614,0.015718050525830862,0.036235521185664955
combined,0.0-0.1,0.0,0.1,23708,0.03277374725830943,0.03277374725830943,0.0,0.0306652516300248
combined,0.1-0.2,0.1,0.2,15092,0.1672409223429632,0.16724092234296317,2.7755575615628914e-17,0.13855640663376628
combined,0.2-0.3,0.2,0.30000000000000004,25687,0.2442091330244871,0.2442091330244871,0.0,0.1833811753922276
combined,0.3-0.4,0.30000000000000004,0.4,37339,0.35507110527866304,0.35507110527866304,0.0,0.22856477332455274
combined,0.4-0.5,0.4,0.5,45527,0.4484152261295494,0.4484152261295495,5.551115123125783e-17,0.24660791356474163
combined,0.5-0.6,0.5,0.6000000000000001,42826,0.5466772521365526,0.5466772521365526,0.0,0.24699907771620352
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,28611,0.6542238998986403,0.6542238998986404,1.1102230246251565e-16,0.22542967253337962
combined,0.7-0.8,0.7000000000000001,0.8,23651,0.7452539004693247,0.7452539004693247,0.0,0.18939250794663157
combined,0.8-0.9,0.8,0.9,16417,0.8519827008588657,0.8519827008588658,1.1102230246251565e-16,0.12534363304705318
combined,0.9-1.0,0.9,1.0,20096,0.9696457006369427,0.9696457006369427,0.0,0.028932801961163084
innings_specific,0.0-0.1,0.0,0.1,24738,0.03516856657773466,0.03516856657773466,0.0,0.032758326975585346
innings_specific,0.1-0.2,0.1,0.2,11616,0.16382575757575757,0.16382575757575757,0.0,0.13660589193574188
innings_specific,0.2-0.3,0.2,0.30000000000000004,26148,0.2365381673550558,0.23653816735505584,2.7755575615628914e-17,0.17949575215887997
innings_specific,0.3-0.4,0.30000000000000004,0.4,39381,0.35250501510880883,0.35250501510880883,0.0,0.22765067037192815
innings_specific,0.4-0.5,0.4,0.5,44676,0.4468842331453129,0.4468842331453129,0.0,0.24652657083467844
innings_specific,0.5-0.6,0.5,0.6000000000000001,41738,0.5435813886626096,0.5435813886626096,0.0,0.24737282525543663
innings_specific,0.6-0.7,0.6000000000000001,0.7000000000000001,26154,0.6431138640360937,0.6431138640360939,2.220446049250313e-16,0.22896079103647832
innings_specific,0.7-0.8,0.7000000000000001,0.8,30763,0.7428729317686832,0.7428729317686832,0.0,0.19016272476737478
innings_specific,0.8-0.9,0.8,0.9,8970,0.8473801560758083,0.8473801560758083,0.0,0.12862899174955583
innings_specific,0.9-1.0,0.9,1.0,24770,0.957165926524021,0.957165926524021,0.0,0.03982602153882963
innings_phase,0.0-0.1,0.0,0.1,23037,0.028302296305942613,0.028302296305942613,0.0,0.026599888373322417
innings_phase,0.1-0.2,0.1,0.2,18137,0.16331256547389317,0.16331256547389314,2.7755575615628914e-17,0.13563894167740034
innings_phase,0.2-0.3,0.2,0.30000000000000004,22882,0.24477755440957957,0.24477755440957957,0.0,0.1839099395375095
innings_phase,0.3-0.4,0.30000000000000004,0.4,41226,0.3611798379663319,0.3611798379663319,0.0,0.2301669317847409
innings_phase,0.4-0.5,0.4,0.5,42516,0.4530529682942892,0.4530529682942892,0.0,0.2472471736678991
innings_phase,0.5-0.6,0.5,0.6000000000000001,40701,0.5425419522861845,0.5425419522861846,1.1102230246251565e-16,0.24744362985105858
innings_phase,0.6-0.7,0.6000000000000001,0.7000000000000001,28894,0.650654115041185,0.650654115041185,0.0,0.22656098206711522
innings_phase,0.7-0.8,0.7000000000000001,0.8,23478,0.7385637618195757,0.7385637618195757,0.0,0.1924656812961833
innings_phase,0.8-0.9,0.8,0.9,16523,0.8452460206984204,0.8452460206984204,0.0,0.12944733076433929
innings_phase,0.9-1.0,0.9,1.0,21560,0.9703617810760667,0.9703617810760667,0.0,0.02793128205497078
brier_optimized,0.0-0.1,0.0,0.1,25454,0.03107566590712658,0.03107566590712658,0.0,0.02887809516674688
brier_optimized,0.1-0.2,0.1,0.2,14638,0.16074600355239788,0.16074600355239788,0.0,0.13414394154844358
brier_optimized,0.2-0.3,0.2,0.30000000000000004,25216,0.24377379441624367,0.24377379441624367,0.0,0.18346372408052344
brier_optimized,0.3-0.4,0.30000000000000004,0.4,34361,0.3563633188789616,0.3563633188789616,0.0,0.2287745399266193
brier_optimized,0.4-0.5,0.4,0.5,51035,0.4498677378269815,0.4498677378269815,0.0,0.24660990498112062
brier_optimized,0.5-0.6,0.5,0.6000000000000001,39496,0.5456755114441969,0.5456755114441969,0.0,0.24701752652478765
brier_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,27244,0.6575392747026868,0.6575392747026868,0.0,0.2243897700971376
brier_optimized,0.7-0.8,0.7000000000000001,0.8,24422,0.7467856850380804,0.7467856850380804,0.0,0.1883223973607322
brier_optimized,0.8-0.9,0.8,0.9,13882,0.8467800028814292,0.8467800028814292,0.0,0.12894172063770007
brier_optimized,0.9-1.0,0.9,1.0,23206,0.9705248642592433,0.9705248642592433,0.0,0.027683077024471182
ece_optimized,0.0-0.1,0.0,0.1,22917,0.03765915905610879,0.029279574115285596,0.008379584940823193,0.027689293783798332
ece_optimized,0.1-0.2,0.1,0.2,17872,0.15923554567199583,0.1647269471799463,0.005491401507950466,0.13672805209224914
ece_optimized,0.2-0.3,0.2,0.30000000000000004,22643,0.24559958391557551,0.24153159916972133,0.004067984745854181,0.18235282686890955
ece_optimized,0.3-0.4,0.30000000000000004,0.4,39602,0.3586766640482798,0.359476794101308,0.000800130053028203,0.22981004753750037
ece_optimized,0.4-0.5,0.4,0.5,45317,0.45017842207953407,0.4504490588520864,0.0002706367725523462,0.24684495028035913
ece_optimized,0.5-0.6,0.5,0.6000000000000001,39510,0.5421436739321117,0.5420652999240698,7.837400804189265e-05,0.2476445902707044
ece_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,32097,0.6530466998280742,0.6535501760289124,0.0005034762008382376,0.22550424553776702
ece_optimized,0.7-0.8,0.7000000000000001,0.8,22178,0.7447544346704547,0.7443412390657408,0.0004131956047138674,0.18980992014037742
ece_optimized,0.8-0.9,0.8,0.9,14821,0.8462360939857638,0.8494703461304906,0.0032342521447267236,0.12682842059567973
ece_optimized,0.9-1.0,0.9,1.0,21997,0.9615996346977052,0.96608628449334,0.004486649795634845,0.03183577432929864
logloss_optimized,0.0-0.1,0.0,0.1,21609,0.06375098207889981,0.034615206626868435,0.02913577545203138,0.033447182608980316
logloss_optimized,0.1-0.2,0.1,0.2,22961,0.1520545641124965,0.17007098993946257,0.01801642582696608,0.14079311152770974
logloss_optimized,0.2-0.3,0.2,0.30000000000000004,26137,0.25121061515113163,0.2620423154914489,0.010831700340317274,0.19189666049140433
logloss_optimized,0.3-0.4,0.30000000000000004,0.4,35760,0.3532065047362896,0.3709731543624161,0.017766649626126507,0.23351119389743336
logloss_optimized,0.4-0.5,0.4,0.5,45147,0.44955462004291413,0.45726183356590694,0.007707213522992806,0.2474571949036624
logloss_optimized,0.5-0.6,0.5,0.6000000000000001,34362,0.5470925404262061,0.5428962225714452,0.004196317854760934,0.2477768038169986
logloss_optimized,0.6-0.7,0.6000000000000001,0.7000000000000001,25820,0.6483641221372348,0.6385360185902401,0.009828103546994704,0.2304064032048366
logloss_optimized,0.7-0.8,0.7000000000000001,0.8,23054,0.749118101358834,0.7195280645441138,0.029590036814720277,0.202084133132337
logloss_optimized,0.8-0.9,0.8,0.9,23423,0.8525895984068887,0.8263245527899927,0.02626504561689602,0.14209609093523606
logloss_optimized,0.9-1.0,0.9,1.0,20681,0.9349117077090203,0.9660558000096707,0.031144092300650406,0.03367865841216209
