method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta,cluster_winner_brier_delta,cluster_winner_ece_delta,cluster_winner_log_loss_delta
v18A_hard_pp_fallback,season_2024,innings_2,1227,0.11802702146330059,0.04289884480600988,0.36960569040290026,0.000359,-0.000603,0.001632,-0.000349,0.000269,-0.000942
v18A_hard_pp_fallback,season_2024,innings_2_powerplay,284,0.15060198629247237,0.057947605319086826,0.4538305074265698,0.0,0.0,0.0,-0.001508,-0.015345,-0.004068
v18A_hard_pp_fallback,season_2024,innings_2_middle,627,0.12330917252248645,0.04415861474075839,0.39018096961038234,0.000586,0.008778,0.002794,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2024,innings_2_death,316,0.07827006347091345,0.056811092261588376,0.2530849685743769,0.000231,0.002454,0.000793,0.0,0.0,0.0
v18B_confidence_cap,season_2024,overall,2504,0.16500600704710952,0.01757242019700554,0.4911559412336217,0.001094,-0.001942,0.003105,4e-06,-0.0,1e-05
v18B_confidence_cap,season_2024,innings_1,1277,0.20980239068748446,0.05273280000109039,0.6070223630790249,0.001457,-0.000582,0.003597,0.0,0.0,0.0
v18B_confidence_cap,season_2024,innings_1_powerplay,284,0.23714243089808476,0.10158883972659705,0.6645735271771019,0.000437,0.022429,0.001096,0.0,0.0,0.0
v18B_confidence_cap,season_2024,innings_1_middle,639,0.2078630566580566,0.07440861379735919,0.60212626750628,0.001691,-1.5e-05,0.004152,0.0,0.0,0.0
v18B_confidence_cap,season_2024,innings_1_death,354,0.19136923539085715,0.1144750213052921,0.5696892401048161,0.001854,-0.003751,0.004601,0.0,0.0,0.0
v18B_confidence_cap,season_2024,innings_2,1227,0.1183841799006068,0.04266028643499641,0.3705679863056839,0.000716,-0.000841,0.002594,8e-06,3.1e-05,2.1e-05
v18B_confidence_cap,season_2024,innings_2_powerplay,284,0.152145061653651,0.07342591600260871,0.45798803233049756,0.001543,0.015478,0.004158,3.5e-05,0.000133,8.9e-05
v18B_confidence_cap,season_2024,innings_2_middle,627,0.12330917252248645,0.04415861474075839,0.39018096961038234,0.000586,0.008778,0.002794,0.0,0.0,0.0
v18B_confidence_cap,season_2024,innings_2_death,316,0.07827006347091345,0.056811092261588376,0.2530849685743769,0.000231,0.002454,0.000793,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2024,overall,2504,0.16483099370742313,0.019723209051430726,0.49068440086911885,0.000919,0.000209,0.002634,-0.000171,0.00215,-0.000461
v18C_dominant_cluster_only,season_2024,innings_1,1277,0.20980239068748446,0.05273280000109039,0.6070223630790249,0.001457,-0.000582,0.003597,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2024,innings_1_powerplay,284,0.23714243089808476,0.10158883972659705,0.6645735271771019,0.000437,0.022429,0.001096,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2024,innings_1_middle,639,0.2078630566580566,0.07440861379735919,0.60212626750628,0.001691,-1.5e-05,0.004152,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2024,innings_1_death,354,0.19136923539085715,0.1144750213052921,0.5696892401048161,0.001854,-0.003751,0.004601,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2024,innings_2,1227,0.11802702146330059,0.04289884480600988,0.36960569040290026,0.000359,-0.000603,0.001632,-0.000349,0.000269,-0.000942
v18C_dominant_cluster_only,season_2024,innings_2_powerplay,284,0.15060198629247237,0.057947605319086826,0.4538305074265698,0.0,0.0,0.0,-0.001508,-0.015345,-0.004068
v18C_dominant_cluster_only,season_2024,innings_2_middle,627,0.12330917252248645,0.04415861474075839,0.39018096961038234,0.000586,0.008778,0.002794,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2024,innings_2_death,316,0.07827006347091345,0.056811092261588376,0.2530849685743769,0.000231,0.002454,0.000793,0.0,0.0,0.0
baseline_ipl_v6_features,season_2025,overall,2455,0.16811880670034182,0.030013545634059686,0.5046379919578023,0.0,0.0,0.0,0.000113,-0.008152,0.001097
baseline_ipl_v6_features,season_2025,innings_1,1247,0.2086433879507008,0.07654006169211625,0.6060978190627172,0.0,0.0,0.0,0.000903,-0.005135,0.002297
baseline_ipl_v6_features,season_2025,innings_1_powerplay,280,0.22856790841798502,0.03475091209125373,0.6473691126033925,0.0,0.0,0.0,0.001243,-0.023319,0.00273
baseline_ipl_v6_features,season_2025,innings_1_middle,631,0.20565199952496743,0.11477544114195214,0.6006239832371705,0.0,0.0,0.0,0.000952,0.001185,0.002865
baseline_ipl_v6_features,season_2025,innings_1_death,336,0.19765737713462392,0.13443506346900808,0.5819848077964402,0.0,0.0,0.0,0.000529,0.001637,0.000867
baseline_ipl_v6_features,season_2025,innings_2,1208,0.12628589873742985,0.053323231578494557,0.39990255785198364,0.0,0.0,0.0,-0.000703,-0.002394,-0.00014
baseline_ipl_v6_features,season_2025,innings_2_powerplay,280,0.1644872770519104,0.11752335483831143,0.5064809664271414,0.0,0.0,0.0,-0.001459,-0.008923,-0.00037
baseline_ipl_v6_features,season_2025,innings_2_middle,621,0.1372779391662926,0.05901657707110662,0.4351975183322105,0.0,0.0,0.0,-0.001038,-0.002207,-0.000836
baseline_ipl_v6_features,season_2025,innings_2_death,307,0.0692095370619305,0.06642423208172753,0.23130280261007824,0.0,0.0,0.0,0.000665,-0.002859,0.001475
regime_cluster_features,season_2025,overall,2455,0.16800569824074132,0.03816544910973437,0.5035405753648361,-0.000113,0.008152,-0.001097,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_1,1247,0.20774012904200262,0.08167551813017647,0.6038012718318283,-0.000903,0.005135,-0.002297,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_1_powerplay,280,0.2273246725020469,0.05806971061869126,0.644639203409873,-0.001243,0.023319,-0.00273,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_1_middle,631,0.20470007153808595,0.1135905960950437,0.5977586262153028,-0.000952,-0.001185,-0.002865,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_1_death,336,0.1971288317686661,0.13279762051438415,0.5811176067787776,-0.000529,-0.001637,-0.000867,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_2,1208,0.1269884505510288,0.05571733793753012,0.4000429855516416,0.000703,0.002394,0.00014,0.0,0.0,0.0
regime_cluster_features,season_2025,innings_2_powerplay,280,0.16594578656340536,0.12644647340004353,0.5068506362409784,0.001459,0.008923,0.00037,0.0,0.0,0.0
