row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,raw_predicted_prob,calibration_key,calibration_source,calibrated_predicted_prob,route_source,route_reason,baseline_predicted_prob,cluster_predicted_prob,dominant_cluster_threshold,regime_confidence_threshold,pp_influence_cap,confidence_strength,wrong_direction
1359516:2:4:6,1359516,2023,2023-04-30,2,4,6,powerplay,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,15.0,0.17874023419308047,1,pressure_state,stable,0.142799411098598,0.5001420858198352,7038,regime_cluster_features,holdout,0.09926910805939029,0,0.9007308919406097,False,0.09926910805939029,,,,,,,,,,,0.9007308919406097,false_negative
1359516:2:2:6,1359516,2023,2023-04-30,2,2,6,powerplay,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,17.0,0.26827037742579884,1,pressure_state,stable,0.14820164035519173,0.5001420858198352,7038,regime_cluster_features,holdout,0.0995081139956253,0,0.9004918860043747,False,0.0995081139956253,,,,,,,,,,,0.9004918860043747,false_negative
1426269:2:1:6,1426269,2024,2024-04-16,2,1,6,powerplay,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,1,18.0,0.23887568821461252,1,pressure_state,stable,0.12515945032391582,0.5001420858198352,7038,regime_cluster_features,holdout,0.104352745289359,0,0.895647254710641,False,0.104352745289359,,,,,,,,,,,0.895647254710641,false_negative
1359542:2:4:6,1359542,2023,2023-05-20,2,4,6,powerplay,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,0,15.0,0.7962056730929364,1,pressure_state,stable,0.1479156501136807,0.5001420858198352,7038,regime_cluster_features,holdout,0.8952718707236378,1,0.8952718707236378,False,0.8952718707236378,,,,,,,,,,,0.8952718707236378,false_positive
1359526:2:2:6,1359526,2023,2023-05-07,2,2,6,powerplay,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,1,17.0,0.2082206154237814,1,pressure_state,stable,0.14603772266245943,0.5001420858198352,7038,regime_cluster_features,holdout,0.12568988527807043,0,0.8743101147219295,False,0.12568988527807043,,,,,,,,,,,0.8743101147219295,false_negative
1426269:2:2:6,1426269,2024,2024-04-16,2,2,6,powerplay,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,1,17.0,0.2372122196201997,1,pressure_state,stable,0.15009194481799037,0.5001420858198352,7038,regime_cluster_features,holdout,0.12718321364217197,0,0.872816786357828,False,0.12718321364217197,,,,,,,,,,,0.872816786357828,false_negative
1426280:2:2:6,1426280,2024,2024-04-26,2,2,6,powerplay,Punjab Kings,Kolkata Knight Riders,Punjab Kings,1,17.0,0.08066068070988576,1,pressure_state,stable,0.09876798408751294,0.5001420858198352,7038,regime_cluster_features,holdout,0.129229685771942,0,0.8707703142280581,False,0.129229685771942,,,,,,,,,,,0.8707703142280581,false_negative
1359497:2:3:6,1359497,2023,2023-04-16,2,3,6,powerplay,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,1,16.0,0.228401358927864,1,pressure_state,stable,0.14937101999901345,0.5001420858198352,7038,regime_cluster_features,holdout,0.12992649983905613,0,0.8700735001609439,False,0.12992649983905613,,,,,,,,,,,0.8700735001609439,false_negative
1359526:2:3:6,1359526,2023,2023-05-07,2,3,6,powerplay,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,1,16.0,0.18332669874553653,1,pressure_state,stable,0.14299106704680006,0.5001420858198352,7038,regime_cluster_features,holdout,0.13126806853450432,0,0.8687319314654957,False,0.13126806853450432,,,,,,,,,,,0.8687319314654957,false_negative
1473464:2:1:6,1473464,2025,2025-04-12,2,1,6,powerplay,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,1,18.0,0.14127328026949534,1,pressure_state,stable,0.09508512208264362,0.5001420858198352,7038,regime_cluster_features,holdout,0.1333379060428026,0,0.8666620939571974,False,0.1333379060428026,,,,,,,,,,,0.8666620939571974,false_negative
1426307:2:1:6,1426307,2024,2024-05-19,2,1,6,powerplay,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,1,18.0,0.32971210415509977,1,pressure_state,stable,0.13633966339452025,0.5001420858198352,7038,regime_cluster_features,holdout,0.13850034304997833,0,0.8614996569500217,False,0.13850034304997833,,,,,,,,,,,0.8614996569500217,false_negative
