regime_id,rows,powerplay_share,regime_cluster_win_rate,regime_confidence,centroid_distance,pressure_index,wickets_lost,acceleration_potential,resource_win_prob,is_powerplay,is_middle_overs,is_death_overs,centroid_separation,stability_std,stability_flag,regime_label
1,3317,0.7089121607181021,0.5260777811275249,0.16043400764394317,5.465595734776944,9.789343335037763,0.6005426590292433,0.7814998492613808,0.5642043271432077,1.0,0.0,0.0,4.984324730004363,0.08256341489358204,borderline,pressure_state
2,6,0.0012823252831801668,1.0,0.09478171463632294,9.614722063757817,6.130980392156862,0.6666666666666666,0.6958333333333333,0.9317081165713444,1.0,0.0,0.0,7.819455263432988,0.0,unstable,pressure_state
3,363,0.07758067963240009,0.209366391184573,0.13754928534126137,6.391818635887641,13.01108660130719,2.3443526170798896,0.6255096418732783,0.3512014031458265,1.0,0.0,0.0,4.9494025557611385,0.11124907696950079,borderline,pressure_state
4,870,0.18593716606112418,0.8172413793103448,0.15219771017299782,5.7148075737674775,7.157901723300576,0.9379310344827586,0.7396417624521073,0.8556256656066268,1.0,0.0,0.0,4.984324730004363,0.10303584238091723,borderline,pressure_state
5,123,0.026287668305193416,0.04065040650406504,0.12019467729218156,7.416072011345017,17.22925162070248,2.6260162601626016,0.5822357723577235,0.10867561011133248,1.0,0.0,0.0,4.9494025557611385,0.048805633209397306,stable,pressure_state
