method,split,bin_low,bin_high,n,mean_predicted,mean_actual
baseline_ipl_v6_features,season_2025,0.1,0.2,179,0.1487182287654207,0.09497206703910614
baseline_ipl_v6_features,season_2025,0.2,0.3,182,0.25135660979383817,0.1813186813186813
baseline_ipl_v6_features,season_2025,0.3,0.4,235,0.35177979684228805,0.31063829787234043
baseline_ipl_v6_features,season_2025,0.4,0.5,246,0.4543184970761856,0.43089430894308944
baseline_ipl_v6_features,season_2025,0.5,0.6,298,0.5507257721761788,0.5302013422818792
baseline_ipl_v6_features,season_2025,0.6,0.7,290,0.6501366591018494,0.6689655172413793
baseline_ipl_v6_features,season_2025,0.7,0.8,305,0.7474125012905753,0.7245901639344262
baseline_ipl_v6_features,season_2025,0.8,0.9,192,0.8469775602987551,0.7916666666666666
baseline_ipl_v6_features,season_2025,0.9,1.0,250,0.9517664913559644,0.956
regime_cluster_features,season_2025,0.0,0.1,277,0.04060235296306451,0.061371841155234655
regime_cluster_features,season_2025,0.1,0.2,179,0.14622987499210255,0.08379888268156424
regime_cluster_features,season_2025,0.2,0.3,182,0.25139354299540195,0.18681318681318682
regime_cluster_features,season_2025,0.3,0.4,230,0.3493113282285344,0.3130434782608696
regime_cluster_features,season_2025,0.4,0.5,253,0.4530284560124154,0.43478260869565216
regime_cluster_features,season_2025,0.5,0.6,310,0.553780618666887,0.5193548387096775
regime_cluster_features,season_2025,0.6,0.7,278,0.6518488823582744,0.7122302158273381
regime_cluster_features,season_2025,0.7,0.8,315,0.7478307378779339,0.7015873015873015
regime_cluster_features,season_2025,0.8,0.9,179,0.8476494130521908,0.7932960893854749
regime_cluster_features,season_2025,0.9,1.0,252,0.9511804676044157,0.9523809523809523
guarded_regime_phase_calibration,season_2025,0.0,0.1,431,0.0149826128224013,0.08352668213457076
guarded_regime_phase_calibration,season_2025,0.1,0.2,160,0.14301429351935815,0.2
guarded_regime_phase_calibration,season_2025,0.2,0.3,145,0.2585583523458426,0.2827586206896552
guarded_regime_phase_calibration,season_2025,0.3,0.4,120,0.3436402094568188,0.36666666666666664
guarded_regime_phase_calibration,season_2025,0.4,0.5,235,0.4497191109568699,0.39574468085106385
guarded_regime_phase_calibration,season_2025,0.5,0.6,213,0.54978665319694,0.4460093896713615
guarded_regime_phase_calibration,season_2025,0.6,0.7,278,0.6406859138927093,0.6294964028776978
guarded_regime_phase_calibration,season_2025,0.7,0.8,245,0.7578448435550506,0.746938775510204
guarded_regime_phase_calibration,season_2025,0.8,0.9,239,0.8519753874910535,0.7154811715481172
guarded_regime_phase_calibration,season_2025,0.9,1.0,389,0.9839362794608867,0.8740359897172236
v18A_hard_pp_fallback,season_2025,0.0,0.1,276,0.04036200233988959,0.06159420289855073
v18A_hard_pp_fallback,season_2025,0.1,0.2,179,0.14581995220871793,0.0893854748603352
v18A_hard_pp_fallback,season_2025,0.2,0.3,183,0.2508277075517736,0.18579234972677597
v18A_hard_pp_fallback,season_2025,0.3,0.4,229,0.3496713966186301,0.29694323144104806
v18A_hard_pp_fallback,season_2025,0.4,0.5,254,0.4535880334688714,0.4409448818897638
v18A_hard_pp_fallback,season_2025,0.5,0.6,308,0.5533986305453685,0.5227272727272727
v18A_hard_pp_fallback,season_2025,0.6,0.7,281,0.6522660946248828,0.708185053380783
v18A_hard_pp_fallback,season_2025,0.7,0.8,309,0.7478132976861276,0.7055016181229773
v18A_hard_pp_fallback,season_2025,0.8,0.9,184,0.8474183304676075,0.7880434782608695
v18A_hard_pp_fallback,season_2025,0.9,1.0,252,0.9513869373006314,0.9523809523809523
v18B_confidence_cap,season_2025,0.0,0.1,277,0.04060235296306451,0.061371841155234655
v18B_confidence_cap,season_2025,0.1,0.2,178,0.14602484044101965,0.08426966292134831
v18B_confidence_cap,season_2025,0.2,0.3,184,0.25132917707114305,0.19021739130434784
v18B_confidence_cap,season_2025,0.3,0.4,229,0.3494270800795996,0.31004366812227074
v18B_confidence_cap,season_2025,0.4,0.5,253,0.45290663047066665,0.43478260869565216
v18B_confidence_cap,season_2025,0.5,0.6,310,0.5537280661486734,0.5193548387096775
v18B_confidence_cap,season_2025,0.6,0.7,278,0.6518198829809696,0.7122302158273381
v18B_confidence_cap,season_2025,0.7,0.8,315,0.747843302765449,0.7015873015873015
v18B_confidence_cap,season_2025,0.8,0.9,179,0.8476581849089405,0.7932960893854749
v18B_confidence_cap,season_2025,0.9,1.0,252,0.9511804676044157,0.9523809523809523
v18C_dominant_cluster_only,season_2025,0.0,0.1,276,0.04036200233988959,0.06159420289855073
v18C_dominant_cluster_only,season_2025,0.1,0.2,179,0.14581995220871793,0.0893854748603352
v18C_dominant_cluster_only,season_2025,0.2,0.3,183,0.2508277075517736,0.18579234972677597
v18C_dominant_cluster_only,season_2025,0.3,0.4,229,0.3496713966186301,0.29694323144104806
v18C_dominant_cluster_only,season_2025,0.4,0.5,254,0.4535880334688714,0.4409448818897638
v18C_dominant_cluster_only,season_2025,0.5,0.6,308,0.5533986305453685,0.5227272727272727
v18C_dominant_cluster_only,season_2025,0.6,0.7,281,0.6522660946248828,0.708185053380783
v18C_dominant_cluster_only,season_2025,0.7,0.8,309,0.7478132976861276,0.7055016181229773
v18C_dominant_cluster_only,season_2025,0.8,0.9,184,0.8474183304676075,0.7880434782608695
v18C_dominant_cluster_only,season_2025,0.9,1.0,252,0.9513869373006314,0.9523809523809523
baseline_ipl_v6_features,season_2026,0.0,0.1,83,0.042174277141452575,0.0
baseline_ipl_v6_features,season_2026,0.1,0.2,39,0.15305865463739143,0.07692307692307693
baseline_ipl_v6_features,season_2026,0.2,0.3,75,0.2573408997631937,0.02666666666666667
baseline_ipl_v6_features,season_2026,0.3,0.4,97,0.3459816411934751,0.1134020618556701
baseline_ipl_v6_features,season_2026,0.4,0.5,82,0.44692703213595125,0.43902439024390244
baseline_ipl_v6_features,season_2026,0.5,0.6,58,0.5455385737088434,0.6379310344827587
baseline_ipl_v6_features,season_2026,0.6,0.7,70,0.658971926462213,0.8142857142857143
baseline_ipl_v6_features,season_2026,0.7,0.8,98,0.7453228737512164,0.7857142857142857
baseline_ipl_v6_features,season_2026,0.8,0.9,109,0.8452055101291651,0.7614678899082569
baseline_ipl_v6_features,season_2026,0.9,1.0,87,0.9540501762199698,1.0
regime_cluster_features,season_2026,0.0,0.1,82,0.04234957830768408,0.0
regime_cluster_features,season_2026,0.1,0.2,37,0.1506014637604446,0.02702702702702703
regime_cluster_features,season_2026,0.2,0.3,80,0.25668906623931625,0.0375
regime_cluster_features,season_2026,0.3,0.4,99,0.34859768932358604,0.15151515151515152
regime_cluster_features,season_2026,0.4,0.5,75,0.44894354426324506,0.38666666666666666
regime_cluster_features,season_2026,0.5,0.6,64,0.547036854261223,0.703125
regime_cluster_features,season_2026,0.6,0.7,66,0.6592232985242596,0.7575757575757576
regime_cluster_features,season_2026,0.7,0.8,107,0.7492368438828617,0.7757009345794392
regime_cluster_features,season_2026,0.8,0.9,101,0.844946396255511,0.7920792079207921
regime_cluster_features,season_2026,0.9,1.0,87,0.9535672878312628,1.0
guarded_regime_phase_calibration,season_2026,0.0,0.1,134,0.02070223900803471,0.029850746268656716
guarded_regime_phase_calibration,season_2026,0.1,0.2,49,0.15586356287308953,0.08163265306122448
guarded_regime_phase_calibration,season_2026,0.2,0.3,67,0.2519588466269125,0.05970149253731343
guarded_regime_phase_calibration,season_2026,0.3,0.4,59,0.33094341339320704,0.23728813559322035
guarded_regime_phase_calibration,season_2026,0.4,0.5,71,0.44739008678356373,0.4225352112676056
