Over,N,Win_Rate,Raw_Brier,Phase_Brier,PerOver_Brier
1,1812,0.5182119205298014,0.17428911263208077,0.17302168888229508,
2,3183,0.5164938737040528,0.17083030259194254,0.16884966502982082,0.1703234394598919
3,4405,0.51577752553916,0.16461173918512365,0.16540458795453403,0.1669496009374693
4,3144,0.5184478371501272,0.15687498508603379,0.1573497731431029,0.15903885140036428
5,4350,0.5177011494252873,0.14623195403133474,0.14558225440252437,0.14684020904788916
6,5585,0.5185317815577439,0.13259999127407315,0.133047217459206,0.1329764990536379
