Method,Brier,LogLoss,N
Resource Win Prob (Feature),0.19944661705911917,0.5920167465660549,22479
Raw Model,0.153680072101181,0.46976295810316854,22479
Innings×Phase (inn2_powerplay),0.1535046130569386,0.47147994587187114,22479
Brier-Optimized (Per-Over),0.15476526895436327,0.47335370514620256,22479
