actual,raw_prob,phase_prob,resource_prob,rrr,overs_remaining
1,0.9823362822879455,0.99,0.999,5.8125,5.333333333333333
1,0.9827840675191344,0.99,0.999,5.806451612903226,5.166666666666667
1,0.9011642501555254,0.9160467587672688,0.999,5.7894736842105265,9.5
1,0.9037683349330585,0.9160467587672688,0.999,5.571428571428571,9.333333333333334
1,0.9053168119346546,0.9160467587672688,0.999,5.5636363636363635,9.166666666666666
1,0.9074393831386702,0.9160467587672688,0.999,5.666666666666666,9.0
1,0.9088673114833363,0.9160467587672688,0.999,5.773584905660377,8.833333333333334
1,0.9124843766039141,0.9160467587672688,0.999,5.884615384615384,8.666666666666666
1,0.917474125216245,0.9160467587672688,0.999,5.64,8.333333333333334
1,0.918282429783099,0.9160467587672688,0.999,5.63265306122449,8.166666666666666
1,0.9188680661895979,0.9160467587672688,0.999,5.75,8.0
1,0.9203399103367048,0.9166666666666666,0.999,5.74468085106383,7.833333333333333
1,0.9218228134550476,0.9550381372942593,0.999,5.617021276595745,7.833333333333333
1,0.921328322189812,0.9534883720930233,0.999,5.739130434782609,7.666666666666667
1,0.9238535033087915,0.9550381372942593,0.999,5.6,7.5
1,0.9647712014590195,0.9695273631840796,0.999,5.508196721311475,10.166666666666666
1,0.9410216699624402,0.9550381372942593,0.999,5.6,10.0
1,0.9428781174774807,0.9550381372942593,0.999,5.59322033898305,9.833333333333334
1,0.9424766211272084,0.9550381372942593,0.999,5.689655172413794,9.666666666666666
1,0.9435701317748862,0.9550381372942593,0.999,5.684210526315789,9.5
1,0.9459090114726587,0.9550381372942593,0.999,5.785714285714286,9.333333333333334
1,0.9466180427435102,0.9550381372942593,0.999,5.890909090909091,9.166666666666666
1,0.9498063165226476,0.9550381372942593,0.999,5.555555555555555,9.0
1,0.9541949365661482,0.9550381372942593,0.999,5.547169811320755,8.833333333333334
1,0.9578130470286448,0.9550381372942593,0.999,5.653846153846153,8.666666666666666
1,0.9592086897404871,0.9657534246575342,0.999,5.529411764705882,8.5
1,0.9613164426417721,0.9695273631840796,0.999,5.5200000000000005,8.333333333333334
1,0.9620905748254731,0.9695273631840796,0.999,5.63265306122449,8.166666666666666
1,0.9633237289346567,0.9695273631840796,0.999,5.625,8.0
1,0.9644885514475638,0.9695273631840796,0.999,5.617021276595745,7.833333333333333
1,0.9652138714980707,0.9695273631840796,0.999,5.608695652173913,7.666666666666667
1,0.9657287498259092,0.9695273631840796,0.999,5.6,7.5
1,0.9658857370212695,0.9695273631840796,0.999,5.7272727272727275,7.333333333333333
1,0.966468338549149,0.9695273631840796,0.999,5.8604651162790695,7.166666666666667
1,0.9664656368137063,0.9695273631840796,0.999,5.857142857142857,7.0
1,0.9668504955605228,0.9695273631840796,0.999,5.853658536585366,6.833333333333333
