bucket,n,mean_pred,actual_wr,cal_error,candidate
50-60,1336,0.5537676377822419,0.5703592814371258,0.01659164365488386,baseline_v14
60-70,1299,0.6497339112690379,0.7228637413394919,0.07312983007045404,baseline_v14
70-80,1965,0.7513084431222614,0.87735368956743,0.12604524644516857,baseline_v14
80+,5447,0.9354029197204973,0.9429043510189095,0.007501431298412187,baseline_v14
