phase,group,max_abs_corr,avg_abs_corr
death,phase_scoring,0.5528169872360461,0.41962244520768555
death,dot_boundary,0.5369790073168526,0.28869793760997997
death,venue_relative_scoring,0.5096004972392577,0.38465078683821075
death,phase_wickets,0.3668000704201463,0.26386243456197855
death,venue_relative_wickets,0.3138612335769152,0.23892287229489398
death,partnership,0.25062718382916005,0.17069867670972005
death,venue_relative_partnership,0.21663684268733738,0.15036127837168453
death,acceleration,0.162456672562834,0.1191400351169631
early_mid,phase_scoring,0.5863242999710857,0.46198796149540067
early_mid,dot_boundary,0.5731012709882506,0.3300270299608643
early_mid,venue_relative_scoring,0.5502747942500263,0.43263764439319513
early_mid,phase_wickets,0.4055697913194369,0.2857432954364372
early_mid,venue_relative_wickets,0.36889659671128505,0.2678573467374106
early_mid,partnership,0.23247680484063496,0.17371093984617103
early_mid,venue_relative_partnership,0.2196112033419992,0.17272608465020156
early_mid,acceleration,0.21670060838640348,0.13345934630908549
late_mid,phase_scoring,0.5809638803278662,0.4482612436192549
late_mid,dot_boundary,0.5703373868713222,0.31623737051690104
late_mid,venue_relative_scoring,0.5429450793463881,0.4174745023043315
late_mid,phase_wickets,0.38935383633037113,0.27429635348967907
late_mid,venue_relative_wickets,0.3521940713827892,0.2573404419888594
late_mid,partnership,0.2222195125637284,0.16159392283136947
late_mid,acceleration,0.2116282140203226,0.1304781797206216
late_mid,venue_relative_partnership,0.20672335260568137,0.15888315801556183
mid,phase_scoring,0.5839172121520858,0.45605521434061047
mid,dot_boundary,0.5717813037861258,0.3240152608838454
mid,venue_relative_scoring,0.5470398132787854,0.4260983297704545
mid,phase_wickets,0.3985991879713759,0.28085952329378855
mid,venue_relative_wickets,0.3617211382235806,0.26338157836266424
mid,partnership,0.2279894315806293,0.16846433080242385
mid,acceleration,0.21444898762358344,0.13213966011719402
mid,venue_relative_partnership,0.21399888225756092,0.16673964931102533
pp,phase_scoring,0.5827959738098671,0.46277245822584867
pp,dot_boundary,0.571075804448878,0.32643912953191545
pp,venue_relative_scoring,0.5468029132447007,0.43313284448897493
pp,phase_wickets,0.40759600682192193,0.28722330750408465
pp,venue_relative_wickets,0.3702517723099909,0.26855713817996163
pp,partnership,0.23291646724856394,0.1733736910950292
pp,venue_relative_partnership,0.2206205904868693,0.17271258923554075
pp,acceleration,0.2172763980759405,0.13385094972344888
