candidate,passed_guardrails,brier,brier_delta_pct,logloss,logloss_delta_pct
full_global_platt,False,0.11174587010755299,-0.0038339677646069786,0.3715546238829668,-0.7364131815715157
full_phase_platt,False,0.11175033121558857,0.00015806969846899062,0.37155768337225187,-0.7355958162078546
full_phase_symmetric_platt,False,0.11188268186867695,0.11859249477352808,0.37181533433178654,-0.6667624421985539
full_global_platt_blend_0.75,False,0.11174694093793719,-0.00287573160977155,0.37190096726258054,-0.6438849665489329
full_phase_platt_blend_0.75,False,0.11175028692335198,0.00011843464225255071,0.37190149273453393,-0.6437445828004512
recent_2021_global_symmetric_platt_blend_0.25,False,0.11214353933174435,0.35202166904663673,0.3719030557785433,-0.6433270039446006
recent_2022_global_symmetric_platt_blend_0.25,False,0.11210686543887417,0.31920391321400116,0.3719128814742855,-0.6407019961001026
recent_2022_global_platt_blend_0.50,False,0.11211323165195312,0.3249007403041358,0.3720481668503333,-0.6045594996610895
full_global_symmetric_platt,False,0.11189152099544611,0.1265022169595767,0.3720857719673221,-0.5945130124016252
full_phase_symmetric_platt_blend_0.75,False,0.1118481073312853,0.0876533542202832,0.37208931461991485,-0.593566566359505
recent_2022_global_platt_blend_0.25,False,0.1119005868517896,0.13461482886438322,0.37212133118293184,-0.5850131029428696
recent_2022_global_symmetric_platt_blend_0.50,False,0.112498499982314,0.6696593957483864,0.372252810969859,-0.5498872979989766
recent_2021_global_platt_blend_0.25,False,0.11206979514021359,0.28603143233251205,0.37225662519660635,-0.5488682988975191
full_global_symmetric_platt_blend_0.75,False,0.11185548843859752,0.09425836281329564,0.3723403276881817,-0.5265065544719509
recent_2021_global_symmetric_platt_blend_0.50,False,0.11257731860308495,0.740190502459163,0.3723703427155436,-0.5184878162222221
full_phase_platt_blend_0.50,False,0.11175024275856382,7.891363368758807e-05,0.37238598122457434,-0.5143098719871013
full_global_platt_blend_0.50,False,0.1117480119986952,-0.0019172893041543837,0.3723879901011495,-0.5137731856386976
full_phase_symmetric_platt_blend_0.50,False,0.11181449464259742,0.05757492720021754,0.372506264080627,-0.48217541057259067
recent_2022_global_platt_blend_0.75,False,0.11238808921182339,0.5708579480787822,0.37251334533383107,-0.48028360100536877
recent_2021_global_platt_blend_0.50,False,0.11244662510414735,0.6232389873246921,0.3725947916508335,-0.45852461043133014
full_global_symmetric_platt_blend_0.50,False,0.1118199165556291,0.062426744231189116,0.3727366774274543,-0.42061876778909646
recent_2022_global_symmetric_platt_blend_0.75,False,0.11292505844165238,1.0513666613627797,0.373097486940082,-0.32422581752153706
full_phase_platt_blend_0.25,False,0.11175019872122412,3.9506672798939876e-05,0.3732140739388307,-0.2930787319295158
full_global_platt_blend_0.25,False,0.1117490832898271,-0.0009586408476933858,0.3732186174942005,-0.29186488725117876
full_phase_symmetric_platt_blend_0.25,False,0.11178184380261327,0.028357213713318674,0.3732691016816186,-0.2783776603439645
recent_2022_global_platt,False,0.11272515953140042,0.8724864521883473,0.37329882374831297,-0.27043718871987776
recent_2021_global_symmetric_platt_blend_0.75,False,0.11305149262535463,1.1645067139971403,0.3733630699641705,-0.25327333335216856
recent_2021_global_platt_blend_0.75,False,0.11288064470313414,1.0116228787361141,0.37347656506234933,-0.22295227204009704
full_global_symmetric_platt_blend_0.25,False,0.11178480534654088,0.031007361213281966,0.3734777448246924,-0.22263708973784194
recent_2022_global_symmetric_platt,False,0.11338654081688929,1.4643257100571558,0.37422561414781463,-0.022838226494617413
full_phase_symmetric_temperature,False,0.11174567463772442,-0.00400888459521108,0.3742963601668117,-0.003937900277743285
full_phase_temperature,False,0.11174567463772472,-0.0040088845949378706,0.37429636016681245,-0.003937900277550492
full_global_temperature,False,0.11174510708747985,-0.004516758831928249,0.37429818024136613,-0.0034516537962461457
full_global_symmetric_temperature,False,0.11174510708747985,-0.004516758831928249,0.37429818024136613,-0.0034516537962461457
full_phase_isotonic_blend_0.25,False,0.11181748460834272,0.06025050805890839,0.3744658607032969,0.04134543126401784
full_phase_symmetric_isotonic_blend_0.25,False,0.11185769706934941,0.09623476343693219,0.3745270923759131,0.057703928938610774
recent_2021_global_symmetric_platt,False,0.11356606139855341,1.6249703036605814,0.37465676610152754,0.09234723114295601
full_global_symmetric_isotonic_blend_0.25,False,0.111865841610689,0.10352293352560889,0.37466385507786226,0.09424110400208446
recent_2021_global_platt,False,0.11337185393717396,1.4511831065667906,0.37468076925211774,0.09875985170901519
full_global_isotonic_blend_0.25,False,0.11184714466626958,0.08679191020759863,0.37469622828725657,0.10288984815636369
full_phase_isotonic_blend_0.50,False,0.11190537016170081,0.1388951897547251,0.37470036650421584,0.10399540365750974
full_phase_symmetric_isotonic_blend_0.50,False,0.11198159328155795,0.2071037037820745,0.3747952354675641,0.12934035423646026
recent_2022_global_isotonic_blend_0.25,False,0.11190464113859011,0.13824282098307736,0.3749792341955556,0.17849698568836625
full_phase_isotonic_blend_0.75,False,0.11201381123253035,0.23593404508733834,0.37502306275385433,0.1902061116745921
full_global_symmetric_isotonic_blend_0.50,False,0.11199172569976915,0.21617073214544746,0.37505464583835507,0.19864376807506956
full_phase_symmetric_isotonic_blend_0.75,False,0.11212184320908186,0.3326068210354641,0.37511993291929485,0.21608569830664942
full_global_isotonic_blend_0.50,False,0.11195862555770927,0.1865509591916565,0.3751463964007902,0.22315561460988864
recent_2021_global_symmetric_isotonic_blend_0.25,False,0.11203646925329143,0.25620965083282415,0.3752423007153419,0.24877716697889624
recent_2022_global_symmetric_isotonic_blend_0.25,False,0.11210273461874054,0.3155074349859068,0.3754070479641363,0.2927906222897112
full_phase_isotonic,False,0.1121428078208318,0.3513670740571704,0.3754484901773202,0.30386221839402955
full_global_symmetric_isotonic_blend_0.75,False,0.11212780683969663,0.33794339585952826,0.3754859091422323,0.313858973738887
full_phase_symmetric_isotonic,False,0.11227844685192129,0.4727441151972252,0.37550914462552887,0.3200665062663376
