phase,feature,corr,abs_corr,mean,std
death,final_score,-0.5528169872360461,0.5528169872360461,202.0848823515933,28.999981650067415
death,avg_boundary18,-0.5369790073168526,0.5369790073168526,0.21253795488582752,0.0436480401453926
death,final_score_vs_venue,-0.5096004972392577,0.5096004972392577,29.950167177156807,28.838733603152257
death,mid_avg_boundary18,-0.48873192005236943,0.48873192005236943,0.1924482703214574,0.053389517427208565
death,avg_boundary18_vs_venue,-0.4783700192013974,0.4783700192013974,0.04727755295648151,0.044729663087541185
death,late_mid_rr,-0.44989242602206647,0.44989242602206647,9.837008064052192,2.597691649550118
death,death_recovery_after_pp_wkts,-0.4455923534113533,0.4455923534113533,6.8401358394771865,3.5937046808556805
death,death_rr,-0.42969306031813875,0.42969306031813875,11.568467948082082,2.6756712715369853
death,mid_rr,-0.40734111764377284,0.40734111764377284,9.21638037344244,1.7793740153344897
death,mid_avg_boundary18_vs_venue,-0.40664545855565865,0.40664545855565865,0.04784333188379222,0.05434612525358618
death,death_recovery_after_pp_wkts_vs_venue,-0.40652220226049296,0.40652220226049296,1.1089844870572236,3.798569276827063
death,death_rr_vs_venue,-0.40289256564725523,0.40289256564725523,1.049262924760138,2.7158515951209146
death,mid_recovery_after_pp_wkts,-0.4026463766634508,0.4026463766634508,5.550804429005145,3.1404231186986857
death,late_mid_rr_vs_venue,-0.3989786123299305,0.3989786123299305,1.4569819766313292,2.604086993197982
death,avg_dot12,0.3795066836434699,0.3795066836434699,0.29681548864904594,0.058618992951362754
death,total_wickets,0.3668000704201463,0.3668000704201463,5.905172413793103,1.9423406574825206
death,death_avg_boundary18,-0.3613554851092535,0.3613554851092535,0.21513490000151037,0.07973254295857936
death,mid_recovery_after_pp_wkts_vs_venue,-0.35994470986684385,0.35994470986684385,1.1232842204020264,3.2804052147886797
death,avg_dot12_vs_venue,0.3585758048139352,0.3585758048139352,-0.045838777220843695,0.058709140867562376
death,pp_avg_dot12_vs_venue,0.35323492771214454,0.35323492771214454,-0.07532102918124091,0.1026539141661409
death,mid_rr_vs_venue,-0.34744424729614787,0.34744424729614787,1.2138555911971773,1.8014025724063496
death,pp_avg_dot12,0.3440502533683526,0.3440502533683526,0.3909747088680896,0.10450096056546455
death,pp_wickets,0.3325644823129792,0.3325644823129792,1.113395225464191,0.9505383577247443
death,death_avg_boundary18_vs_venue,-0.32514045838055566,0.32514045838055566,0.0292457940089375,0.07901972669560936
death,total_wickets_vs_venue,0.3138612335769152,0.3138612335769152,-0.3199763582246924,2.1191041573688225
death,pp_wickets_vs_venue,0.31173330302580055,0.31173330302580055,-0.18208797424799744,1.0005992215051578
death,early_to_late_mid_accel,-0.30951865751382857,0.30951865751382857,1.3964123038719363,3.2266442478254027
death,mid_max_set_batter_exposure,-0.30911344318341505,0.30911344318341505,35.07029177718833,7.455888819138625
death,avg_set_batter_exposure,-0.30560170094496797,0.30560170094496797,13.49267827208838,3.2395809861889546
death,early_to_late_mid_accel_vs_venue,-0.3006271325055145,0.3006271325055145,0.547034367226842,3.091697392534214
death,pp_rr,-0.2886386156327846,0.2886386156327846,10.21585320836682,2.170987985024263
death,mid_max_set_batter_exposure_vs_venue,-0.2826626755278806,0.2826626755278806,-0.6139479170169742,7.896964642832236
death,pp_rr_vs_venue,-0.27866583717018234,0.27866583717018234,2.296525372096922,2.148492191337504
death,pp_max_balls_since_wicket,-0.2724115807004108,0.2724115807004108,26.731432360742705,7.92534133268818
death,pp_max_set_batter_exposure,-0.27238923741870547,0.27238923741870547,18.24137931034483,3.666789740542812
death,mid_wickets,0.26072136863985207,0.26072136863985207,2.276525198938992,0.976053356111439
death,late_mid_wickets,0.2513096197503042,0.2513096197503042,1.3812997347480107,0.903342114479833
death,max_set_batter_exposure,-0.25062718382916005,0.25062718382916005,40.48806366047745,9.33263445069172
death,avg_set_batter_exposure_vs_venue,-0.24943253295359147,0.24943253295359147,-0.28998067449177867,3.5691023870334417
death,mid_wickets_vs_venue,0.24893404275766776,0.24893404275766776,-0.07172579853838687,0.8860495422735436
death,pp_max_balls_since_wicket_vs_venue,-0.24844536241917442,0.24844536241917442,0.8603467337696958,8.21446003692954
death,pp_max_set_batter_exposure_vs_venue,-0.24268270537691655,0.24268270537691655,0.8140919063225562,3.977093323331154
death,late_mid_wickets_vs_venue,0.24258946293511896,0.24258946293511896,-0.07193707063550167,0.9159899900335464
death,death_max_set_batter_exposure,-0.22238239574977417,0.22238239574977417,36.677718832891244,12.231926291666731
death,max_set_batter_exposure_vs_venue,-0.21663684268733738,0.21663684268733738,-1.2395425762216892,9.981355554988223
death,mid_avg_dot12,0.21065056268976093,0.21065056268976093,0.2598155510645303,0.07560180080134728
death,pp_avg_boundary18_vs_venue,-0.2086053399225915,0.2086053399225915,0.06213063188697759,0.08060197160177554
death,death_max_balls_since_wicket,-0.20705492749197935,0.20705492749197935,29.626657824933687,14.151863989707161
death,avg_balls_since_wicket,-0.20405830406528122,0.20405830406528122,15.56136800809575,4.946513482634109
death,death_max_set_batter_exposure_vs_venue,-0.19461208870756044,0.19461208870756044,-0.9300337894600852,12.55452758630231
death,death_avg_dot12,0.18872236197508296,0.18872236197508296,0.25210092275906315,0.08270259744511488
death,max_boundary18_vs_venue,-0.1887113460914575,0.1887113460914575,0.08594082509500765,0.22695671794978237
death,pp_avg_boundary18,-0.18672955300671495,0.18672955300671495,0.24039196916320094,0.08043229322855042
death,avg_pair_strength,-0.184271183555872,0.184271183555872,46.72079717876406,9.758851675905357
death,death_max_balls_since_wicket_vs_venue,-0.18358260635632842,0.18358260635632842,-1.4357165530632219,14.14725142060885
death,mid_avg_dot12_vs_venue,0.17913846632488395,0.17913846632488395,-0.051568903447190784,0.08037073418710591
death,death_avg_dot12_vs_venue,0.16757729479523625,0.16757729479523625,-0.0006722666594944671,0.0772242835517211
death,death_accel_vs_pp,-0.162456672562834,0.162456672562834,1.352614739715261,3.2198518058218015
death,death_accel_vs_mid_vs_venue,-0.16228887084407756,0.16228887084407756,-0.16459266643703946,2.8856535497022797
death,death_accel_vs_mid,-0.15756326883921462,0.15756326883921462,2.3520875746396395,2.696727353333911
death,death_accel_vs_pp_vs_venue,-0.15579824200725778,0.15579824200725778,-1.2472624473367842,3.1802993123613628
death,avg_balls_since_wicket_vs_venue,-0.1534877253034575,0.1534877253034575,-0.7064963638211087,5.408819529403429
death,max_dot12_vs_venue,0.14138147390462225,0.14138147390462225,-0.0866091000950388,0.19445923894481368
death,max_boundary18,-0.1345606541526817,0.1345606541526817,0.5603539549162891,0.2370398457575594
death,avg_pair_strength_vs_venue,-0.12325394999307815,0.12325394999307815,3.466513327866878,9.75943667602818
death,max_wickets_last6,0.12214523419883427,0.12214523419883427,1.736737400530504,0.709441843473077
death,max_wickets_last12,0.11524030301152621,0.11524030301152621,2.231432360742706,0.9188110469228383
death,max_wickets_last6_vs_venue,0.11430738915687468,0.11430738915687468,-0.09406016174165222,0.7015999152117758
death,max_dot12,0.10374540532691558,0.10374540532691558,0.7819933897520105,0.1927373279959749
death,death_wickets,0.0953638168749367,0.0953638168749367,2.5152519893899203,1.487539308585808
death,max_wickets_last12_vs_venue,0.09378763085544974,0.09378763085544974,-0.09098562983073281,0.9141034836079625
death,mid_max_balls_since_wicket,-0.0922267795690229,0.0922267795690229,43.23143236074271,13.398398177643328
death,max_balls_since_wicket,-0.09077016959028006,0.09077016959028006,45.05106100795756,13.539665444413334
death,max_balls_since_wicket_vs_venue,-0.08408571405603167,0.08408571405603167,-2.5713322323583174,14.464350510465035
death,death_wickets_vs_venue,0.08116290981919234,0.08116290981919234,-0.0661625854383078,1.6339563260927652
death,mid_max_balls_since_wicket_vs_venue,-0.08049571935056266,0.08049571935056266,-0.7330022161508976,14.594672476924458
death,early_mid_rr,-0.08036942089497465,0.08036942089497465,8.440595760180257,2.114923817030487
death,early_mid_rr_vs_venue,-0.05386136156793271,0.05386136156793271,0.9099476094044872,2.0334965558208924
death,early_mid_wickets,0.038579684466389264,0.038579684466389264,0.8952254641909815,0.7117581171628204
death,mid_accel_vs_pp,-0.03740016394884071,0.03740016394884071,-0.9994728349243786,2.625155164937985
death,max_pair_strength_vs_venue,0.02764539269717229,0.02764539269717229,3.5512271275915546,19.38278241190896
death,mid_accel_vs_pp_vs_venue,-0.010441285556902831,0.010441285556902831,-1.0826697808997447,2.602704958723955
death,early_mid_wickets_vs_venue,-0.0024229630209775437,0.0024229630209775437,0.0002112720971148102,0.6775279194260425
death,max_pair_strength,0.002033798593075731,0.002033798593075731,76.23447469317082,18.543697606136003
early_mid,final_score,-0.5863242999710857,0.5863242999710857,195.4348577197046,31.04541153763483
early_mid,avg_boundary18,-0.5731012709882506,0.5731012709882506,0.20246651033096505,0.0458355099227462
early_mid,final_score_vs_venue,-0.5502747942500263,0.5502747942500263,23.575877849157557,31.059265492195088
early_mid,avg_boundary18_vs_venue,-0.5206052270690393,0.5206052270690393,0.036568966101284295,0.048351059122867156
early_mid,mid_avg_boundary18,-0.49031609759234135,0.49031609759234135,0.1836675815579894,0.056623259765267456
early_mid,death_rr,-0.48834345314963096,0.48834345314963096,11.189659523522888,2.6683477191645077
early_mid,death_rr_vs_venue,-0.4650240551194109,0.4650240551194109,0.6869524181115416,2.7186325666074262
early_mid,death_recovery_after_pp_wkts,-0.4574414489946295,0.4574414489946295,6.30873049176002,3.6399610103839586
early_mid,late_mid_rr,-0.45173236803090505,0.45173236803090505,9.396434864062764,2.5437526753459485
early_mid,death_recovery_after_pp_wkts_vs_venue,-0.4324963908228064,0.4324963908228064,0.5247805819938357,3.877403579298694
early_mid,mid_avg_boundary18_vs_venue,-0.4273835469856144,0.4273835469856144,0.03924657743344439,0.05753997489191485
early_mid,avg_dot12,0.415493762534219,0.415493762534219,0.30865325620072154,0.06435123977730897
early_mid,mid_recovery_after_pp_wkts,-0.41329890437870764,0.41329890437870764,5.117025563029085,3.0559821655997323
early_mid,mid_rr,-0.41268822099741914,0.41268822099741914,8.971267029515612,1.7886505713260559
early_mid,late_mid_rr_vs_venue,-0.40893271001858056,0.40893271001858056,1.0172685921445463,2.5766827553400775
early_mid,total_wickets,0.4055697913194369,0.4055697913194369,6.208207831325301,2.035824265599978
early_mid,death_avg_boundary18,-0.4014018688847777,0.4014018688847777,0.2077755848120871,0.07891075955302321
early_mid,avg_dot12_vs_venue,0.39239713038192636,0.39239713038192636,-0.03517584186195491,0.0640107752245986
early_mid,mid_recovery_after_pp_wkts_vs_venue,-0.3808793777492162,0.3808793777492162,0.6588816400236591,3.228506669899403
early_mid,death_avg_boundary18_vs_venue,-0.3710483392823231,0.3710483392823231,0.021511335142111804,0.0802011507753166
early_mid,total_wickets_vs_venue,0.36889659671128505,0.36889659671128505,0.02138800022437701,2.1642293231558876
early_mid,mid_rr_vs_venue,-0.36502629001190523,0.36502629001190523,0.9797661283093596,1.8029469259470243
early_mid,pp_rr,-0.3605958718634668,0.3605958718634668,9.790859472741607,2.3312955413445082
early_mid,pp_wickets,0.35274805124774905,0.35274805124774905,1.2797439759036144,1.0535832904282103
early_mid,pp_rr_vs_venue,-0.35022543819143803,0.35022543819143803,1.8872034339692696,2.3065505100491563
early_mid,pp_wickets_vs_venue,0.3416355828984021,0.3416355828984021,0.0003945672273685667,1.1203493162171294
early_mid,pp_avg_dot12,0.33513686390665187,0.33513686390665187,0.40878535983743425,0.10726381311170341
early_mid,pp_avg_dot12_vs_venue,0.3331334200078946,0.3331334200078946,-0.05854114780852622,0.10580494490659334
early_mid,avg_set_batter_exposure,-0.30826140161173715,0.30826140161173715,13.125181027171843,3.3082012290904226
early_mid,pp_max_balls_since_wicket,-0.3049959479234441,0.3049959479234441,25.931852409638555,8.054818428707865
early_mid,early_to_late_mid_accel,-0.2992251778393345,0.2992251778393345,0.9566276277310862,3.090033736279982
early_mid,early_to_late_mid_accel_vs_venue,-0.2963275674099647,0.2963275674099647,0.08438054362917036,3.003518658346424
early_mid,pp_max_balls_since_wicket_vs_venue,-0.29414645617281776,0.29414645617281776,-0.11936651667500267,8.582843278738133
early_mid,avg_set_batter_exposure_vs_venue,-0.2778192719205542,0.2778192719205542,-0.7380213651668104,3.61260512187618
early_mid,pp_max_set_batter_exposure,-0.27763396673845236,0.27763396673845236,17.748117469879517,3.8795659855568627
early_mid,mid_max_set_batter_exposure,-0.276175913577002,0.276175913577002,34.224774096385545,7.762016014175413
early_mid,mid_avg_dot12,0.2719632475133432,0.2719632475133432,0.2722988015336339,0.0823291663250555
early_mid,pp_avg_boundary18_vs_venue,-0.2614603423355026,0.2614603423355026,0.045429816114927565,0.08577546106632769
early_mid,mid_max_set_batter_exposure_vs_venue,-0.2609867744698437,0.2609867744698437,-1.5488995541059152,7.989737883410664
early_mid,pp_max_set_batter_exposure_vs_venue,-0.25851366029593126,0.25851366029593126,0.23194866432230218,4.259917600883419
early_mid,max_boundary18_vs_venue,-0.2524953015931161,0.2524953015931161,0.05018925522137321,0.22273413976149992
early_mid,death_avg_dot12,0.25159537696935497,0.25159537696935497,0.2554035820412045,0.0881924611771321
early_mid,mid_wickets,0.2487787855010045,0.2487787855010045,2.373117469879518,1.0344791510123565
early_mid,avg_balls_since_wicket,-0.24518248143502272,0.24518248143502272,15.369026736830422,5.1557465309633566
early_mid,mid_avg_dot12_vs_venue,0.24465677006069844,0.24465677006069844,-0.039793532975445946,0.08612775579863122
early_mid,mid_wickets_vs_venue,0.24175258165034266,0.24175258165034266,0.03396296531558756,0.9555589166722768
early_mid,late_mid_wickets_vs_venue,0.23914495688309562,0.23914495688309562,-0.01373082866286004,0.9392310412193287
early_mid,death_max_balls_since_wicket,-0.23771302560144297,0.23771302560144297,29.344503012048193,14.622220530306004
early_mid,pp_avg_boundary18,-0.23601010455216345,0.23601010455216345,0.2257677118100211,0.08355375657769708
early_mid,max_set_batter_exposure,-0.23247680484063496,0.23247680484063496,39.661144578313255,9.301499992847516
early_mid,death_max_balls_since_wicket_vs_venue,-0.23025546142152475,0.23025546142152475,-1.9749244164448074,14.760964870243379
early_mid,late_mid_wickets,0.23010615240164212,0.23010615240164212,1.4224397590361446,0.9250688558606905
early_mid,avg_pair_strength,-0.22615310633621424,0.22615310633621424,45.4827200121836,10.09176657727445
