bucket,n,mean_pred,actual_wr,cal_error,candidate
70-80,2098,0.7532715290142749,0.882745471877979,0.12947394286370417,recent_2021_global_symmetric_platt_blend_0.50
80+,5114,0.9354082102649812,0.9473992960500587,0.01199108578507746,recent_2021_global_symmetric_platt_blend_0.50
50-60,1387,0.5593213054507749,0.578226387887527,0.018905082436752152,recent_2021_global_symmetric_platt_blend_0.75
60-70,1493,0.6529614151394707,0.7367716008037508,0.08381018566428011,recent_2021_global_symmetric_platt_blend_0.75
70-80,2165,0.7512669188862388,0.8872979214780601,0.13603100259182133,recent_2021_global_symmetric_platt_blend_0.75
80+,5002,0.9342057989129767,0.9472211115553778,0.013015312642401078,recent_2021_global_symmetric_platt_blend_0.75
50-60,1282,0.5508906488549106,0.5600624024960998,0.009171753641189273,recent_2021_global_symmetric_isotonic_blend_0.25
60-70,1292,0.6468520247618674,0.7213622291021672,0.07451020434029976,recent_2021_global_symmetric_isotonic_blend_0.25
70-80,2299,0.7531240140115771,0.877337973031753,0.12421395902017585,recent_2021_global_symmetric_isotonic_blend_0.25
80+,5174,0.9371668388122742,0.945883262466177,0.008716423653902794,recent_2021_global_symmetric_isotonic_blend_0.25
50-60,1140,0.5433245539679981,0.5692982456140351,0.025973691646037023,recent_2021_global_symmetric_isotonic_blend_0.50
60-70,1432,0.6437191841609821,0.6976256983240223,0.053906514163040264,recent_2021_global_symmetric_isotonic_blend_0.50
70-80,2550,0.7543595434277688,0.8811764705882353,0.12681692716046655,recent_2021_global_symmetric_isotonic_blend_0.50
80+,4925,0.9389857002542338,0.9474111675126904,0.00842546725845661,recent_2021_global_symmetric_isotonic_blend_0.50
50-60,1128,0.5408827726595079,0.5700354609929078,0.0291526883333999,recent_2021_global_symmetric_isotonic_blend_0.75
60-70,1444,0.6452212377737179,0.695983379501385,0.05076214172766713,recent_2021_global_symmetric_isotonic_blend_0.75
70-80,3139,0.7586111490184109,0.8849952214080917,0.12638407238968086,recent_2021_global_symmetric_isotonic_blend_0.75
80+,4336,0.9532359210664886,0.9536439114391144,0.0004079903726258438,recent_2021_global_symmetric_isotonic_blend_0.75
50-60,1536,0.5537485820154044,0.5963541666666666,0.042605584651262185,recent_2022_global_temperature
60-70,1488,0.6538424979183324,0.7379032258064516,0.08406072788811925,recent_2022_global_temperature
70-80,2096,0.7491905396573547,0.896469465648855,0.14727892599150028,recent_2022_global_temperature
80+,4927,0.934460239590824,0.9474325147148366,0.012972275124012556,recent_2022_global_temperature
50-60,1444,0.5525736539275238,0.6011080332409973,0.048534379313473486,recent_2022_global_platt
60-70,1708,0.651543044541992,0.7652224824355972,0.11367943789360524,recent_2022_global_platt
70-80,1987,0.7548416938606977,0.8968293910417715,0.14198769718107385,recent_2022_global_platt
80+,4908,0.9360020839079122,0.9484515077424613,0.012449423834549167,recent_2022_global_platt
