segment,variant,fold,feature,importance
innings_2_powerplay,baseline,3,bowling_team_situation_wr,0.023257797583937645
innings_2_powerplay,baseline,3,runs_last_12,0.008336187340319157
innings_2_powerplay,baseline,3,runs_last_18,0.021289760246872902
innings_2_powerplay,baseline,3,wickets_last_12,0.0
innings_2_powerplay,baseline,3,inn1_defendability,0.02547687292098999
innings_2_powerplay,baseline,3,target_above_par,0.03363077715039253
innings_2_powerplay,baseline,3,inn1_wickets_lost,0.020610500127077103
innings_2_powerplay,baseline,3,inn1_death_rr,0.02106374502182007
innings_2_powerplay,baseline,3,inn1_pp_runs,0.024767516180872917
innings_2_powerplay,baseline,3,venue_chase_success,0.02048918977379799
innings_2_powerplay,baseline,3,batting_won_toss,0.024997467175126076
innings_2_powerplay,baseline,4,expected_final_score,0.02675015665590763
innings_2_powerplay,baseline,4,resource_win_prob,0.2031860053539276
innings_2_powerplay,baseline,4,score_vs_par,0.02965717390179634
innings_2_powerplay,baseline,4,dls_pressure_index,0.09941207617521286
innings_2_powerplay,baseline,4,projected_vs_venue_avg,0.0
innings_2_powerplay,baseline,4,projected_score,0.0
innings_2_powerplay,baseline,4,is_powerplay,0.0
innings_2_powerplay,baseline,4,score_per_wicket,0.015127231366932392
innings_2_powerplay,baseline,4,run_rate_diff,0.02233012393116951
innings_2_powerplay,baseline,4,required_run_rate,0.015768995508551598
innings_2_powerplay,baseline,4,chase_difficulty,0.02228953130543232
innings_2_powerplay,baseline,4,wickets_times_balls,0.03132607415318489
innings_2_powerplay,baseline,4,pressure_index,0.20182786881923676
innings_2_powerplay,baseline,4,team_strength_diff,0.018469322472810745
innings_2_powerplay,baseline,4,rrr_times_wickets,0.016157357022166252
innings_2_powerplay,baseline,4,overs_remaining,0.006481346674263477
innings_2_powerplay,baseline,4,batting_team_win_rate,0.0237603597342968
innings_2_powerplay,baseline,4,bowling_team_win_rate,0.01606644317507744
innings_2_powerplay,baseline,4,batting_team_situation_wr,0.01940101757645607
innings_2_powerplay,baseline,4,situation_advantage,0.0213188324123621
innings_2_powerplay,baseline,4,boundary_pct_last_18,0.01190643385052681
innings_2_powerplay,baseline,4,bowling_team_situation_wr,0.0161487627774477
innings_2_powerplay,baseline,4,runs_last_12,0.011124427430331707
innings_2_powerplay,baseline,4,runs_last_18,0.011755227111279964
innings_2_powerplay,baseline,4,wickets_last_12,0.010205495171248913
innings_2_powerplay,baseline,4,inn1_defendability,0.019909553229808807
innings_2_powerplay,baseline,4,target_above_par,0.033185992389917374
innings_2_powerplay,baseline,4,inn1_wickets_lost,0.01985826902091503
innings_2_powerplay,baseline,4,inn1_death_rr,0.019951850175857544
innings_2_powerplay,baseline,4,inn1_pp_runs,0.02092931419610977
innings_2_powerplay,baseline,4,venue_chase_success,0.016248291358351707
innings_2_powerplay,baseline,4,batting_won_toss,0.01944640465080738
innings_2_powerplay,augmented,1,expected_final_score,0.01825401932001114
innings_2_powerplay,augmented,1,resource_win_prob,0.09633450955152512
innings_2_powerplay,augmented,1,score_vs_par,0.03129861131310463
innings_2_powerplay,augmented,1,dls_pressure_index,0.1193733960390091
innings_2_powerplay,augmented,1,projected_vs_venue_avg,0.0
innings_2_powerplay,augmented,1,projected_score,0.0
innings_2_powerplay,augmented,1,is_powerplay,0.0
innings_2_powerplay,augmented,1,score_per_wicket,0.006166673731058836
innings_2_powerplay,augmented,1,run_rate_diff,0.019947057589888573
innings_2_powerplay,augmented,1,required_run_rate,0.10000531375408173
innings_2_powerplay,augmented,1,chase_difficulty,0.029887476935982704
