segment,variant,feature,importance
innings_2_powerplay,augmented,batting_won_toss,0.019278620602563024
innings_2_powerplay,augmented,bowling_team_win_rate,0.019241143483668566
innings_2_powerplay,augmented,inn1_wickets_lost,0.01834529172629118
innings_2_powerplay,augmented,batting_team_situation_wr,0.018044190015643835
innings_2_powerplay,augmented,cand_early_chase_wicket_shock,0.016701828222721815
innings_2_powerplay,augmented,score_per_wicket,0.013583787134848535
innings_2_powerplay,augmented,runs_last_18,0.012287016375921667
innings_2_powerplay,augmented,runs_last_12,0.00973251205869019
innings_2_powerplay,augmented,boundary_pct_last_18,0.006145932915387675
innings_2_powerplay,augmented,wickets_last_12,0.0011709635145962238
innings_2_powerplay,augmented,is_powerplay,0.0
innings_2_powerplay,augmented,overs_remaining,0.0
innings_2_powerplay,augmented,projected_score,0.0
innings_2_powerplay,augmented,projected_vs_venue_avg,0.0
innings_2_powerplay,baseline,pressure_index,0.1512576173990965
innings_2_powerplay,baseline,resource_win_prob,0.14772264286875725
innings_2_powerplay,baseline,dls_pressure_index,0.10544989444315434
innings_2_powerplay,baseline,required_run_rate,0.04192787501960993
innings_2_powerplay,baseline,rrr_times_wickets,0.03288580384105444
innings_2_powerplay,baseline,target_above_par,0.03274310799315572
innings_2_powerplay,baseline,score_vs_par,0.03213825589045882
innings_2_powerplay,baseline,chase_difficulty,0.029762635473161936
innings_2_powerplay,baseline,batting_team_win_rate,0.027919438667595387
innings_2_powerplay,baseline,inn1_defendability,0.0278094420209527
innings_2_powerplay,baseline,inn1_pp_runs,0.025926844216883183
innings_2_powerplay,baseline,expected_final_score,0.02573816804215312
innings_2_powerplay,baseline,wickets_times_balls,0.025358611717820168
innings_2_powerplay,baseline,run_rate_diff,0.02531885774806142
innings_2_powerplay,baseline,team_strength_diff,0.024817886762320995
innings_2_powerplay,baseline,situation_advantage,0.024142518639564514
innings_2_powerplay,baseline,batting_team_situation_wr,0.023855492938309908
innings_2_powerplay,baseline,inn1_death_rr,0.023653386626392603
innings_2_powerplay,baseline,bowling_team_situation_wr,0.023337181191891432
innings_2_powerplay,baseline,venue_chase_success,0.02283605746924877
innings_2_powerplay,baseline,bowling_team_win_rate,0.022647586651146412
innings_2_powerplay,baseline,inn1_wickets_lost,0.021699185483157635
innings_2_powerplay,baseline,batting_won_toss,0.021486034151166677
innings_2_powerplay,baseline,score_per_wicket,0.01636872231028974
innings_2_powerplay,baseline,runs_last_18,0.014427255373448133
innings_2_powerplay,baseline,runs_last_12,0.01304815779440105
innings_2_powerplay,baseline,boundary_pct_last_18,0.011342442128807306
innings_2_powerplay,baseline,wickets_last_12,0.002551373792812228
innings_2_powerplay,baseline,overs_remaining,0.001827526546549052
innings_2_powerplay,baseline,is_powerplay,0.0
innings_2_powerplay,baseline,projected_score,0.0
innings_2_powerplay,baseline,projected_vs_venue_avg,0.0
