segment,variant,n,brier,log_loss,ece,mean_prediction,actual_win_rate
innings_2_powerplay,baseline,4680,0.1775235526926354,0.5285468494013872,0.010461429233571698,0.5391191061481746,0.5403846153846154
innings_2_powerplay,augmented,4680,0.17821385078385546,0.5310460218568651,0.01514403951868783,0.5415752038799181,0.5403846153846154
innings_1_death,baseline,5734,0.20373354208318695,0.5922255714689769,0.026623956713290254,0.46154074364341796,0.46407394489012904
innings_1_death,augmented,5734,0.20322670241532137,0.5909364539890474,0.026122603983186773,0.4606047828705397,0.46407394489012904
