method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
baseline_ipl_v6_features,season_2026,innings_1_death,652,0.1833340514380037,0.21287999276183175,0.5515351537745417,0.0,0.0,0.0
baseline_ipl_v6_features,season_2026,innings_2,2336,0.08636764358024761,0.12093438403249432,0.29291258532068154,0.0,0.0,0.0
baseline_ipl_v6_features,season_2026,innings_2_powerplay,667,0.13254451421781813,0.1457931565108123,0.4188247049581492,0.0,0.0,0.0
baseline_ipl_v6_features,season_2026,innings_2_middle,1203,0.07035223796886506,0.14428799173558732,0.2535760822031198,0.0,0.0,0.0
baseline_ipl_v6_features,season_2026,innings_2_death,466,0.061617772840405684,0.06733822153758717,0.21423968714951402,0.0,0.0,0.0
regime_cluster_features,season_2026,overall,4874,0.1381967297224838,0.09402973201612352,0.4312513690757978,0.000521,0.005924,0.001737
regime_cluster_features,season_2026,innings_1,2538,0.18561142642714376,0.13970087209133453,0.5571680855880169,0.000711,-0.003071,0.001923
regime_cluster_features,season_2026,innings_1_powerplay,667,0.19131627551085703,0.1299034717171925,0.5684407240706889,-0.000134,0.004413,-0.000509
regime_cluster_features,season_2026,innings_1_middle,1219,0.1829227898785984,0.15086385520903867,0.5515606044373821,0.000769,-0.004272,0.001831
regime_cluster_features,season_2026,innings_1_death,652,0.1848020914790456,0.21068980919483107,0.5561200329111481,0.001468,-0.00219,0.004585
regime_cluster_features,season_2026,innings_2,2336,0.0866819607856572,0.12727539685548006,0.2944463063583271,0.000314,0.006341,0.001534
regime_cluster_features,season_2026,innings_2_powerplay,667,0.13438852322731898,0.1541676909350479,0.4246977428694233,0.001844,0.008375,0.005873
regime_cluster_features,season_2026,innings_2_middle,1203,0.0694990284037022,0.15234886011752571,0.25192686918012713,-0.000853,0.008061,-0.001649
regime_cluster_features,season_2026,innings_2_death,466,0.06275661852579341,0.06932768812755413,0.21777929943230392,0.001139,0.001989,0.00354
