method,split,bin_low,bin_high,n,mean_predicted,mean_actual,calibration_gap
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.0,0.1,1527,0.04807308621123528,0.13359528487229863,-0.08552219866106335
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.1,0.2,714,0.14849760535074544,0.211484593837535,-0.06298698848678957
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.2,0.3,636,0.24843483985375145,0.32547169811320753,-0.07703685825945608
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.3,0.4,532,0.3504791988011146,0.5394736842105263,-0.18899448540941172
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.4,0.5,549,0.45347164266354706,0.5865209471766849,-0.13304930451313784
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.5,0.6,530,0.5504156019893861,0.7320754716981132,-0.18165986970872705
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.6,0.7,491,0.6477673165462295,0.6883910386965377,-0.040623722150308184
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.7,0.8,478,0.7497128827865753,0.799163179916318,-0.04945029712974269
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.8,0.9,681,0.8523304482860216,0.8428781204111601,0.0094523278748615
baseline_ipl_v6_features,holdout_innings_2_powerplay,0.9,1.0,648,0.9562813503873208,0.9228395061728395,0.033441844214481264
regime_cluster_features,holdout_innings_2_powerplay,0.0,0.1,1492,0.04831945232816761,0.13739946380697052,-0.0890800114788029
regime_cluster_features,holdout_innings_2_powerplay,0.1,0.2,700,0.14918159672508638,0.20857142857142857,-0.059389831846342195
regime_cluster_features,holdout_innings_2_powerplay,0.2,0.3,641,0.24706169895256744,0.28081123244929795,-0.033749533496730516
regime_cluster_features,holdout_innings_2_powerplay,0.3,0.4,551,0.3506350327330986,0.5771324863883848,-0.22649745365528617
regime_cluster_features,holdout_innings_2_powerplay,0.4,0.5,534,0.45330445399792463,0.601123595505618,-0.14781914150769337
regime_cluster_features,holdout_innings_2_powerplay,0.5,0.6,564,0.5490684112152081,0.6932624113475178,-0.14419400013230965
regime_cluster_features,holdout_innings_2_powerplay,0.6,0.7,509,0.6475827948551729,0.6777996070726916,-0.030216812217518707
regime_cluster_features,holdout_innings_2_powerplay,0.7,0.8,491,0.7509924462598331,0.7922606924643585,-0.041268246204525405
regime_cluster_features,holdout_innings_2_powerplay,0.8,0.9,666,0.8499155960397393,0.8543543543543544,-0.004438758314615043
regime_cluster_features,holdout_innings_2_powerplay,0.9,1.0,638,0.9556225871050928,0.9200626959247649,0.035559891180327985
