row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,confidence_strength,wrong_direction
1473468:2:2:3,1473468,2025,2025-04-15,2,2,3,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,17.5,0.9749802839262299,3,pressure_state,stable,0.12223224642872986,0.5326319319277361,47714,regime_cluster_features,holdout,0.9585553490224279,1,0.9585553490224279,False,0.9585553490224279,false_positive
1426277:2:5:2,1426277,2024,2024-04-23,2,5,2,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,14.666666666666666,0.1559899397474396,0,pressure_state,stable,0.14286723460057574,0.12566037735849056,23850,regime_cluster_features,holdout,0.041636678256341424,0,0.9583633217436586,False,0.9583633217436586,false_negative
1426277:2:5:4,1426277,2024,2024-04-23,2,5,4,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,14.333333333333334,0.1426397986893886,0,pressure_state,stable,0.14438428544139156,0.12566037735849056,23850,regime_cluster_features,holdout,0.04193352552480738,0,0.9580664744751927,False,0.9580664744751927,false_negative
1473441:2:3:1,1473441,2025,2025-03-24,2,3,1,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,16.833333333333332,0.20035866284870615,0,pressure_state,stable,0.12047220603029925,0.12566037735849056,23850,regime_cluster_features,holdout,0.04240108714323303,0,0.957598912856767,False,0.957598912856767,false_negative
1426280:2:1:3,1426280,2024,2024-04-26,2,1,3,powerplay,Punjab Kings,Kolkata Knight Riders,Punjab Kings,1,18.5,0.06226480575887678,3,pressure_state,stable,0.11519899993284606,0.5326319319277361,47714,regime_cluster_features,holdout,0.042531030917545704,0,0.9574689690824543,False,0.9574689690824543,false_negative
1426277:2:5:3,1426277,2024,2024-04-23,2,5,3,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,14.5,0.14924096107379806,0,pressure_state,stable,0.14187844843160025,0.12566037735849056,23850,regime_cluster_features,holdout,0.04259368113586672,0,0.9574063188641333,False,0.9574063188641333,false_negative
1473441:2:3:2,1473441,2025,2025-03-24,2,3,2,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,16.666666666666668,0.19315258257680992,0,pressure_state,stable,0.11926109677514225,0.12566037735849056,23850,regime_cluster_features,holdout,0.04264885523061539,0,0.9573511447693847,False,0.9573511447693847,false_negative
1473441:2:5:3,1473441,2025,2025-03-24,2,5,3,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,14.5,0.20670846499526496,0,pressure_state,stable,0.13526261391344488,0.12566037735849056,23850,regime_cluster_features,holdout,0.04280207020469723,0,0.9571979297953028,False,0.9571979297953028,false_negative
1473468:2:4:1,1473468,2025,2025-04-15,2,4,1,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,15.833333333333334,0.9869320721005805,3,pressure_state,stable,0.13482098273031803,0.5326319319277361,47714,regime_cluster_features,holdout,0.9571163602525794,1,0.9571163602525794,False,0.9571163602525794,false_positive
1359504:2:4:5,1359504,2023,2023-04-22,2,4,5,powerplay,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,0,15.166666666666666,0.9650552542721293,3,pressure_state,stable,0.1483395248468965,0.5326319319277361,47714,regime_cluster_features,holdout,0.9569836425108266,1,0.9569836425108266,False,0.9569836425108266,false_positive
1473468:2:3:6,1473468,2025,2025-04-15,2,3,6,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.0,0.985114048681383,3,pressure_state,stable,0.13194476295483362,0.5326319319277361,47714,regime_cluster_features,holdout,0.9568343019316249,1,0.9568343019316249,False,0.9568343019316249,false_positive
1473468:2:4:2,1473468,2025,2025-04-15,2,4,2,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,15.666666666666666,0.9887549437911285,3,pressure_state,stable,0.1360137242423516,0.5326319319277361,47714,regime_cluster_features,holdout,0.9566886603299807,1,0.9566886603299807,False,0.9566886603299807,false_positive
1359504:2:4:6,1359504,2023,2023-04-22,2,4,6,powerplay,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,0,15.0,0.9665895233568227,3,pressure_state,stable,0.15588577001376713,0.5326319319277361,47714,regime_cluster_features,holdout,0.956481738198286,1,0.956481738198286,False,0.956481738198286,false_positive
