variant,feature,importance
ml_add_mc_gap_features_inn2_only,pressure_index,0.02220151317305863
ml_add_mc_gap_features_inn2_only,projected_score,0.022029951214790344
ml_add_mc_gap_features_inn2_only,projected_vs_venue_avg,0.019927900284528732
ml_add_mc_gap_features_inn2_only,inn1_wickets_lost,0.019557916093617678
ml_add_mc_gap_features_inn2_only,chase_difficulty,0.018787482287734747
ml_add_mc_gap_features_inn2_only,score_per_wicket,0.018572953529655933
ml_add_mc_gap_features_inn2_only,dls_pressure_index,0.016770350513979793
ml_add_mc_gap_features_inn2_only,mc_resource_abs_gap,0.016615438304143026
ml_add_mc_gap_features_inn2_only,rrr_times_wickets,0.01632465235888958
ml_add_mc_gap_features_inn2_only,wickets_times_balls,0.014597465051338077
ml_add_mc_gap_features_inn2_only,overs_remaining,0.008802825352177024
ml_add_mc_gap_features_inn2_only,mc_resource_gap,0.007446318864822388
ml_add_mc_gap_features_inn2_only,runs_last_18,0.006772993830963969
ml_add_mc_gap_features_inn2_only,boundary_pct_last_18,0.006708602420985699
ml_add_mc_gap_features_inn2_only,is_powerplay,0.0055838377884356305
ml_add_mc_gap_features_inn2_only,runs_last_12,0.005151371704414487
ml_add_mc_gap_features_inn2_only,wickets_last_12,0.0018431329517625272
ml_add_mc_win_prob,mc_win_prob,0.12279507424682379
ml_add_mc_win_prob,run_rate_diff,0.11860725469887257
ml_add_mc_win_prob,situation_advantage,0.05678366404026747
ml_add_mc_win_prob,team_strength_diff,0.04822653252631426
ml_add_mc_win_prob,bowling_team_situation_wr,0.04189877770841122
ml_add_mc_win_prob,expected_final_score,0.04189022909849882
ml_add_mc_win_prob,inn1_defendability,0.04165570251643658
ml_add_mc_win_prob,required_run_rate,0.040793671272695065
ml_add_mc_win_prob,target_above_par,0.03922504838556051
ml_add_mc_win_prob,batting_team_situation_wr,0.03833157196640968
ml_add_mc_win_prob,resource_win_prob,0.0382737647742033
ml_add_mc_win_prob,bowling_team_win_rate,0.037316111382097006
ml_add_mc_win_prob,score_vs_par,0.03685181448236108
ml_add_mc_win_prob,inn1_death_rr,0.03568276483565569
ml_add_mc_win_prob,batting_team_win_rate,0.031431826297193766
ml_add_mc_win_prob,projected_score,0.0293886992149055
ml_add_mc_win_prob,inn1_wickets_lost,0.024792651878669858
ml_add_mc_win_prob,score_per_wicket,0.0232235174626112
ml_add_mc_win_prob,pressure_index,0.021771993953734636
ml_add_mc_win_prob,projected_vs_venue_avg,0.020699908956885338
ml_add_mc_win_prob,wickets_times_balls,0.017974985064938664
ml_add_mc_win_prob,rrr_times_wickets,0.015736975037725642
ml_add_mc_win_prob,dls_pressure_index,0.015337994787842035
