method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
ml_add_mc_win_prob_inn2_only,oof_overall,innings_1_powerplay,320,0.27491209897286806,0.17164079166525598,0.7741225342938307,0.00785,0.003999,0.020291
ml_add_mc_win_prob_inn2_only,oof_overall,innings_1_middle,576,0.26412177287078015,0.1672050760768774,0.7434105659408393,6e-06,0.002187,0.002137
ml_add_mc_win_prob_inn2_only,oof_overall,innings_1_death,312,0.2649117800710852,0.17081905593974245,0.7542518129526048,-0.001175,-0.009487,0.004366
ml_add_mc_win_prob_inn2_only,oof_overall,innings_2,1108,0.18365769817475192,0.06792979765933951,0.5521250751526495,-0.013089,-0.024335,-0.035107
ml_add_mc_win_prob_inn2_only,oof_overall,innings_2_powerplay,320,0.22597786140565135,0.12019125185775617,0.6652567961127239,-0.015214,-0.051127,-0.042543
ml_add_mc_win_prob_inn2_only,oof_overall,innings_2_middle,542,0.1749944111359635,0.06546878279419148,0.5274272599591706,-0.011986,-0.020725,-0.032139
ml_add_mc_win_prob_inn2_only,oof_overall,innings_2_death,246,0.14769448411432703,0.08847751641906657,0.459377372419486,-0.012754,-0.019089,-0.031973
ml_add_mc_gap_features,oof_overall,overall,2316,0.22987432925401585,0.12143214081778796,0.664611768704368,-0.002684,-0.006312,-0.005862
ml_add_mc_gap_features,oof_overall,innings_1,1208,0.263386077183274,0.17314453677122857,0.7424901252199856,-0.002019,0.003617,-0.004334
ml_add_mc_gap_features,oof_overall,innings_1_powerplay,320,0.27048450695357984,0.16560268183291155,0.7635970530054316,0.003423,-0.002039,0.009765
ml_add_mc_gap_features,oof_overall,innings_1_middle,576,0.26141469980742243,0.18450910688664987,0.734484481226047,-0.002701,0.019491,-0.006789
ml_add_mc_gap_features,oof_overall,innings_1_death,312,0.25974510231786574,0.17287694500932352,0.7356216446083377,-0.006341,-0.007429,-0.014264
ml_add_mc_gap_features,oof_overall,innings_2,1108,0.19333805533836257,0.07613436067167333,0.57970467965124,-0.003409,-0.016131,-0.007527
ml_add_mc_gap_features,oof_overall,innings_2_powerplay,320,0.23563651301692454,0.1653024282600938,0.6942796899016079,-0.005555,-0.006016,-0.013521
ml_add_mc_gap_features,oof_overall,innings_2_middle,542,0.18528599162730738,0.07360670336543777,0.5555742081135127,-0.001695,-0.012587,-0.003992
ml_add_mc_gap_features,oof_overall,innings_2_death,246,0.1560563971036149,0.0690992112924954,0.48382952637209525,-0.004392,-0.038468,-0.007521
ml_add_mc_gap_features_inn2_only,oof_overall,overall,2316,0.23001742298400793,0.12150019884601292,0.6655312047982306,-0.002541,-0.006243,-0.004943
ml_add_mc_gap_features_inn2_only,oof_overall,innings_1,1208,0.2623565194369027,0.16671057801133904,0.7401473079410388,-0.003049,-0.002817,-0.006677
ml_add_mc_gap_features_inn2_only,oof_overall,innings_1_powerplay,320,0.2669208607663668,0.16545601565623821,0.7551174909992692,-0.000141,-0.002186,0.001286
ml_add_mc_gap_features_inn2_only,oof_overall,innings_1_middle,576,0.2607135709287054,0.1674942326063315,0.7329127323227016,-0.003402,0.002477,-0.008361
ml_add_mc_gap_features_inn2_only,oof_overall,innings_1_death,312,0.2607082794218166,0.17547931930644312,0.7381494136382454,-0.005378,-0.004826,-0.011736
ml_add_mc_gap_features_inn2_only,oof_overall,innings_2,1108,0.19475963551550882,0.08317678696430209,0.5841807963176238,-0.001987,-0.009088,-0.003051
ml_add_mc_gap_features_inn2_only,oof_overall,innings_2_powerplay,320,0.23824369168030887,0.17253866839216406,0.7015352341588171,-0.002948,0.00122,-0.006265
ml_add_mc_gap_features_inn2_only,oof_overall,innings_2_middle,542,0.18687153519141422,0.08815015664364109,0.5605310041070133,-0.000109,0.001956,0.000965
ml_add_mc_gap_features_inn2_only,oof_overall,innings_2_death,246,0.15557448268186358,0.063649129652133,0.48363106976871717,-0.004874,-0.043918,-0.00772
ml_replace_resource_with_mc,oof_overall,overall,2316,0.22819892050858062,0.10595390289093866,0.6588069999317568,-0.004359,-0.02179,-0.011667
ml_replace_resource_with_mc,oof_overall,innings_1,1208,0.26804394856080654,0.1660769273735317,0.7554457088976265,0.002639,-0.003451,0.008621
ml_replace_resource_with_mc,oof_overall,innings_1_powerplay,320,0.27966496671372304,0.1890545659724752,0.7843183138664618,0.012603,0.021413,0.030487
ml_replace_resource_with_mc,oof_overall,innings_1_middle,576,0.26484850990577935,0.16679240258028888,0.7450079950379711,0.000733,0.001775,0.003735
ml_replace_resource_with_mc,oof_overall,innings_1_death,312,0.26202422694658356,0.16830362165537183,0.7451024063115185,-0.004062,-0.012002,-0.004783
ml_replace_resource_with_mc,oof_overall,innings_2,1108,0.1847577707909913,0.07544497587003404,0.5534463858245634,-0.011989,-0.01682,-0.033786
ml_replace_resource_with_mc,oof_overall,innings_2_powerplay,320,0.22541545304984972,0.1223655243970944,0.6629297011968749,-0.015776,-0.048953,-0.044871
ml_replace_resource_with_mc,oof_overall,innings_2_middle,542,0.17740263810514323,0.06542901365537135,0.5318054671587598,-0.009578,-0.020765,-0.027761
ml_replace_resource_with_mc,oof_overall,innings_2_death,246,0.14807493986780002,0.06262986779235305,0.4587094630510913,-0.012374,-0.044937,-0.032641
ml_replace_resource_with_mc_inn2_only,oof_overall,overall,2316,0.22812933152141907,0.10751081039745884,0.6598331731753709,-0.004429,-0.020233,-0.010641
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_1,1208,0.2682865630376115,0.1710772361934492,0.7565415796674907,0.002881,0.00155,0.009717
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_1_powerplay,320,0.27731307854406556,0.18333077484245464,0.7790757665076264,0.010251,0.015689,0.025244
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_1_middle,576,0.26453667188769936,0.17183103144511766,0.7441381400270777,0.000421,0.006813,0.002865
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_1_death,312,0.2659514743846758,0.16904055285095393,0.756328250962473,-0.000135,-0.011265,0.006443
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_2,1108,0.18434780113192417,0.06586982507118706,0.5543965711514716,-0.012399,-0.026395,-0.032836
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_2_powerplay,320,0.22662169156315387,0.12345922886235368,0.6664704793495233,-0.01457,-0.047859,-0.04133
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_2_middle,542,0.17734728192040358,0.06786755532221157,0.534165300451371,-0.009633,-0.018326,-0.025401
ml_replace_resource_with_mc_inn2_only,oof_overall,innings_2_death,246,0.14478128273619492,0.0584698359285123,0.4531839617859346,-0.015667,-0.049097,-0.038167
ml_clean_swap_resource,oof_overall,overall,2316,0.22928255552053783,0.12587830379408982,0.6619137768733646,-0.003276,-0.001865,-0.00856
ml_clean_swap_resource,oof_overall,innings_1,1208,0.2630828502839372,0.1793833102125036,0.7416241065940692,-0.002322,0.009856,-0.0052
ml_clean_swap_resource,oof_overall,innings_1_powerplay,320,0.266629379621095,0.16419907558521327,0.7541271166977318,-0.000432,-0.003443,0.000295
ml_clean_swap_resource,oof_overall,innings_1_middle,576,0.26199451980959754,0.1941790749333329,0.7362412160813656,-0.002121,0.029161,-0.005032
ml_clean_swap_resource,oof_overall,innings_1_death,312,0.2614546097881973,0.1739506164733165,0.7387381505112016,-0.004632,-0.006355,-0.011147
