feature,effect,bootstrap_mean,bootstrap_se,ci_low,ci_high,sign_stability,feature_mean,feature_std,segment,global_tau,keep_weight,shrunk_effect,shrunk_z,survives_shrinkage,loo_n,loo_market_brier,loo_signal_brier,loo_brier_delta,loo_market_logloss,loo_signal_logloss,loo_logloss_delta
model_edge_raw,3.056930510071597,3.210650301802219,1.1822190432945678,2.227776549511883,4.903514873593741,1.0,0.01238682106540375,0.20365205386590954,innings_2_death,0.2418773029557175,0.2811805512481224,0.8595494059491356,0.7270644163226542,False,42,0.1383199356024207,0.14509860332061844,0.0067786677181977395,1.0758387934380131,0.8888653261494914,-0.1869734672885217
venue_chase_success,9.459441246427238,6.7572831106153926,3.73450924060149,1.193164612017389,10.556684585496356,0.9899328859060402,0.5725117363822836,0.06680285709028366,innings_2_death,0.2418773029557175,0.2729204385414596,2.581674853332093,0.6913023050930405,False,42,0.1383199356024207,0.09094914506254408,-0.047370790539876625,1.0758387934380131,0.6778909896694354,-0.39794780376857775
target_above_par,9.562097786799201,6.710410087602763,3.8493610072489925,0.4217678658880507,10.56142847122925,0.9832214765100671,29.648221036305184,25.7445717165669,innings_2_death,0.2418773029557175,0.26525157539665106,2.5363615020453185,0.6589045534258489,False,42,0.1383199356024207,0.08930582317845569,-0.049014112423965014,1.0758387934380131,0.7481415550129215,-0.3276972384250917
dls_pressure_index,3.9811881244984075,4.113375939622544,1.710108884109966,2.9558949494996165,9.207532017631149,1.0,0.6720048499472254,0.4416573561228327,innings_2_death,0.2418773029557175,0.2407443635066676,0.9584486010326729,0.560460567355567,False,42,0.1383199356024207,0.11604790376118276,-0.022272031841237938,1.0758387934380131,0.9483360213386215,-0.12750277209939165
resource_edge,5.949878179587816,5.395272376580906,2.6342117148946604,2.891810695102506,10.703509520980894,1.0,0.0751597472231546,0.22335372871118916,innings_2_death,0.2418773029557175,0.2298646076339362,1.367666413220672,0.5191938067451141,False,42,0.1383199356024207,0.1347969627212533,-0.003522972881167402,1.0758387934380131,0.871650694436328,-0.2041880990016851
chase_difficulty,1.1555383481113841,1.3645401782926876,0.5292802912144956,0.8461462579418503,2.2968307370079812,1.0,4.769723248986502,5.7581192341399845,innings_2_death,0.2418773029557175,0.21805407983310557,0.25196985120929466,0.4760612677840462,False,42,0.1383199356024207,0.14897727681155948,0.010657341209138776,1.0758387934380131,1.0745031722114031,-0.0013356212266100176
score_vs_par,-3.148459523780483,-3.508022019637915,1.4698940330891508,-6.824532871568204,-2.258697350309776,1.0,-26.6996626984127,27.01502858986018,innings_2_death,0.2418773029557175,0.2116174231580936,-0.6662688913399842,0.45327681574907525,False,42,0.1383199356024207,0.15839310851586028,0.020073172913439574,1.0758387934380131,0.9833905561335877,-0.09244823730442542
model_edge_iso,5.108484305504909,6.062623404195984,3.810544400572888,2.5777386001352567,13.786868495126198,1.0,-0.0009256840608802856,0.21849059596931134,innings_2_death,0.2418773029557175,0.09514367711987978,0.48603998133493237,0.1275513231091984,False,42,0.1383199356024207,0.13311703146459727,-0.0052029041378234275,1.0758387934380131,0.7428112377076598,-0.33302755573035336
model_edge_full,3.7968851703181765,4.879504628472431,3.33668551118841,2.5670221009750795,12.583740691711387,1.0,-0.0036618337812651855,0.21744083058257693,innings_2_death,0.2418773029557175,0.07042080753224424,0.26737971980100866,0.08013332934827416,False,42,0.1383199356024207,0.14457472906593508,0.006254793463514374,1.0758387934380131,0.7831294974868741,-0.29270929595113904
inn1_defendability,3.9778930301658573,5.296535037363759,4.097894757428212,0.316461447356538,11.836335437207017,0.98,0.713214013586414,0.13138780265530162,innings_2_death,0.2418773029557175,0.052247985271625885,0.20783689645220899,0.05071796818800324,False,42,0.1383199356024207,0.24961372984259236,0.11129379424017166,1.0758387934380131,1.4680580543227884,0.3922192608847752
rrr_times_wickets,1.7547815571530625,2.1387299364459547,1.8787287016790188,1.1281255272677673,4.674379295470034,1.0,122.11479450805354,135.60734697977057,innings_2_death,0.2418773029557175,0.04856116386330688,0.08521423474121868,0.04535739205532382,False,42,0.1383199356024207,0.15527107575037513,0.01695114014795443,1.0758387934380131,1.069073598850126,-0.006765194587887047
wickets_remaining,-1.4199530869471644,-2.34960465204045,1.707948357383888,-6.913844693617335,-0.5972812679638713,0.9832775919732442,3.9523809523809526,2.0113059125659882,innings_2_death,0.2418773029557175,0.03886624483815654,-0.05518824433598467,0.032312595269210646,False,42,0.1383199356024207,0.1612869239083578,0.022966988305937103,1.0758387934380131,1.1494924680211915,0.0736536745831784
wickets_lost,1.4199530869471644,2.2450811546338625,1.7505857020386733,0.45870709015766004,6.960277862441899,0.9833333333333333,6.0476190476190474,2.0113059125659882,innings_2_death,0.2418773029557175,0.03706536456567522,0.05263107883385257,0.030064839711595834,False,42,0.1383199356024207,0.1612869239083578,0.022966988305937103,1.0758387934380131,1.1494924680211915,0.0736536745831784
required_run_rate,1.4899510495592672,2.033656025441841,2.33007638785278,0.918989843437496,4.240653280323464,1.0,17.269446118368297,16.215583089090316,innings_2_death,0.2418773029557175,0.02336292007236076,0.034809607282583185,0.014939255774901223,False,42,0.1383199356024207,0.15561014148686145,0.017290205884440746,1.0758387934380131,1.073864973332638,-0.001973820105375168
batting_team_win_rate,0.6623034966964678,0.18006620331821224,1.9078571146691263,-2.68460138207941,2.579630883763704,0.5366666666666666,0.4547619047619048,0.14007205790554977,innings_2_death,0.2418773029557175,0.007001021894179054,0.004636801280963316,0.0024303713422814417,False,42,0.1383199356024207,0.1691952266094246,0.030875291007003897,1.0758387934380131,1.1948612289605436,0.11902243552253045
bowling_team_win_rate,0.8239375129169196,0.6700254268634424,2.6245814421488842,-1.5194611973935592,4.188740485301014,0.6766666666666666,0.48571428571428565,0.23357616130344236,innings_2_death,0.2418773029557175,0.005732734355638819,0.004723414887198429,0.0017996831012164313,False,42,0.1383199356024207,0.19436911977015153,0.05604918416773083,1.0758387934380131,1.2300904039891263,0.15425161055111314
team_strength_diff,-0.5192505118089084,-0.25866320207699356,2.231636573789066,-2.1861107380522458,3.0160481164274016,0.6466666666666666,-0.03095238095238098,0.2511763706262946,innings_2_death,0.2418773029557175,0.0031573575412253553,-0.001639459519244982,0.0007346444896782279,False,42,0.1383199356024207,0.174700004433246,0.036380068830825285,1.0758387934380131,1.1546209452499947,0.07878215181198156
current_run_rate,0.46362302474870765,-0.025533313784748646,2.2494090828212054,-2.4242291010772377,4.8093716114509535,0.5133333333333333,9.739858360148114,1.3966134822978349,innings_2_death,0.2418773029557175,0.002479164302569238,0.0011493976528061704,0.000510977596949516,False,42,0.1383199356024207,0.1694766547471023,0.0311567191446816,1.0758387934380131,1.255361763130286,0.17952296969227288
score_vs_par,-2.652900966985457,-4.3584740003026425,2.6275484287039803,-8.172164043824777,-0.9582595182033901,0.9833333333333333,-33.50764423076923,31.25252505598597,innings_2_middle,0.07622741191228666,0.005888410798232565,-0.015621370700638779,0.0059452265353265605,False,104,0.08609072263660122,0.09910520899731849,0.013014486360717267,0.5691142443889867,0.6299320305103904,0.06081778612140365
inn1_defendability,3.571260563852701,4.463242556800958,4.34975746778814,-3.394975413783329,11.417303804121062,0.8933333333333333,0.7112237517546485,0.13276749398247809,innings_2_middle,0.07622741191228666,0.003901553813860525,0.013933465273189194,0.0032032740547811847,False,104,0.08609072263660122,0.09194634993318676,0.005855627296585536,0.5691142443889867,0.6686595523959694,0.09954530800698269
resource_edge,1.4979988162656643,2.6765963444945298,2.074649563632844,0.46872082334592213,5.594237867948922,0.9866666666666667,0.060960063246849355,0.22247270641115444,innings_2_middle,0.07622741191228666,0.003020244674801765,0.00452432294768572,0.0021807648892546907,False,104,0.08609072263660122,0.10371137151405918,0.017620648877457956,0.5691142443889867,0.7064408532882445,0.13732660889925774
model_edge_iso,1.022723688632843,2.08129325802429,1.6928707940690217,0.23776899304375326,4.865501977804399,0.9833333333333333,-0.0031370640804595892,0.18810013982780296,innings_2_middle,0.07622741191228666,0.002116271052105091,0.002164360536555826,0.0012785148939620915,False,104,0.08609072263660122,0.10113158218481742,0.015040859548216198,0.5691142443889867,0.6733387679946587,0.10422452360567203
model_edge_full,0.9469643994947804,2.0147189313087432,1.6086826637979694,0.19357794126848205,4.613336160790794,0.9733333333333334,-0.0037762078582703517,0.19685346552360802,innings_2_middle,0.07622741191228666,0.002009441273256324,0.001902869348649202,0.001182874273244133,False,104,0.08609072263660122,0.10504033522008548,0.01894961258348425,0.5691142443889867,0.725444131215082,0.15632988682609528
venue_chase_success,2.417967791079324,4.115955544032013,4.261729010963606,-1.3584436762584773,10.649838788823367,0.92,0.5707010604093873,0.0687126588523802,innings_2_middle,0.07622741191228666,0.0018669819997561448,0.0045143023419352245,0.0010592654576884642,False,104,0.08609072263660122,0.07988214503122784,-0.006208577605373383,0.5691142443889867,0.6138308856059029,0.04471664121691621
dls_pressure_index,1.3404239869732435,2.8660713345396776,2.6581404563240745,0.10855368906328083,8.994241117158536,0.96,0.5571316336601071,0.413472023930452,innings_2_middle,0.07622741191228666,0.0014753995492231085,0.0019776609461481655,0.0007440016700408087,False,104,0.08609072263660122,0.0863972386702604,0.00030651603365917934,0.5691142443889867,0.6088220828153326,0.03970783842634584
model_edge_raw,0.9568048539054544,1.9646505352126762,1.97720992357757,0.1424751344945963,4.166771264948862,0.96,-0.0057466541315399616,0.18235242676400332,innings_2_middle,0.07622741191228666,0.0013588545642021367,0.0013001586427801852,0.0006575723805047216,False,104,0.08609072263660122,0.0998777500812234,0.01378702744462218,0.5691142443889867,0.636035635932225,0.06692139154323828
target_above_par,1.4661519142821064,2.5274173857221625,3.379720627435396,-1.1466882817991577,9.427996575876135,0.9166666666666666,26.164580276965943,25.92542505934133,innings_2_middle,0.07622741191228666,0.0010923053085700415,0.0016014855191404734,0.0004738514483716958,False,104,0.08609072263660122,0.10578866635957507,0.019697943722973843,0.5691142443889867,0.7031503364310676,0.1340360920420809
team_strength_diff,-0.5660684593651414,-0.8884128337114965,2.453416969133894,-5.179616438868519,1.9702265317429621,0.6766666666666666,0.0009615384615384406,0.2618334733212683,innings_2_middle,0.07622741191228666,0.00030923113377249523,-0.00017504599148233233,7.134783568023041e-05,False,104,0.08609072263660122,0.13079750521599467,0.04470678257939345,0.5691142443889867,0.7074376539987118,0.1383234096097251
bowling_team_win_rate,0.7194359815984108,1.046247645492317,3.4786693996884144,-2.025571265106491,3.9150751183641748,0.66,0.48653846153846153,0.22277001434201335,innings_2_middle,0.07622741191228666,0.00024846911915307946,0.0001787576246347882,5.138678143342158e-05,False,104,0.08609072263660122,0.13886363862229098,0.052772915985689756,0.5691142443889867,0.6732305438567299,0.10411629946774315
batting_team_win_rate,0.7337598422444751,-0.537117392691939,3.7204861940444256,-7.179633454713391,3.753557450259668,0.6187290969899666,0.48749999999999993,0.14523687548277814,innings_2_middle,0.07622741191228666,0.00022596058344428584,0.00016580080206154873,4.456428352867209e-05,False,104,0.08609072263660122,0.13445986107697994,0.04836913844037871,0.5691142443889867,1.0218622489580063,0.45274800456901954
required_run_rate,0.6629704850072702,4.009407224057978,4.478848673796752,-0.4772369280852846,11.583971164598067,0.89,10.72885363593723,3.500310839522452,innings_2_middle,0.07622741191228666,0.00012729831916606622,8.43950283981372e-05,1.884301845325905e-05,False,104,0.08609072263660122,0.13105758870850437,0.044966866071903144,0.5691142443889867,1.2170077708887872,0.6478935264998005
rrr_times_wickets,0.23338215970252868,1.5334992854100506,2.388461205574223,-1.0836878252790065,6.218812169584941,0.8,40.155098510747166,27.656302453178323,innings_2_middle,0.07622741191228666,5.547498306381745e-05,1.2946871356894917e-05,5.420590994935746e-06,False,104,0.08609072263660122,0.08923336283663047,0.0031426402000292453,0.5691142443889867,0.6799284334565527,0.11081418906756602
current_run_rate,0.16035080616523023,-1.6374565910195629,3.1748039519605173,-7.738605660714423,1.5031680781350365,0.5033333333333333,10.095552042841465,1.9154143796566883,innings_2_middle,0.07622741191228666,1.4822599703453919e-05,2.3768158119133384e-06,7.486496301477455e-07,False,104,0.08609072263660122,0.09968586629098432,0.013595143654383093,0.5691142443889867,0.7884571533497667,0.21934290896078001
wickets_lost,-0.09307295484135304,0.8347725752596468,1.9785154823215918,-1.435513245014396,4.546266244967487,0.6266666666666667,3.5384615384615383,1.7916637998234024,innings_2_middle,0.07622741191228666,1.2858338619042345e-05,-1.196763569624954e-06,6.048795545293763e-07,False,104,0.08609072263660122,0.10216813154909252,0.016077408912491292,0.5691142443889867,0.7343975325678478,0.16528328817886107
wickets_remaining,0.09307295484135304,-0.9658021774661328,2.1004138541523143,-4.503397771804654,1.5381434813460706,0.6153846153846154,6.461538461538462,1.7916637998234024,innings_2_middle,0.07622741191228666,1.1409185620801755e-05,1.0618866180614962e-06,5.055606593465582e-07,False,104,0.08609072263660122,0.10216813154909252,0.016077408912491292,0.5691142443889867,0.7343975325678478,0.16528328817886107
chase_difficulty,0.06530890234467009,2.126896530035335,3.3058599914300193,-0.7109477952192813,8.515674947151235,0.6488294314381271,1.7575602982281344,0.8271871576720232,innings_2_middle,0.07622741191228666,2.267760665258659e-06,1.4810495982846183e-07,4.48007355920686e-08,False,104,0.08609072263660122,0.08822682695524503,0.0021361043186438056,0.5691142443889867,0.7013907662366,0.1322765218476133
dls_pressure_index,2.474520592036737,3.8425267750171868,2.423544755914083,1.128263102451948,8.88685961869268,1.0,0.5033627806923187,0.39459580587370935,innings_2_overs_4_12,0.08068623846864796,0.006741264761444718,0.016681398468566578,0.0068830577025776095,False,107,0.062192100018061094,0.04375828105024289,-0.018433818967818205,0.2243045212466351,0.17747114886259133,-0.04683337238404378
resource_edge,2.128423274418889,3.045143968380104,2.1371655944312704,0.432048777199501,7.01884917402283,0.9633333333333334,0.03893247573144331,0.26309268946499387,innings_2_overs_4_12,0.08068623846864796,0.006415689107644822,0.013655302018146994,0.0063894449685291755,False,107,0.062192100018061094,0.05219338722275863,-0.009998712795302463,0.2243045212466351,0.21099721827317638,-0.013307302973458723
venue_chase_success,2.6127116290591776,4.113515251679919,3.677532539858307,0.4499571228663547,10.155406492424738,0.95,0.5687187876876286,0.06874061635749584,innings_2_overs_4_12,0.08068623846864796,0.0032752472337263874,0.008557276535600835,0.0023269070822855235,False,107,0.062192100018061094,0.06369695414996722,0.0015048541319061248,0.2243045212466351,0.27985814956856314,0.055553628321928034
model_edge_iso,1.263758402638422,2.020765565440088,1.9239356481793195,0.0461107069510401,6.406424110989943,0.9533333333333334,-0.010824952506962394,0.20827788022449142,innings_2_overs_4_12,0.08068623846864796,0.002801094473424437,0.0035399066773741782,0.0018399298658064807,False,107,0.062192100018061094,0.05539659999662249,-0.006795500021438604,0.2243045212466351,0.222776916806121,-0.0015276044405141131
model_edge_raw,1.241238084147386,2.012860146627817,1.9630181272573384,-0.06445273460851471,5.974159118461448,0.94,-0.02024890815855232,0.20222174017862868,innings_2_overs_4_12,0.08068623846864796,0.002596160480621032,0.0032224532611052066,0.0016415809920164609,False,107,0.062192100018061094,0.054856249899292414,-0.00733585011876868,0.2243045212466351,0.2240937843571231,-0.00021073688951200875
inn1_defendability,2.76542778252385,4.711598188259547,4.6243257961299795,-0.6104694491840952,12.43948762579809,0.9366666666666666,0.7156543770060624,0.13346725670602858,innings_2_overs_4_12,0.08068623846864796,0.002322826482149567,0.006423608887718552,0.0013890908982242241,False,107,0.062192100018061094,0.10141445677584561,0.039222356757784516,0.2243045212466351,0.36727650191737615,0.14297198067074104
target_above_par,1.743702378843942,3.1612041711261636,3.174869365758443,-0.03623324004088105,9.637935780496335,0.9466666666666667,24.963704194434182,26.5193491682489,innings_2_overs_4_12,0.08068623846864796,0.0019599270856323642,0.003417529521577828,0.0010764315368916293,False,107,0.062192100018061094,0.08288100871657092,0.020688908698509825,0.2243045212466351,0.2918535494288505,0.06754902818221539
model_edge_full,1.1940384490701306,2.299353311171372,2.328396132262674,0.20853854127151175,8.228942694015569,0.9766666666666667,-0.026404037596397128,0.22608738887396204,innings_2_overs_4_12,0.08068623846864796,0.0017091450157225515,0.002040784863809299,0.0008764766556545307,False,107,0.062192100018061094,0.055921553076668136,-0.0062705469413929585,0.2243045212466351,0.2262499918938121,0.0019454706471769834
wickets_remaining,0.4897366541087764,0.31305436896575883,1.3059546300602403,-1.6154946198647242,1.6685471714242721,0.7666666666666667,7.271028037383178,1.9021389507601572,innings_2_overs_4_12,0.08068623846864796,0.0009146828777253131,0.0004479537321077819,0.00034300864545120725,False,107,0.062192100018061094,0.06763879989176484,0.0054466998737037475,0.2243045212466351,0.2396441697454117,0.015339648498776587
wickets_lost,-0.4897366541087764,-0.11540423985205131,1.4912649548500836,-1.5699063286241106,2.9686195496081593,0.7366666666666667,2.7289719626168223,1.9021389507601572,innings_2_overs_4_12,0.08068623846864796,0.0007016325148041673,-0.00034361516021411945,0.00023041858309107597,False,107,0.062192100018061094,0.06763879989176484,0.0054466998737037475,0.2243045212466351,0.2396441697454117,0.015339648498776587
required_run_rate,0.8986703369396204,3.2538509182491606,3.8023299481878023,-0.26516212654414856,10.887496394690933,0.9033333333333333,10.225742978527856,2.6215885365066547,innings_2_overs_4_12,0.08068623846864796,0.0003635316615882152,0.0003266951208077014,8.591971880404744e-05,False,107,0.062192100018061094,0.10493933037456389,0.0427472303565028,0.2243045212466351,0.6592068891295774,0.43490236788294223
score_vs_par,-0.45866138346241164,-0.7501612170312802,2.065147695426817,-3.8397913296523085,2.1201688914467427,0.7133333333333334,-30.285552959501555,32.81209835415436,innings_2_overs_4_12,0.08068623846864796,0.00032102703775280933,-0.0001472427052645434,7.129887362420491e-05,False,107,0.062192100018061094,0.06338231911747355,0.0011902190994124567,0.2243045212466351,0.23664767728019162,0.012343156033556513
team_strength_diff,-0.6890501496921675,-0.8981120304186259,3.256428805785396,-6.153555853537203,2.705668647708454,0.6387959866220736,0.0065420560747663364,0.2602195435552622,innings_2_overs_4_12,0.08068623846864796,0.00029140087483558053,-0.00020078981642588533,6.165951346842452e-05,False,107,0.062192100018061094,0.09331332308281041,0.03112122306474932,0.2243045212466351,0.32684035777169723,0.10253583652506212
rrr_times_wickets,-0.33135144189356663,-0.01640918342046663,1.6573294688630864,-1.6356164045107373,1.9563891320423539,0.6866666666666666,28.447424068424446,22.37732425048954,innings_2_overs_4_12,0.08068623846864796,0.0002601632540063486,-8.620546934272584e-05,5.201468413019603e-05,False,107,0.062192100018061094,0.06609340579351802,0.0039013057754569286,0.2243045212466351,0.23774138107790796,0.013436859831272852
bowling_team_win_rate,0.5448709497321949,-0.24615298662040866,3.48325877194372,-7.1391205816144625,3.6406923096785833,0.6333333333333333,0.48411214953271026,0.22008899334718168,innings_2_overs_4_12,0.08068623846864796,0.000159274256885311,8.678391561698898e-05,2.49145759904069e-05,False,107,0.062192100018061094,0.1375309382148369,0.0753388381967758,0.2243045212466351,0.5951965716013086,0.37089205035467343
current_run_rate,0.3238074052017812,0.5340589860246818,2.7196171267287292,-3.8695034831095323,3.7218872339352007,0.6187290969899666,10.302470441646175,2.369259586552184,innings_2_overs_4_12,0.08068623846864796,9.228197366303017e-05,2.988158643872491e-05,1.0987423941102147e-05,False,107,0.062192100018061094,0.07306634353915742,0.010874243521096325,0.2243045212466351,0.2646840660445956,0.04037954479796049
chase_difficulty,-0.20388203678141492,0.5169272335770937,1.8638749554351453,-1.5166007715931866,4.055945884930069,0.5633333333333334,1.4843492842508434,0.5760760429076959,innings_2_overs_4_12,0.08068623846864796,7.789139582904855e-05,-1.5880656429373827e-05,8.520236992220283e-06,False,107,0.062192100018061094,0.06637557998670275,0.004183479968641657,0.2243045212466351,0.2598397779020402,0.035535256655405106
