feature,importance,method,fold
inn1_death_rr,0.02376955,augmented_horseshoe_selected,1
inn1_pp_runs,0.023616916,augmented_horseshoe_selected,1
batting_won_toss,0.023463879,augmented_horseshoe_selected,1
team_strength_diff,0.023450702,augmented_horseshoe_selected,1
required_run_rate,0.022309085,augmented_horseshoe_selected,1
rrr_times_wickets,0.022255035,augmented_horseshoe_selected,1
expected_final_score,0.021230692,augmented_horseshoe_selected,1
hs_i2pp_target_above_par_x_wickets,0.01996206,augmented_horseshoe_selected,1
hs_i2_target_above_par_x_wickets,0.019028226,augmented_horseshoe_selected,1
chase_difficulty,0.018126335,augmented_horseshoe_selected,1
hs_i2_resource_pressure,0.0171412,augmented_horseshoe_selected,1
projected_score,0.016685544,augmented_horseshoe_selected,1
projected_vs_venue_avg,0.016163228,augmented_horseshoe_selected,1
score_per_wicket,0.01603523,augmented_horseshoe_selected,1
runs_last_18,0.014342952,augmented_horseshoe_selected,1
hs_i2pp_target_x_early_wicket_shock,0.012837339,augmented_horseshoe_selected,1
pressure_index,0.012310163,augmented_horseshoe_selected,1
wickets_times_balls,0.012242796,augmented_horseshoe_selected,1
overs_remaining,0.012035411,augmented_horseshoe_selected,1
runs_last_12,0.010828992,augmented_horseshoe_selected,1
hs_i2death_target_x_venue_chase,0.009278243,augmented_horseshoe_selected,1
hs_i2pp_inn1_def_x_batting_wr,0.009233356,augmented_horseshoe_selected,1
hs_i1death_projected_vs_venue_x_wih,0.0091179805,augmented_horseshoe_selected,1
hs_i2pp_target_above_par_x_venue_chase,0.008839082,augmented_horseshoe_selected,1
hs_i1death_bowling_situation_x_wih,0.008832609,augmented_horseshoe_selected,1
hs_i1death_expected_final_x_wih,0.0071974285,augmented_horseshoe_selected,1
wickets_last_12,0.004985947,augmented_horseshoe_selected,1
boundary_pct_last_18,0.0046587093,augmented_horseshoe_selected,1
is_powerplay,0.0,augmented_horseshoe_selected,1
hs_i1death_resource_pressure,0.0,augmented_horseshoe_selected,1
hs_i2pp_early_chase_wicket_shock,0.0,augmented_horseshoe_selected,1
resource_win_prob,0.22580048,baseline_v6_features,2
dls_pressure_index,0.15997308,baseline_v6_features,2
score_vs_par,0.053519364,baseline_v6_features,2
run_rate_diff,0.035528604,baseline_v6_features,2
expected_final_score,0.029424172,baseline_v6_features,2
venue_chase_success,0.028107062,baseline_v6_features,2
inn1_defendability,0.027813964,baseline_v6_features,2
target_above_par,0.025128864,baseline_v6_features,2
bowling_team_situation_wr,0.02512482,baseline_v6_features,2
inn1_pp_runs,0.02508128,baseline_v6_features,2
