feature,scope_n,effect,bootstrap_se,z,sign_stability,global_tau,keep_weight,shrunk_effect,selected,fold
hs_i2_target_above_par_x_wickets,5460,-0.42062621711206793,0.062338238123477614,6.747482160212538,1.0,0.2740531852632198,0.7737262666878209,-0.3254495526371411,True,1
hs_i1death_bowling_situation_x_wih,1751,-0.3731260420363681,0.08290288702942078,4.500759990377083,1.0,0.2740531852632198,0.6033938398574922,-0.2251419552551522,True,1
hs_i2pp_inn1_def_x_batting_wr,1490,0.358160178749978,0.10922646658072314,3.279060077391419,1.0,0.2740531852632198,0.4467644084333223,0.1600132203836069,True,1
hs_i2pp_target_above_par_x_wickets,1490,-0.41279392246644886,0.14969567377412865,2.7575539391590027,1.0,0.2740531852632198,0.36350625099088263,-0.1500531711875999,True,1
hs_i2death_target_x_venue_chase,1346,-0.6717870084308983,0.3456564058599595,1.9435108900251648,1.0,0.2740531852632198,0.22099557972766976,-0.14846195938170334,True,1
hs_i2pp_target_x_early_wicket_shock,1490,-0.21031738403782851,0.11227090848019056,1.8733024267093494,0.9333333333333333,0.2740531852632198,0.20858754798742615,-0.04386958743558049,True,1
hs_i2pp_target_above_par_x_venue_chase,1490,-0.44057102489464917,0.23937976600219418,1.8404688660524557,0.9666666666666667,0.2740531852632198,0.20280967830337876,-0.08935206782867368,True,1
hs_i1death_expected_final_x_wih,1751,-0.5206820680603105,0.3559797734931518,1.462673141016524,0.9,0.2740531852632198,0.13843676432744445,-0.07208154074559159,True,1
hs_i2pp_early_chase_wicket_shock,1490,-0.19287494006881312,0.13262830368762235,1.4542516202316258,0.9333333333333333,0.2740531852632198,0.13706509111585125,-0.02643642123449622,True,1
hs_i2mid_dls_x_resource,2624,-0.06603852708815455,0.05388246378378232,1.2256031033978063,0.8,0.2740531852632198,0.10137857473673809,-0.006694891753910579,True,1
hs_i1death_resource_pressure,1751,-0.14223088627360775,0.1388533259013686,1.024324589325231,0.8666666666666667,0.2740531852632198,0.07304703660099104,-0.01038954475541962,True,1
hs_i2_resource_pressure,5460,-0.25544119375156515,0.2705622489407412,0.9441124373799382,0.8666666666666667,0.2740531852632198,0.06274442970910149,-0.016027512026154055,True,1
hs_i1death_projected_vs_venue_x_wih,1751,-0.1051515235540616,0.11356381082560972,0.9259244959319732,0.7333333333333333,0.2740531852632198,0.060495061581338216,-0.0063611478927744925,True,1
hs_i2_inn1_def_x_required_rr,5460,-0.09491955432382514,0.13833848217390438,0.6861398648505032,0.9666666666666667,0.2740531852632198,0.03415106250728179,-0.0032416036328762818,False,1
hs_i1death_score_vs_par_x_wih,1751,-0.08682793817855039,0.15724211777812744,0.552192592439774,0.8,0.2740531852632198,0.022388105157314448,-0.001943913010534184,False,1
hs_i1death_boundary_x_wih,1751,0.02120445338535526,0.07118584048587426,0.29787455288692466,0.6333333333333333,0.2740531852632198,0.006619908205357297,0.0001403715349558296,False,1
hs_i2death_dls_x_chase_difficulty,1346,-0.04504588995553457,0.31374948863503804,0.1435727870530661,0.5666666666666667,0.2740531852632198,0.0015457602530498263,-6.963014625652174e-05,False,1
hs_i1death_wickets_in_hand,1751,0.005063896577809892,0.043840668766130186,0.11550680145313091,0.7,0.2740531852632198,0.0010010363812131269,5.069144705088352e-06,False,1
hs_i2pp_required_minus_current_rr,1490,-0.017644678854755035,0.1576177293145432,0.11194602163112602,0.5666666666666667,0.2740531852632198,0.000940326046503215,-1.6591751109310678e-05,False,1
hs_i2pp_inn1_def_x_batting_wr,2985,0.414943453277992,0.07406876053587232,5.6021377197969064,1.0,0.3853749432989671,0.823351226311167,0.3416442011062251,True,2
hs_i2_inn1_def_x_required_rr,10937,-0.43760121843256145,0.09248648924104494,4.731514567245688,1.0,0.3853749432989671,0.7687761652483978,-0.33641738661461107,True,2
hs_i2_target_above_par_x_wickets,10937,-0.297265598695153,0.07169017327631916,4.146531437217659,1.0,0.3853749432989671,0.7185877786691289,-0.21361142624109872,True,2
hs_i1death_score_vs_par_x_wih,3488,-0.49567770580925263,0.12093366516368433,4.098756654326022,1.0,0.3853749432989671,0.713877280902192,-0.35385305282694596,True,2
hs_i1death_projected_vs_venue_x_wih,3488,-0.340395509963922,0.09838487322938545,3.4598354827568993,1.0,0.3853749432989671,0.6400001968736913,-0.2178531933918306,True,2
hs_i1death_expected_final_x_wih,3488,-0.8932733977493756,0.27952552944819337,3.195677216159824,1.0,0.3853749432989671,0.6026504503705089,-0.538331615457656,True,2
hs_i1death_resource_pressure,3488,-0.3009016178450875,0.10382491067676126,2.898163715259521,1.0,0.3853749432989671,0.5550453832240893,-0.16701405378957504,True,2
hs_i2pp_target_above_par_x_wickets,2985,-0.30196592798148925,0.11372231423353776,2.6552915622914846,1.0,0.3853749432989671,0.5115059309131773,-0.15445736309623312,True,2
hs_i1death_bowling_situation_x_wih,3488,-0.11853174552860408,0.052581075183508776,2.254265866041496,1.0,0.3853749432989671,0.43010363027444865,-0.050980934054619766,True,2
hs_i2pp_target_above_par_x_venue_chase,2985,0.24028752086699826,0.13942245120207147,1.723449140083235,1.0,0.3853749432989671,0.30609875232117856,0.07355171033573732,True,2
hs_i2pp_early_chase_wicket_shock,2985,-0.14893929854388235,0.09148716523359124,1.6279800765910684,0.9666666666666667,0.3853749432989671,0.28243866410707047,-0.04206621651377828,True,2
hs_i2_resource_pressure,10937,-0.2498744647814651,0.1677076998374019,1.4899402360435698,1.0,0.3853749432989671,0.2479445246202436,-0.06195500538497817,True,2
hs_i2pp_target_x_early_wicket_shock,2985,-0.11013506914628846,0.08223222932890555,1.3393174020931078,0.9333333333333333,0.3853749432989671,0.21035998045931278,-0.0231680109934983,True,2
hs_i2death_target_x_venue_chase,2688,0.1577939493239454,0.20729735931063734,0.7611961012756002,0.6333333333333333,0.3853749432989671,0.07923362224159895,0.012502586172743498,False,2
hs_i1death_wickets_in_hand,3488,0.02443113052313506,0.03283709122483743,0.7440099646998,0.7333333333333333,0.3853749432989671,0.07596489192542491,0.0018559081898059044,True,2
hs_i2death_dls_x_chase_difficulty,2688,-0.09039879665740289,0.18364644629555882,0.4922436211451635,0.7333333333333333,0.3853749432989671,0.03473549390638344,-0.0031400468504376136,False,2
hs_i1death_boundary_x_wih,3488,-0.02013014591983541,0.052335431505675066,0.384636975263743,0.7,0.3853749432989671,0.02149958240572584,-0.0004327897310427872,False,2
hs_i2pp_required_minus_current_rr,2985,-0.03688997723274506,0.09665280403584701,0.3816751493553322,0.5666666666666667,0.3853749432989671,0.021176734873480693,-0.000781209267346581,False,2
hs_i2mid_dls_x_resource,5264,-0.015305967256067398,0.04990448111884067,0.3067052065438028,0.6333333333333333,0.3853749432989671,0.013777929619189066,-0.000210884539607709,False,2
hs_i2pp_inn1_def_x_batting_wr,4490,0.3176829456668021,0.05882956539606835,5.400055049318497,1.0,0.5431234772980922,0.8958537602298158,0.28459746143648895,True,3
hs_i2_target_above_par_x_wickets,16388,-0.24805030792994978,0.052455811588969906,4.728746980146591,1.0,0.5431234772980922,0.8683540434222135,-0.21539548786309703,True,3
hs_i1death_score_vs_par_x_wih,5221,-0.44902447375425203,0.10721025992036266,4.1882598942041085,1.0,0.5431234772980922,0.8380423184984811,-0.37630151104757376,True,3
hs_i1death_expected_final_x_wih,5221,-0.919304340671525,0.22952616057645533,4.005226673554003,1.0,0.5431234772980922,0.8255430174686914,-0.7589252793700366,True,3
hs_i2pp_target_above_par_x_wickets,4490,-0.41715746542175053,0.11798898959370713,3.535562356306303,1.0,0.5431234772980922,0.7866597595962453,-0.3281609914624533,True,3
hs_i1death_resource_pressure,5221,-0.3327913500132434,0.09491774840614511,3.5061020782776726,1.0,0.5431234772980922,0.783837727187461,-0.26085441542202753,True,3
hs_i2pp_target_x_early_wicket_shock,4490,-0.22207407230302084,0.06701643220518019,3.3137251843825144,1.0,0.5431234772980922,0.7641032665799256,-0.1696875240694448,True,3
hs_i1death_bowling_situation_x_wih,5221,-0.12892382862058083,0.03958576448569767,3.256822186645886,1.0,0.5431234772980922,0.7578020227048327,-0.09769873810352735,True,3
hs_i1death_projected_vs_venue_x_wih,5221,-0.2963300782287112,0.09639110403885774,3.07424684509044,1.0,0.5431234772980922,0.7360003297264522,-0.21809903528419683,True,3
hs_i2mid_dls_x_resource,7905,-0.06862316321053348,0.02825250792339608,2.428922030829196,0.9666666666666667,0.5431234772980922,0.6350765476973803,-0.04358096158381948,True,3
hs_i2_resource_pressure,16388,-0.2519523081570948,0.11617019588356209,2.1688203635416445,1.0,0.5431234772980922,0.5811581800086714,-0.14642414485756114,True,3
hs_i2death_target_x_venue_chase,3993,0.181588338144817,0.13034051439117464,1.3931840384486927,0.7333333333333333,0.5431234772980922,0.3640905525030508,0.06611459836325724,True,3
hs_i2death_dls_x_chase_difficulty,3993,-0.19383876363867308,0.1519941225645296,1.2753042526584255,0.9,0.5431234772980922,0.32421510700563877,-0.06284545549495311,True,3
hs_i2pp_required_minus_current_rr,4490,-0.09009471730620135,0.0775249009333274,1.162138933428562,0.8333333333333334,0.5431234772980922,0.28489417515471216,-0.025667460172747205,True,3
hs_i2pp_early_chase_wicket_shock,4490,-0.07623549852266652,0.06639659059786886,1.1481837599546243,0.8666666666666667,0.5431234772980922,0.2799974084774917,-0.021345742020336275,True,3
hs_i1death_wickets_in_hand,5221,0.01751972076288289,0.021034020228712282,0.8329226768423951,0.8,0.5431234772980922,0.1698816722313179,0.002976279460224286,True,3
hs_i2pp_target_above_par_x_venue_chase,4490,0.07568119379667494,0.14270169368082597,0.5303454117544906,0.8333333333333334,0.5431234772980922,0.07661236008996132,0.005798114871189007,True,3
hs_i1death_boundary_x_wih,5221,-0.016691980310160386,0.04042339852886745,0.4129285707869041,0.7333333333333333,0.5431234772980922,0.04788887745841269,-0.0007993601996115082,False,3
hs_i2_inn1_def_x_required_rr,16388,-0.0015488070798921763,0.0997461284256201,0.01552748912728195,0.5666666666666667,0.5431234772980922,7.111623126395227e-05,-1.1014532247685861e-07,False,3
