version,segment,target_bucket,n,brier,logloss,mean_pred,actual_wr,gap_pp
replace_pp_only,overall,all,10047,0.11069901683605786,0.37740943879692435,0.49012676315191966,0.5205533990245844,-3.0426635872664756
replace_all,overall,all,10047,0.11141841119463926,0.3795111116754989,0.49018221665563755,0.5205533990245844,-3.037118236894687
v14_original,overall,all,10047,0.11175015455386834,0.37431110011282837,0.4899630167808175,0.5205533990245844,-3.0590382243766925
delta_mid_only,overall,all,10047,0.11200328937210469,0.3752484581096693,0.489326127610391,0.5205533990245844,-3.1227271414193405
delta_pp_only,overall,all,10047,0.11203422567487935,0.379607107967168,0.48890134161878,0.5205533990245844,-3.16520574058044
delta_all,overall,all,10047,0.11205599440187146,0.3799156873683702,0.488224168073239,0.5205533990245844,-3.2329230951345433
replace_mid_only,overall,all,10047,0.11246954891244974,0.3764127729914029,0.4900184702845354,0.5205533990245844,-3.053492874004904
