version,segment,target_bucket,n,brier,logloss,mean_pred,actual_wr,gap_pp
delta_all,overall,all,10047,0.11205599440187146,0.3799156873683702,0.488224168073239,0.5205533990245844,-3.2329230951345433
delta_all,overall,above_par_hard,4258,0.0849328038923591,0.2788124785659085,0.29708361146100853,0.2576326914044152,3.945092005659334
delta_all,overall,below_par_easy,1953,0.14273122222605678,0.570987392602779,0.7872656732826172,0.9559651817716334,-16.869950848901617
delta_all,overall,par,3836,0.12654552131763516,0.39486209580374076,0.548142945544814,0.5907194994786236,-4.257655393380954
delta_all,pp_0_6,all,3481,0.14464276063026846,0.5145704988612283,0.4686606284285608,0.5466819879345016,-7.80213595059408
delta_all,pp_0_6,above_par_hard,1394,0.12836488842519594,0.39304625319589226,0.27289025506858755,0.27116212338593976,0.17281316826477933
delta_all,pp_0_6,below_par_easy,780,0.15653405817226995,0.7890167725666652,0.7677102311764329,0.9538461538461539,-18.613592266972102
delta_all,pp_0_6,par,1307,0.15490759748651167,0.4803981231666893,0.49899361260642044,0.5975516449885233,-9.855803238210287
delta_all,early_mid_7_12,all,3418,0.1167985264923894,0.3765321333277188,0.5142643271838766,0.5430076067875951,-2.8743279603718475
delta_all,early_mid_7_12,above_par_hard,1388,0.08484136865676013,0.28907053631993823,0.31207130541908973,0.2665706051873199,4.550070023176983
delta_all,early_mid_7_12,below_par_easy,726,0.1519666493818454,0.48913370666812295,0.7824957201175474,0.9490358126721763,-16.65400925546289
delta_all,early_mid_7_12,par,1304,0.1312344757700799,0.40693700633513163,0.5801446361866979,0.6111963190184049,-3.1051682831707006
delta_all,late_mid_13_15,all,1632,0.0778142621420027,0.261326346872079,0.5292018992731524,0.5263480392156863,0.2853860057466129
delta_all,late_mid_13_15,above_par_hard,701,0.055478803605852875,0.2043736426414674,0.33114265011207134,0.2710413694721826,6.010128063988873
delta_all,late_mid_13_15,below_par_easy,284,0.1105064484773975,0.3501906357896796,0.825982576061221,0.954225352112676,-12.824277605145495
delta_all,late_mid_13_15,par,647,0.08766368333920342,0.28402555492935916,0.6135200158946461,0.615146831530139,-0.16268156354929397
delta_all,full_mid_7_15,all,5050,0.10420004739935353,0.3393012732295794,0.5190916772135198,0.5376237623762377,-1.853208516271787
delta_all,full_mid_7_15,above_par_hard,2089,0.07498825324235803,0.26064903202668394,0.31847102424617446,0.26807084729535663,5.040017695081783
