method,n,brier,log_loss,mean_prob,actual_rate,delta_brier_vs_market,delta_log_loss_vs_market,delta_brier_vs_iso_v6,delta_log_loss_vs_iso_v6
market,595,0.157618673142425,0.462439935533647,0.49189433994068715,0.4403361344537815,0.0,0.0,0.060887940760852396,0.14792030578828474
iso_v6,595,0.0967307323815726,0.31451962974536224,0.4796584555768572,0.4403361344537815,-0.060887940760852396,-0.14792030578828474,0.0,0.0
inn2_market_stack_candidate,595,0.08346327934213392,0.26530973876762426,0.4403001937476666,0.4403361344537815,-0.07415539380029108,-0.19713019676602273,-0.013267453039438687,-0.04920989097773798
