method,bin,bin_low,bin_high,n_samples,mean_predicted,mean_actual,calibration_error,brier
raw,0.0-0.1,0.0,0.1,7151,0.04999144046638105,0.08138721857082926,0.031395778104448206,0.0741558532855663
raw,0.1-0.2,0.1,0.2,7198,0.15188793549734236,0.20700194498471797,0.055114009487375604,0.16739901843714367
raw,0.2-0.3,0.2,0.30000000000000004,8444,0.250169434389849,0.3103979156797726,0.060228481289923586,0.2162105607661683
raw,0.3-0.4,0.30000000000000004,0.4,8817,0.35175005409423826,0.4119314959736872,0.06018144187944896,0.24496757190407503
raw,0.4-0.5,0.4,0.5,9454,0.4489242316141693,0.46467103871377197,0.01574680709960269,0.2498734724625476
raw,0.5-0.6,0.5,0.6000000000000001,8349,0.5477715921559209,0.5541981075577913,0.006426515401870447,0.24735227767211107
raw,0.6-0.7,0.6000000000000001,0.7000000000000001,7558,0.649568995743005,0.5944694363588251,0.055099559384179875,0.24498912332077685
raw,0.7-0.8,0.7000000000000001,0.8,6613,0.7491426936411657,0.6302737033116589,0.11886899032950682,0.24723645918817955
raw,0.8-0.9,0.8,0.9,5980,0.8508846228453071,0.7453177257525083,0.10556689709279876,0.19721062421413568
raw,0.9-1.0,0.9,1.0,8476,0.9497120165750214,0.9438414346389806,0.005870581936040731,0.05261980529275929
combined,0.0-0.1,0.0,0.1,4579,0.04520637693819611,0.04520637693819611,0.0,0.04295373332889398
combined,0.1-0.2,0.1,0.2,4114,0.15289256198347106,0.15289256198347106,0.0,0.12930190252719087
combined,0.2-0.3,0.2,0.30000000000000004,10388,0.2456680785521756,0.2456680785521756,0.0,0.18417982305725836
combined,0.3-0.4,0.30000000000000004,0.4,7788,0.3674884437596302,0.3674884437596302,0.0,0.2315635276086614
combined,0.4-0.5,0.4,0.5,15057,0.45759447433087597,0.457594474330876,5.551115123125783e-17,0.2477517767358899
combined,0.5-0.6,0.5,0.6000000000000001,15996,0.5773318329582395,0.5773318329582395,0.0,0.2437384636354737
combined,0.6-0.7,0.6000000000000001,0.7000000000000001,7750,0.6442580645161292,0.644258064516129,2.220446049250313e-16,0.22893564711848663
combined,0.7-0.8,0.7000000000000001,0.8,2183,0.749885478699038,0.749885478699038,0.0,0.1864399578566527
combined,0.8-0.9,0.8,0.9,2059,0.8567265662943178,0.8567265662943176,1.1102230246251565e-16,0.12238831153610974
