feature,importance
resource_win_prob,0.22107278
score_vs_par,0.06349719
is_powerplay,0.05183076
dls_pressure_index,0.04513221
score_per_wicket,0.041265953
batting_won_toss,0.039397795
inn1_defendability,0.035489574
venue_chase_success,0.032653738
expected_final_score,0.030588929
inn1_pp_runs,0.029182417
inn1_wickets_lost,0.028841056
bowling_team_situation_wr,0.028504448
bowling_team_win_rate,0.02789566
inn1_death_rr,0.027411276
situation_advantage,0.026815467
team_strength_diff,0.026408834
batting_team_win_rate,0.026343556
chase_difficulty,0.024572117
batting_team_situation_wr,0.024087429
target_above_par,0.023934571
run_rate_diff,0.02369455
overs_remaining,0.023225907
projected_vs_venue_avg,0.017827407
rrr_times_wickets,0.015956284
pressure_index,0.014885303
projected_score,0.012036627
wickets_times_balls,0.010987198
required_run_rate,0.009364557
wickets_last_12,0.0066423267
runs_last_18,0.004746651
boundary_pct_last_18,0.0035639994
runs_last_12,0.0021434925
