segment,probability,n,brier,log_loss,mean_prob,actual_rate,avg_model_market_gap,avg_abs_model_market_gap
innings_2,market_p_inn1,595,0.157618673142425,0.462439935533647,0.49189433994068715,0.4403361344537815,-0.012235884363830014,0.17951284772351894
innings_2,raw_p_inn1,595,0.09650618977282703,0.3194048708153378,0.4781756775568203,0.4403361344537815,-0.012235884363830014,0.17951284772351894
innings_2,iso_p_inn1,595,0.0967307323815726,0.31451962974536224,0.4796584555768572,0.4403361344537815,-0.012235884363830014,0.17951284772351894
innings_2_death,market_p_inn1,113,0.10411073679639134,0.3151746219759545,0.5282352477363601,0.49557522123893805,-0.0456302681287394,0.1929971011293795
innings_2_death,raw_p_inn1,113,0.05373844857465713,0.1970955485851188,0.5071865656956167,0.49557522123893805,-0.0456302681287394,0.1929971011293795
innings_2_death,iso_p_inn1,113,0.046169024761378796,0.16628444867829015,0.48260497960762067,0.49557522123893805,-0.0456302681287394,0.1929971011293795
innings_2_middle,market_p_inn1,284,0.15885845366116866,0.4687586930030736,0.4781405029175863,0.4295774647887324,-0.004264276319388192,0.19205270001656943
innings_2_middle,raw_p_inn1,284,0.08601155430461684,0.29030812834656056,0.46882009096161326,0.4295774647887324,-0.004264276319388192,0.19205270001656943
innings_2_middle,iso_p_inn1,284,0.08846308817822705,0.2915332683598274,0.4738762265981981,0.4295774647887324,-0.004264276319388192,0.19205270001656943
innings_2_powerplay,market_p_inn1,198,0.18637775970696346,0.5374220229614353,0.49088205273689745,0.42424242424242425,-0.004611497086995229,0.153830834157415
innings_2_powerplay,raw_p_inn1,198,0.1359669535524477,0.4309423873463856,0.47503808277578397,0.42424242424242425,-0.004611497086995229,0.153830834157415
innings_2_powerplay,iso_p_inn1,198,0.13744529760799704,0.4320888322406704,0.4862705556499021,0.42424242424242425,-0.004611497086995229,0.153830834157415
