phase,v14_oos_brier_raw,v14_oos_brier_cal,v15_oos_brier_raw,v15_oos_brier_cal,delta_pct,n
pp,0.1404,0.14382,0.13875,0.14239,-1.00%,3481
mid,0.10268,0.1037,0.1038,0.1048,+1.07%,5050
death,0.06377,0.06493,0.06335,0.06438,-0.86%,1516
overall,0.10988,0.11175,0.1098,0.11173,-0.02%,10047
