feature,importance
resource_win_prob,0.23730887
score_vs_par,0.065074794
dls_pressure_index,0.050535753
batting_won_toss,0.042899895
score_per_wicket,0.03901902
inn1_defendability,0.036672812
venue_chase_success,0.034845572
inn1_pp_runs,0.03176746
bowling_team_win_rate,0.031148296
inn1_death_rr,0.029976483
situation_advantage,0.029520411
bowling_team_situation_wr,0.028700715
inn1_wickets_lost,0.028247965
target_above_par,0.028061062
team_strength_diff,0.027167065
batting_team_win_rate,0.026485158
batting_team_situation_wr,0.026480472
expected_final_score,0.025280708
run_rate_diff,0.020815799
wickets_times_balls,0.020429913
pressure_index,0.019889368
chase_difficulty,0.019170372
projected_vs_venue_avg,0.018604279
overs_remaining,0.01838047
rrr_times_wickets,0.018145012
required_run_rate,0.013472926
projected_score,0.013199019
wickets_last_12,0.006136944
runs_last_18,0.005913066
boundary_pct_last_18,0.004328968
runs_last_12,0.0023213718
is_powerplay,0.0
