feature,importance
resource_win_prob,0.24463885
score_vs_par,0.07153985
dls_pressure_index,0.051591825
batting_won_toss,0.038083047
inn1_defendability,0.03592123
venue_chase_success,0.03364294
chase_difficulty,0.033272445
score_per_wicket,0.032078385
inn1_pp_runs,0.031775914
bowling_team_win_rate,0.030663932
situation_advantage,0.029544191
inn1_death_rr,0.029139066
bowling_team_situation_wr,0.028670704
target_above_par,0.02806461
team_strength_diff,0.02785929
expected_final_score,0.027749717
inn1_wickets_lost,0.02745717
batting_team_win_rate,0.02690178
batting_team_situation_wr,0.026317326
wickets_times_balls,0.022925835
run_rate_diff,0.017764129
projected_vs_venue_avg,0.015767444
overs_remaining,0.015558955
pressure_index,0.014715144
rrr_times_wickets,0.0145143755
projected_score,0.014258496
required_run_rate,0.01194561
wickets_last_12,0.0066402596
runs_last_18,0.0053693457
boundary_pct_last_18,0.003443353
runs_last_12,0.0021847824
is_powerplay,0.0
