feature,importance
resource_win_prob,0.3094111
dls_pressure_index,0.14714046
score_vs_par,0.093710676
run_rate_diff,0.03726012
rrr_times_wickets,0.026956068
target_above_par,0.025326772
team_strength_diff,0.024663009
expected_final_score,0.024328679
inn1_defendability,0.023928875
situation_advantage,0.02385738
batting_team_win_rate,0.023789115
chase_difficulty,0.023768144
score_per_wicket,0.02240809
bowling_team_situation_wr,0.022357916
bowling_team_win_rate,0.021679675
batting_team_situation_wr,0.021361575
projected_score,0.021207118
required_run_rate,0.020323062
projected_vs_venue_avg,0.02015103
pressure_index,0.018501803
overs_remaining,0.01060231
runs_last_18,0.010260914
wickets_times_balls,0.006943339
runs_last_12,0.0060650078
wickets_last_12,0.005248856
is_powerplay,0.005008327
boundary_pct_last_18,0.0037405943
