method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta
ml_replace_resource_with_mc,oof_overall,innings_1_powerplay,320,0.2799446533069565,0.18473195148425928,0.7853115378533732,0.012883,0.01709,0.03148
ml_replace_resource_with_mc,oof_overall,innings_1_middle,576,0.2645327482014681,0.17088367128544768,0.7440722019849922,0.000417,0.005866,0.002799
ml_replace_resource_with_mc,oof_overall,innings_1_death,312,0.26301701021488216,0.16745752949676712,0.7471203159223359,-0.00307,-0.012848,-0.002765
ml_replace_resource_with_mc,oof_overall,innings_2,1108,0.1845121366209336,0.07536355043260039,0.5524633949079567,-0.012234,-0.016902,-0.034769
ml_replace_resource_with_mc,oof_overall,innings_2_powerplay,320,0.22408321565895836,0.12607491790826642,0.659098422845348,-0.017108,-0.045243,-0.048702
ml_replace_resource_with_mc,oof_overall,innings_2_middle,542,0.17820616291815755,0.06705619588440874,0.5330577306956733,-0.008775,-0.019137,-0.026508
ml_replace_resource_with_mc,oof_overall,innings_2_death,246,0.14693121164018844,0.08265655734224572,0.45650673256280344,-0.013518,-0.02491,-0.034844
ml_clean_swap_resource,oof_overall,overall,2316,0.22887977792419714,0.12824080842054708,0.6608054803327779,-0.003678,0.000497,-0.009668
ml_clean_swap_resource,oof_overall,innings_1,1208,0.26246768230665196,0.1800558706354486,0.7394278711769665,-0.002937,0.010528,-0.007397
ml_clean_swap_resource,oof_overall,innings_1_powerplay,320,0.2664148960461388,0.15840608853731164,0.7528761383381172,-0.000647,-0.009236,-0.000956
ml_clean_swap_resource,oof_overall,innings_1_middle,576,0.2611432971294503,0.19148034484540577,0.7337155322661357,-0.002972,0.026463,-0.007558
ml_clean_swap_resource,oof_overall,innings_1_death,312,0.2608642767471403,0.18282685301734036,0.7361806331034741,-0.005222,0.002521,-0.013705
ml_clean_swap_resource,oof_overall,innings_2,1108,0.19226047422924636,0.08191696210807883,0.5750872058383916,-0.004486,-0.010348,-0.012145
ml_clean_swap_resource,oof_overall,innings_2_powerplay,320,0.2318664273585577,0.16785867248640188,0.6834237765634547,-0.009325,-0.00346,-0.024376
ml_clean_swap_resource,oof_overall,innings_2_middle,542,0.18529246426920143,0.08440624713950139,0.5545502222656328,-0.001688,-0.001787,-0.005016
ml_clean_swap_resource,oof_overall,innings_2_death,246,0.15609281730633878,0.07846113491129017,0.4794097361815421,-0.004356,-0.029106,-0.011941
