method,split,segment,n,brier,ece,log_loss
ml_add_mc_gap_features,oof_fold_2,innings_1,302,0.34576875928145423,0.3051554497882806,0.9352837112929603
ml_add_mc_gap_features,oof_fold_2,innings_1_powerplay,80,0.3223806576000775,0.29800576636899373,0.8650473991468968
ml_add_mc_gap_features,oof_fold_2,innings_1_middle,144,0.3519427213989321,0.31274896507519623,0.9542202856964861
ml_add_mc_gap_features,oof_fold_2,innings_1_death,78,0.35835847196854803,0.3361729284259952,0.9723611248516448
ml_add_mc_gap_features,oof_fold_2,innings_2,277,0.24563252150491838,0.1792683536275058,0.7252121322369921
ml_add_mc_gap_features,oof_fold_2,innings_2_powerplay,80,0.3505577754186855,0.32541888523864876,1.0006385728271976
ml_add_mc_gap_features,oof_fold_2,innings_2_middle,135,0.218527827230693,0.15545297376111225,0.6580709656799669
ml_add_mc_gap_features,oof_fold_2,innings_2_death,62,0.16926338301974175,0.16794964591009012,0.5160176522044434
ml_replace_resource_with_mc,oof_fold_2,overall,579,0.28711413637999494,0.21772416172736922,0.8048830726835718
ml_replace_resource_with_mc,oof_fold_2,innings_1,302,0.3443290737853351,0.3152389563050575,0.9339876193574642
ml_replace_resource_with_mc,oof_fold_2,innings_1_powerplay,80,0.3213746660842388,0.2961935707559549,0.8666821813730159
ml_replace_resource_with_mc,oof_fold_2,innings_1_middle,144,0.35250337381241026,0.34402119263323516,0.9574818781780515
ml_replace_resource_with_mc,oof_fold_2,innings_1_death,78,0.3527810406082694,0.34109713642368433,0.9596448215188906
ml_replace_resource_with_mc,oof_fold_2,innings_2,277,0.22473539595973246,0.1431382445068345,0.6641264911113138
ml_replace_resource_with_mc,oof_fold_2,innings_2_powerplay,80,0.3247771537585572,0.2799012715675905,0.9191039552327223
ml_replace_resource_with_mc,oof_fold_2,innings_2_middle,135,0.19804922725777094,0.15749737629114777,0.5999148365166266
ml_replace_resource_with_mc,oof_fold_2,innings_2_death,62,0.15375623710261674,0.10190149516824762,0.474939011120509
ml_clean_swap_resource,oof_fold_2,overall,579,0.29638233295939426,0.2309526132721407,0.82882925662551
ml_clean_swap_resource,oof_fold_2,innings_1,302,0.34547691592501784,0.3155004629388154,0.9354946904202671
ml_clean_swap_resource,oof_fold_2,innings_1_powerplay,80,0.3259514001054886,0.29334811071510913,0.8747742682290953
ml_clean_swap_resource,oof_fold_2,innings_1_middle,144,0.34967540076301123,0.31976387135219436,0.9506526773523388
ml_clean_swap_resource,oof_fold_2,innings_1_death,78,0.35775203706464986,0.33754139752252255,0.9697880706391828
ml_clean_swap_resource,oof_fold_2,innings_2,277,0.2428568309535518,0.16112981000937102,0.7125369786254497
ml_clean_swap_resource,oof_fold_2,innings_2_powerplay,80,0.3463811337557733,0.30082139053232676,0.9860083135576069
ml_clean_swap_resource,oof_fold_2,innings_2_middle,135,0.2142726132135068,0.1350742083825922,0.6399588214739613
ml_clean_swap_resource,oof_fold_2,innings_2_death,62,0.1715169143523965,0.14564131674066144,0.5177038241234881
baseline_ipl_v6_features,oof_fold_3,overall,579,0.1922041848238904,0.10887061801074634,0.5660707915398313
baseline_ipl_v6_features,oof_fold_3,innings_1,306,0.1820137378138232,0.11615754783647557,0.5415335126979117
baseline_ipl_v6_features,oof_fold_3,innings_1_powerplay,85,0.20274669560067587,0.12162014154158873,0.5900603571000601
baseline_ipl_v6_features,oof_fold_3,innings_1_middle,147,0.17741918406531731,0.12010087272663313,0.5301558367135099
baseline_ipl_v6_features,oof_fold_3,innings_1_death,74,0.16732587280230826,0.15981031736130896,0.5083948180428368
baseline_ipl_v6_features,oof_fold_3,innings_2,273,0.20362644410989977,0.14417470115276565,0.5935741150769279
baseline_ipl_v6_features,oof_fold_3,innings_2_powerplay,80,0.18717284445955815,0.15071599256808,0.5502465992975851
baseline_ipl_v6_features,oof_fold_3,innings_2_middle,133,0.22207275468256768,0.1757591217196044,0.6424006125465909
baseline_ipl_v6_features,oof_fold_3,innings_2_death,60,0.18467525520760814,0.12637224571084,0.543112066724966
mc_standalone_calibrated,oof_fold_3,overall,579,0.23119102947497028,0.08631119280571002,0.6470194867383423
mc_standalone_calibrated,oof_fold_3,innings_1,306,0.23971368982101712,0.0566465710155927,0.672225858347308
mc_standalone_calibrated,oof_fold_3,innings_1_powerplay,85,0.24738066235024497,0.046263935407854256,0.6889901090306884
mc_standalone_calibrated,oof_fold_3,innings_1_middle,147,0.2344763282850755,0.07571834905132901,0.6601576932053805
mc_standalone_calibrated,oof_fold_3,innings_1_death,74,0.24131098010208538,0.11361068623849618,0.6769428714253621
mc_standalone_calibrated,oof_fold_3,innings_2,273,0.2216381574387419,0.1659337119026829,0.6187661910887323
mc_standalone_calibrated,oof_fold_3,innings_2_powerplay,80,0.22851854552150713,0.19464305046782823,0.6314271809075152
mc_standalone_calibrated,oof_fold_3,innings_2_middle,133,0.23180969459957232,0.19889078031545915,0.6297488460498736
mc_standalone_calibrated,oof_fold_3,innings_2_death,60,0.18991739928854748,0.156103514844707,0.5775399861664925
ml_add_mc_win_prob,oof_fold_3,overall,579,0.20056145092960118,0.05141498893864848,0.582540641910542
ml_add_mc_win_prob,oof_fold_3,innings_1,306,0.21772414318242098,0.06610317429992636,0.6261615190123376
ml_add_mc_win_prob,oof_fold_3,innings_1_powerplay,85,0.25239228198871666,0.17688942962110207,0.7014969680375925
ml_add_mc_win_prob,oof_fold_3,innings_1_middle,147,0.21102148154712874,0.09010809819278363,0.611521716380169
ml_add_mc_win_prob,oof_fold_3,innings_1_death,74,0.19121737915340506,0.08195992967613226,0.5687093273877719
ml_add_mc_win_prob,oof_fold_3,innings_2,273,0.1813241475253417,0.11153495765525377,0.533646911532705
ml_add_mc_win_prob,oof_fold_3,innings_2_powerplay,80,0.164682418011151,0.16787787102026075,0.49959142824091884
ml_add_mc_win_prob,oof_fold_3,innings_2_middle,133,0.1984479202925229,0.16137164912567584,0.5765882087708941
ml_add_mc_win_prob,oof_fold_3,innings_2_death,60,0.16555542391034445,0.12960963142643092,0.48386768037710076
ml_add_mc_gap_features,oof_fold_3,overall,579,0.187044376219385,0.09404208827423462,0.5543023962538829
ml_add_mc_gap_features,oof_fold_3,innings_1,306,0.18137158091457467,0.11130782680736293,0.5403179050022278
ml_add_mc_gap_features,oof_fold_3,innings_1_powerplay,85,0.20924866177358703,0.08613204742331527,0.6061777551871529
ml_add_mc_gap_features,oof_fold_3,innings_1_middle,147,0.17389041497016874,0.11960361295342828,0.5215078648910981
ml_add_mc_gap_features,oof_fold_3,innings_1_death,74,0.1642118447093263,0.1685909818206945,0.502033967578139
ml_add_mc_gap_features,oof_fold_3,innings_2,273,0.19340289403356797,0.13747579969853974,0.5699773205139799
ml_add_mc_gap_features,oof_fold_3,innings_2_powerplay,80,0.17172309707300684,0.1749649668915877,0.5144694219444891
ml_add_mc_gap_features,oof_fold_3,innings_2_middle,133,0.2120001212342716,0.1628353788127202,0.6169464593120599
ml_add_mc_gap_features,oof_fold_3,innings_2_death,60,0.18108543635275645,0.16257845123178702,0.5398729276042236
ml_replace_resource_with_mc,oof_fold_3,overall,579,0.200905913804236,0.05098453929849179,0.5818199760837888
ml_replace_resource_with_mc,oof_fold_3,innings_1,306,0.2202723949913216,0.06406924598108206,0.6308902220701172
ml_replace_resource_with_mc,oof_fold_3,innings_1_powerplay,85,0.26062082119420893,0.18129751670015617,0.718897400017502
ml_replace_resource_with_mc,oof_fold_3,innings_1_middle,147,0.21013110489803574,0.10390556076543145,0.6085186155646305
ml_replace_resource_with_mc,oof_fold_3,innings_1_death,74,0.19407176548412705,0.11572165381535517,0.5742417900536158
ml_replace_resource_with_mc,oof_fold_3,innings_2,273,0.1791984293967334,0.11471525956375056,0.5268181619013108
ml_replace_resource_with_mc,oof_fold_3,innings_2_powerplay,80,0.16244054447504258,0.18074240897175672,0.4952492787865985
ml_replace_resource_with_mc,oof_fold_3,innings_2_middle,133,0.19455015515698001,0.14292978106192508,0.5633726202316494
ml_replace_resource_with_mc,oof_fold_3,innings_2_death,60,0.16751261719044114,0.14516365084663785,0.48788095675534293
ml_clean_swap_resource,oof_fold_3,overall,579,0.18557699952983725,0.09414167308448484,0.5505010746813921
ml_clean_swap_resource,oof_fold_3,innings_1,306,0.18126514466589505,0.11290909093536684,0.5409906782228731
ml_clean_swap_resource,oof_fold_3,innings_1_powerplay,85,0.20091574468526324,0.12801462469238262,0.5870182267310142
ml_clean_swap_resource,oof_fold_3,innings_1_middle,147,0.17812358653133964,0.12363322685735928,0.5326818531290732
